# Delta Well (attractive) - single bound state n = 0
# gamma =   1.4142136E+00
# lambda =   1.0000000E+00
# epsilon (bound) =  -5.0000000E-01
# kappa (decay)   =   1.0000000E+00
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -8.0000000000E+00    0.0000000000E+00    3.3546264672E-04    3.3546262790E-04    1.1253518734E-07    1.8818281460E-11    2.8798359757E-11
   -7.9920000000E+00    0.0000000000E+00    3.3815711138E-04    3.3815709241E-04    1.1435023198E-07    1.8970662985E-11    2.9029670645E-11
   -7.9840000000E+00    0.0000000000E+00    3.4087321822E-04    3.4087319909E-04    1.1619455090E-07    1.9124257191E-11    2.9262839441E-11
   -7.9760000000E+00    0.0000000000E+00    3.4361114105E-04    3.4361112177E-04    1.1806861626E-07    1.9279073889E-11    2.9497881070E-11
   -7.9680000000E+00    0.0000000000E+00    3.4637105512E-04    3.4637103569E-04    1.1997290783E-07    1.9435122890E-11    2.9734810572E-11
   -7.9600000000E+00    0.0000000000E+00    3.4915313705E-04    3.4915311746E-04    1.2190791311E-07    1.9592414225E-11    2.9973643113E-11
   -7.9520000000E+00    0.0000000000E+00    3.5195756490E-04    3.5195754515E-04    1.2387412749E-07    1.9750957976E-11    3.0214393978E-11
   -7.9440000000E+00    0.0000000000E+00    3.5478451816E-04    3.5478449825E-04    1.2587205433E-07    1.9910764227E-11    3.0457078573E-11
   -7.9360000000E+00    0.0000000000E+00    3.5763417775E-04    3.5763415768E-04    1.2790220509E-07    2.0071843168E-11    3.0701712433E-11
   -7.9280000000E+00    0.0000000000E+00    3.6050672604E-04    3.6050670581E-04    1.2996509952E-07    2.0234205208E-11    3.0948311213E-11
   -7.9200000000E+00    0.0000000000E+00    3.6340234689E-04    3.6340232650E-04    1.3206126573E-07    2.0397860647E-11    3.1196890694E-11
   -7.9120000000E+00    0.0000000000E+00    3.6632122562E-04    3.6632120505E-04    1.3419124034E-07    2.0562819947E-11    3.1447466787E-11
   -7.9040000000E+00    0.0000000000E+00    3.6926354902E-04    3.6926352829E-04    1.3635556864E-07    2.0729093626E-11    3.1700055529E-11
   -7.8960000000E+00    0.0000000000E+00    3.7222950542E-04    3.7222948453E-04    1.3855480471E-07    2.0896692363E-11    3.1954673086E-11
   -7.8880000000E+00    0.0000000000E+00    3.7521928464E-04    3.7521926357E-04    1.4078951157E-07    2.1065626890E-11    3.2211335752E-11
   -7.8800000000E+00    0.0000000000E+00    3.7823307802E-04    3.7823305678E-04    1.4306026131E-07    2.1235907997E-11    3.2470059955E-11
   -7.8720000000E+00    0.0000000000E+00    3.8127107844E-04    3.8127105704E-04    1.4536763526E-07    2.1407546471E-11    3.2730862253E-11
   -7.8640000000E+00    0.0000000000E+00    3.8433348035E-04    3.8433345877E-04    1.4771222412E-07    2.1580553425E-11    3.2993759336E-11
   -7.8560000000E+00    0.0000000000E+00    3.8742047972E-04    3.8742045797E-04    1.5009462811E-07    2.1754939863E-11    3.3258768033E-11
   -7.8480000000E+00    0.0000000000E+00    3.9053227414E-04    3.9053225221E-04    1.5251545715E-07    2.1930716900E-11    3.3525905302E-11
   -7.8400000000E+00    0.0000000000E+00    3.9366906276E-04    3.9366904066E-04    1.5497533098E-07    2.2107895755E-11    3.3795188239E-11
   -7.8320000000E+00    0.0000000000E+00    3.9683104634E-04    3.9683102405E-04    1.5747487934E-07    2.2286487868E-11    3.4066634081E-11
   -7.8240000000E+00    0.0000000000E+00    4.0001842723E-04    4.0001840477E-04    1.6001474213E-07    2.2466504568E-11    3.4340260198E-11
   -7.8160000000E+00    0.0000000000E+00    4.0323140944E-04    4.0323138680E-04    1.6259556956E-07    2.2647957294E-11    3.4616084105E-11
   -7.8080000000E+00    0.0000000000E+00    4.0647019860E-04    4.0647017577E-04    1.6521802235E-07    2.2830857810E-11    3.4894123452E-11
   -7.8000000000E+00    0.0000000000E+00    4.0973500200E-04    4.0973497898E-04    1.6788277186E-07    2.3015217661E-11    3.5174396035E-11
   -7.7920000000E+00    0.0000000000E+00    4.1302602857E-04    4.1302600537E-04    1.7059050027E-07    2.3201048721E-11    3.5456919791E-11
   -7.7840000000E+00    0.0000000000E+00    4.1634348894E-04    4.1634346556E-04    1.7334190079E-07    2.3388362807E-11    3.5741712802E-11
   -7.7760000000E+00    0.0000000000E+00    4.1968759545E-04    4.1968757187E-04    1.7613767777E-07    2.3577171953E-11    3.6028793296E-11
   -7.7680000000E+00    0.0000000000E+00    4.2305856210E-04    4.2305853833E-04    1.7897854697E-07    2.3767488195E-11    3.6318179644E-11
   -7.7600000000E+00    0.0000000000E+00    4.2645660464E-04    4.2645658069E-04    1.8186523565E-07    2.3959323674E-11    3.6609890368E-11
   -7.7520000000E+00    0.0000000000E+00    4.2988194056E-04    4.2988191641E-04    1.8479848282E-07    2.4152690698E-11    3.6903944137E-11
   -7.7440000000E+00    0.0000000000E+00    4.3333478906E-04    4.3333476471E-04    1.8777903941E-07    2.4347601626E-11    3.7200359772E-11
   -7.7360000000E+00    0.0000000000E+00    4.3681537114E-04    4.3681534660E-04    1.9080766847E-07    2.4544068926E-11    3.7499156242E-11
   -7.7280000000E+00    0.0000000000E+00    4.4032390955E-04    4.4032388481E-04    1.9388514532E-07    2.4742105066E-11    3.7800352672E-11
   -7.7200000000E+00    0.0000000000E+00    4.4386062884E-04    4.4386060390E-04    1.9701225784E-07    2.4941722787E-11    3.8103968337E-11
   -7.7120000000E+00    0.0000000000E+00    4.4742575537E-04    4.4742573023E-04    2.0018980657E-07    2.5142934880E-11    3.8410022668E-11
   -7.7040000000E+00    0.0000000000E+00    4.5101951729E-04    4.5101949195E-04    2.0341860498E-07    2.5345754141E-11    3.8718535254E-11
   -7.6960000000E+00    0.0000000000E+00    4.5464214462E-04    4.5464211907E-04    2.0669947967E-07    2.5550193580E-11    3.9029525840E-11
   -7.6880000000E+00    0.0000000000E+00    4.5829386920E-04    4.5829384345E-04    2.1003327055E-07    2.5756266206E-11    3.9343014329E-11
   -7.6800000000E+00    0.0000000000E+00    4.6197492475E-04    4.6197489878E-04    2.1342083109E-07    2.5963985248E-11    3.9659020784E-11
   -7.6720000000E+00    0.0000000000E+00    4.6568554684E-04    4.6568552067E-04    2.1686302854E-07    2.6173363932E-11    3.9977565430E-11
   -7.6640000000E+00    0.0000000000E+00    4.6942597297E-04    4.6942594659E-04    2.2036074410E-07    2.6384415648E-11    4.0298668654E-11
   -7.6560000000E+00    0.0000000000E+00    4.7319644253E-04    4.7319641593E-04    2.2391487322E-07    2.6597153950E-11    4.0622351006E-11
   -7.6480000000E+00    0.0000000000E+00    4.7699719682E-04    4.7699717000E-04    2.2752632577E-07    2.6811592389E-11    4.0948633202E-11
   -7.6400000000E+00    0.0000000000E+00    4.8082847909E-04    4.8082845206E-04    2.3119602630E-07    2.7027744680E-11    4.1277536125E-11
   -7.6320000000E+00    0.0000000000E+00    4.8469053454E-04    4.8469050730E-04    2.3492491428E-07    2.7245624702E-11    4.1609080825E-11
   -7.6240000000E+00    0.0000000000E+00    4.8858361036E-04    4.8858358290E-04    2.3871394431E-07    2.7465246223E-11    4.1943288519E-11
   -7.6160000000E+00    0.0000000000E+00    4.9250795570E-04    4.9250792801E-04    2.4256408642E-07    2.7686623502E-11    4.2280180599E-11
   -7.6080000000E+00    0.0000000000E+00    4.9646382171E-04    4.9646379380E-04    2.4647632627E-07    2.7909770523E-11    4.2619778625E-11
   -7.6000000000E+00    0.0000000000E+00    5.0045146158E-04    5.0045143344E-04    2.5045166539E-07    2.8134701600E-11    4.2962104331E-11
   -7.5920000000E+00    0.0000000000E+00    5.0447113051E-04    5.0447110214E-04    2.5449112151E-07    2.8361431042E-11    4.3307179626E-11
   -7.5840000000E+00    0.0000000000E+00    5.0852308576E-04    5.0852305717E-04    2.5859572875E-07    2.8589973379E-11    4.3655026596E-11
   -7.5760000000E+00    0.0000000000E+00    5.1260758667E-04    5.1260755785E-04    2.6276653791E-07    2.8820343356E-11    4.4005667502E-11
   -7.5680000000E+00    0.0000000000E+00    5.1672489464E-04    5.1672486558E-04    2.6700461674E-07    2.9052555500E-11    4.4359124786E-11
   -7.5600000000E+00    0.0000000000E+00    5.2087527317E-04    5.2087524389E-04    2.7131105020E-07    2.9286624775E-11    4.4715421069E-11
   -7.5520000000E+00    0.0000000000E+00    5.2505898790E-04    5.2505895838E-04    2.7568694078E-07    2.9522566141E-11    4.5074579154E-11
   -7.5440000000E+00    0.0000000000E+00    5.2927630659E-04    5.2927627683E-04    2.8013340872E-07    2.9760394669E-11    4.5436622028E-11
   -7.5360000000E+00    0.0000000000E+00    5.3352749914E-04    5.3352746914E-04    2.8465159234E-07    3.0000125539E-11    4.5801572862E-11
   -7.5280000000E+00    0.0000000000E+00    5.3781283763E-04    5.3781280739E-04    2.8924264832E-07    3.0241774037E-11    4.6169455011E-11
   -7.5200000000E+00    0.0000000000E+00    5.4213259633E-04    5.4213256585E-04    2.9390775200E-07    3.0485355668E-11    4.6540292020E-11
   -7.5120000000E+00    0.0000000000E+00    5.4648705170E-04    5.4648702097E-04    2.9864809768E-07    3.0730886477E-11    4.6914107625E-11
   -7.5040000000E+00    0.0000000000E+00    5.5087648243E-04    5.5087645145E-04    3.0346489889E-07    3.0978380776E-11    4.7290925749E-11
   -7.4960000000E+00    0.0000000000E+00    5.5530116944E-04    5.5530113821E-04    3.0835938878E-07    3.1227856238E-11    4.7670770509E-11
   -7.4880000000E+00    0.0000000000E+00    5.5976139591E-04    5.5976136443E-04    3.1333282035E-07    3.1479326741E-11    4.8053666213E-11
   -7.4800000000E+00    0.0000000000E+00    5.6425744731E-04    5.6425741557E-04    3.1838646684E-07    3.1732810498E-11    4.8439637369E-11
   -7.4720000000E+00    0.0000000000E+00    5.6878961137E-04    5.6878957938E-04    3.2352162200E-07    3.1988321822E-11    4.8828708678E-11
   -7.4640000000E+00    0.0000000000E+00    5.7335817816E-04    5.7335814592E-04    3.2873960047E-07    3.2245878819E-11    4.9220905041E-11
   -7.4560000000E+00    0.0000000000E+00    5.7796344007E-04    5.7796340757E-04    3.3404173806E-07    3.2505496016E-11    4.9616251559E-11
   -7.4480000000E+00    0.0000000000E+00    5.8260569184E-04    5.8260565908E-04    3.3942939217E-07    3.2767192063E-11    5.0014773533E-11
   -7.4400000000E+00    0.0000000000E+00    5.8728523058E-04    5.8728519755E-04    3.4490394205E-07    3.3030981487E-11    5.0416496472E-11
   -7.4320000000E+00    0.0000000000E+00    5.9200235576E-04    5.9200232247E-04    3.5046678923E-07    3.3296883588E-11    5.0821446082E-11
   -7.4240000000E+00    0.0000000000E+00    5.9675736931E-04    5.9675733574E-04    3.5611935782E-07    3.3564912893E-11    5.1229648282E-11
   -7.4160000000E+00    0.0000000000E+00    6.0155057552E-04    6.0155054169E-04    3.6186309491E-07    3.3835088919E-11    5.1641129197E-11
   -7.4080000000E+00    0.0000000000E+00    6.0638228118E-04    6.0638224707E-04    3.6769947093E-07    3.4107427169E-11    5.2055915162E-11
   -7.4000000000E+00    0.0000000000E+00    6.1125279551E-04    6.1125276113E-04    3.7362998002E-07    3.4381945641E-11    5.2474032724E-11
   -7.3920000000E+00    0.0000000000E+00    6.1616243023E-04    6.1616239557E-04    3.7965614043E-07    3.4658661791E-11    5.2895508641E-11
   -7.3840000000E+00    0.0000000000E+00    6.2111149956E-04    6.2111146462E-04    3.8577949488E-07    3.4937593617E-11    5.3320369889E-11
   -7.3760000000E+00    0.0000000000E+00    6.2610032023E-04    6.2610028501E-04    3.9200161099E-07    3.5218758465E-11    5.3748643659E-11
   -7.3680000000E+00    0.0000000000E+00    6.3112921153E-04    6.3112917603E-04    3.9832408165E-07    3.5502174659E-11    5.4180357361E-11
   -7.3600000000E+00    0.0000000000E+00    6.3619849533E-04    6.3619845954E-04    4.0474852546E-07    3.5787860197E-11    5.4615538624E-11
   -7.3520000000E+00    0.0000000000E+00    6.4130849604E-04    6.4130845996E-04    4.1127658709E-07    3.6075833510E-11    5.5054215299E-11
   -7.3440000000E+00    0.0000000000E+00    6.4645954071E-04    6.4645950435E-04    4.1790993778E-07    3.6366112704E-11    5.5496415465E-11
   -7.3360000000E+00    0.0000000000E+00    6.5165195902E-04    6.5165192236E-04    4.2465027570E-07    3.6658716535E-11    5.5942167418E-11
   -7.3280000000E+00    0.0000000000E+00    6.5688608328E-04    6.5688604632E-04    4.3149932640E-07    3.6953663762E-11    5.6391499690E-11
   -7.3200000000E+00    0.0000000000E+00    6.6216224846E-04    6.6216221121E-04    4.3845884329E-07    3.7250973031E-11    5.6844441037E-11
   -7.3120000000E+00    0.0000000000E+00    6.6748079226E-04    6.6748075471E-04    4.4553060804E-07    3.7550663642E-11    5.7301020449E-11
   -7.3040000000E+00    0.0000000000E+00    6.7284205506E-04    6.7284201720E-04    4.5271643105E-07    3.7852754460E-11    5.7761267144E-11
   -7.2960000000E+00    0.0000000000E+00    6.7824637998E-04    6.7824634182E-04    4.6001815195E-07    3.8157264891E-11    5.8225210581E-11
   -7.2880000000E+00    0.0000000000E+00    6.8369411289E-04    6.8369407443E-04    4.6743764000E-07    3.8464214452E-11    5.8692880450E-11
   -7.2800000000E+00    0.0000000000E+00    6.8918560247E-04    6.8918556369E-04    4.7497679465E-07    3.8773622659E-11    5.9164306685E-11
   -7.2720000000E+00    0.0000000000E+00    6.9472120015E-04    6.9472116107E-04    4.8263754594E-07    3.9085509352E-11    5.9639519455E-11
   -7.2640000000E+00    0.0000000000E+00    7.0030126024E-04    7.0030122084E-04    4.9042185509E-07    3.9399894588E-11    6.0118549174E-11
   -7.2560000000E+00    0.0000000000E+00    7.0592613984E-04    7.0592610012E-04    4.9833171491E-07    3.9716798318E-11    6.0601426501E-11
   -7.2480000000E+00    0.0000000000E+00    7.1159619895E-04    7.1159615892E-04    5.0636915036E-07    4.0036240816E-11    6.1088182341E-11
   -7.2400000000E+00    0.0000000000E+00    7.1731180047E-04    7.1731176011E-04    5.1453621909E-07    4.0358242573E-11    6.1578847846E-11
   -7.2320000000E+00    0.0000000000E+00    7.2307331018E-04    7.2307326950E-04    5.2283501190E-07    4.0682824080E-11    6.2073454416E-11
   -7.2240000000E+00    0.0000000000E+00    7.2888109684E-04    7.2888105583E-04    5.3126765333E-07    4.1010006155E-11    6.2572033708E-11
   -7.2160000000E+00    0.0000000000E+00    7.3473553213E-04    7.3473549079E-04    5.3983630217E-07    4.1339809614E-11    6.3074617634E-11
   -7.2080000000E+00    0.0000000000E+00    7.4063699075E-04    7.4063694907E-04    5.4854315206E-07    4.1672255599E-11    6.3581238356E-11
   -7.2000000000E+00    0.0000000000E+00    7.4658585038E-04    7.4658580838E-04    5.5739043199E-07    4.2007365468E-11    6.4091928299E-11
   -7.1920000000E+00    0.0000000000E+00    7.5258249177E-04    7.5258244943E-04    5.6638040692E-07    4.2345160473E-11    6.4606720147E-11
   -7.1840000000E+00    0.0000000000E+00    7.5862729869E-04    7.5862725601E-04    5.7551537832E-07    4.2685662188E-11    6.5125646847E-11
   -7.1760000000E+00    0.0000000000E+00    7.6472065802E-04    7.6472061499E-04    5.8479768481E-07    4.3028892515E-11    6.5648741610E-11
   -7.1680000000E+00    0.0000000000E+00    7.7086295974E-04    7.7086291636E-04    5.9422970269E-07    4.3374873246E-11    6.6176037917E-11
   -7.1600000000E+00    0.0000000000E+00    7.7705459694E-04    7.7705455322E-04    6.0381384663E-07    4.3723626824E-11    6.6707569512E-11
   -7.1520000000E+00    0.0000000000E+00    7.8329596591E-04    7.8329592183E-04    6.1355257020E-07    4.4075175150E-11    6.7243370414E-11
   -7.1440000000E+00    0.0000000000E+00    7.8958746608E-04    7.8958742165E-04    6.2344836659E-07    4.4429540992E-11    6.7783474915E-11
   -7.1360000000E+00    0.0000000000E+00    7.9592950012E-04    7.9592945533E-04    6.3350376916E-07    4.4786746794E-11    6.8327917580E-11
   -7.1280000000E+00    0.0000000000E+00    8.0232247392E-04    8.0232242877E-04    6.4372135216E-07    4.5146815431E-11    6.8876733256E-11
   -7.1200000000E+00    0.0000000000E+00    8.0876679663E-04    8.0876675112E-04    6.5410373134E-07    4.5509769889E-11    6.9429957067E-11
   -7.1120000000E+00    0.0000000000E+00    8.1526288070E-04    8.1526283482E-04    6.6465356464E-07    4.5875633479E-11    6.9987624419E-11
   -7.1040000000E+00    0.0000000000E+00    8.2181114186E-04    8.2181109562E-04    6.7537355289E-07    4.6244429618E-11    7.0549771003E-11
   -7.0960000000E+00    0.0000000000E+00    8.2841199922E-04    8.2841195261E-04    6.8626644046E-07    4.6616181726E-11    7.1116432795E-11
   -7.0880000000E+00    0.0000000000E+00    8.3506587524E-04    8.3506582824E-04    6.9733501598E-07    4.6990913764E-11    7.1687646065E-11
   -7.0800000000E+00    0.0000000000E+00    8.4177319575E-04    8.4177314838E-04    7.0858211308E-07    4.7368649476E-11    7.2263447367E-11
   -7.0720000000E+00    0.0000000000E+00    8.4853439003E-04    8.4853434228E-04    7.2001061107E-07    4.7749413039E-11    7.2843873555E-11
