# Finite Square Well - State n = 1
# Parity (even=+1, odd=-1) = 1
# epsilon = E/V0 =    4.589352E-02
# k (inside)     =    1.354895E+00
# kappa (outside)=    6.177723E+00
# residual k*tan(k)-kappa ≈    1.919833E-10
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -2.0000000000E+00    1.0000000000E+00    4.1242563510E-04    4.1242563508E-04    1.7009490449E-07    1.6833702401E-14    0.0000000000E+00
   -1.9960000000E+00    1.0000000000E+00    4.2274400309E-04    4.2274400307E-04    1.7871249215E-07    1.7254860735E-14    0.0000000000E+00
   -1.9920000000E+00    1.0000000000E+00    4.3332052360E-04    4.3332052358E-04    1.8776667617E-07    1.7686590040E-14    0.0000000000E+00
   -1.9880000000E+00    1.0000000000E+00    4.4416165528E-04    4.4416165526E-04    1.9727957602E-07    1.8128998736E-14    0.0000000000E+00
   -1.9840000000E+00    1.0000000000E+00    4.5527401837E-04    4.5527401835E-04    2.0727443180E-07    1.8582683135E-14    0.0000000000E+00
   -1.9800000000E+00    1.0000000000E+00    4.6666439873E-04    4.6666439871E-04    2.1777566104E-07    1.9047534817E-14    0.0000000000E+00
   -1.9760000000E+00    1.0000000000E+00    4.7833975201E-04    4.7833975199E-04    2.2880891836E-07    1.9524095882E-14    0.0000000000E+00
   -1.9720000000E+00    1.0000000000E+00    4.9030720787E-04    4.9030720785E-04    2.4040115809E-07    2.0012528960E-14    0.0000000000E+00
   -1.9680000000E+00    1.0000000000E+00    5.0257407435E-04    5.0257407433E-04    2.5258070021E-07    2.0513321944E-14    0.0000000000E+00
   -1.9640000000E+00    1.0000000000E+00    5.1514784232E-04    5.1514784230E-04    2.6537729945E-07    2.1026583252E-14    0.0000000000E+00
   -1.9600000000E+00    1.0000000000E+00    5.2803619006E-04    5.2803619004E-04    2.7882221802E-07    2.1552529726E-14    0.0000000000E+00
   -1.9560000000E+00    1.0000000000E+00    5.4124698798E-04    5.4124698796E-04    2.9294830199E-07    2.2091595046E-14    0.0000000000E+00
   -1.9520000000E+00    1.0000000000E+00    5.5478830335E-04    5.5478830333E-04    3.0779006154E-07    2.2644429734E-14    0.0000000000E+00
   -1.9480000000E+00    1.0000000000E+00    5.6866840532E-04    5.6866840529E-04    3.2338375521E-07    2.3211033789E-14    0.0000000000E+00
   -1.9440000000E+00    1.0000000000E+00    5.8289576989E-04    5.8289576986E-04    3.3976747855E-07    2.3791732473E-14    0.0000000000E+00
   -1.9400000000E+00    1.0000000000E+00    5.9747908513E-04    5.9747908511E-04    3.5698125717E-07    2.4386851045E-14    0.0000000000E+00
   -1.9360000000E+00    1.0000000000E+00    6.1242725649E-04    6.1242725646E-04    3.7506714449E-07    2.4997040028E-14    0.0000000000E+00
   -1.9320000000E+00    1.0000000000E+00    6.2774941219E-04    6.2774941216E-04    3.9406932451E-07    2.5622407841E-14    0.0000000000E+00
   -1.9280000000E+00    1.0000000000E+00    6.4345490886E-04    6.4345490883E-04    4.1403421974E-07    2.6263496586E-14    0.0000000000E+00
   -1.9240000000E+00    1.0000000000E+00    6.5955333720E-04    6.5955333717E-04    4.3501060461E-07    2.6920631523E-14    0.0000000000E+00
   -1.9200000000E+00    1.0000000000E+00    6.7605452786E-04    6.7605452784E-04    4.5704972465E-07    2.7594137912E-14    0.0000000000E+00
   -1.9160000000E+00    1.0000000000E+00    6.9296855746E-04    6.9296855743E-04    4.8020542163E-07    2.8284341015E-14    0.0000000000E+00
   -1.9120000000E+00    1.0000000000E+00    7.1030575469E-04    7.1030575466E-04    5.0453426515E-07    2.8992108193E-14    0.0000000000E+00
   -1.9080000000E+00    1.0000000000E+00    7.2807670668E-04    7.2807670665E-04    5.3009569081E-07    2.9717547867E-14    0.0000000000E+00
   -1.9040000000E+00    1.0000000000E+00    7.4629226542E-04    7.4629226539E-04    5.5695214542E-07    3.0460876876E-14    0.0000000000E+00
   -1.9000000000E+00    1.0000000000E+00    7.6496355441E-04    7.6496355438E-04    5.8516923957E-07    3.1223071004E-14    0.0000000000E+00
   -1.8960000000E+00    1.0000000000E+00    7.8410197544E-04    7.8410197541E-04    6.1481590789E-07    3.2004238669E-14    0.0000000000E+00
   -1.8920000000E+00    1.0000000000E+00    8.0371921558E-04    8.0371921555E-04    6.4596457749E-07    3.2804921973E-14    0.0000000000E+00
   -1.8880000000E+00    1.0000000000E+00    8.2382725426E-04    8.2382725423E-04    6.7869134486E-07    3.3625554598E-14    0.0000000000E+00
   -1.8840000000E+00    1.0000000000E+00    8.4443837065E-04    8.4443837062E-04    7.1307616183E-07    3.4467003904E-14    0.0000000000E+00
   -1.8800000000E+00    1.0000000000E+00    8.6556515111E-04    8.6556515108E-04    7.4920303082E-07    3.5329161471E-14    0.0000000000E+00
   -1.8760000000E+00    1.0000000000E+00    8.8722049691E-04    8.8722049688E-04    7.8716021015E-07    3.6213003082E-14    0.0000000000E+00
   -1.8720000000E+00    1.0000000000E+00    9.0941763209E-04    9.0941763205E-04    8.2704042956E-07    3.7119070838E-14    0.0000000000E+00
