# Finite Square Well - State n = 3
# Parity (even=+1, odd=-1) = -1
# epsilon = E/V0 =    1.823100E-01
# k (inside)     =    2.700445E+00
# kappa (outside)=    5.719056E+00
# residual k*cot(k)+kappa ≈   -4.571815E-09
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -2.0000000000E+00    1.0000000000E+00   -1.2931802225E-03   -1.2931802218E-03    1.6723150879E-06   -7.6616989662E-13    0.0000000000E+00
   -1.9960000000E+00    1.0000000000E+00   -1.3231042712E-03   -1.3231042704E-03    1.7506049124E-06   -7.8389898739E-13    0.0000000000E+00
   -1.9920000000E+00    1.0000000000E+00   -1.3537207590E-03   -1.3537207582E-03    1.8325598935E-06   -8.0203834026E-13    0.0000000000E+00
   -1.9880000000E+00    1.0000000000E+00   -1.3850457091E-03   -1.3850457083E-03    1.9183516163E-06   -8.2059706252E-13    0.0000000000E+00
   -1.9840000000E+00    1.0000000000E+00   -1.4170955150E-03   -1.4170955142E-03    2.0081596988E-06   -8.3958577937E-13    0.0000000000E+00
   -1.9800000000E+00    1.0000000000E+00   -1.4498869500E-03   -1.4498869491E-03    2.1021721678E-06   -8.5901381494E-13    0.0000000000E+00
   -1.9760000000E+00    1.0000000000E+00   -1.4834371752E-03   -1.4834371743E-03    2.2005858527E-06   -8.7889114389E-13    0.0000000000E+00
   -1.9720000000E+00    1.0000000000E+00   -1.5177637489E-03   -1.5177637480E-03    2.3036067974E-06   -8.9922860824E-13    0.0000000000E+00
   -1.9680000000E+00    1.0000000000E+00   -1.5528846357E-03   -1.5528846348E-03    2.4114506918E-06   -9.2003639950E-13    0.0000000000E+00
   -1.9640000000E+00    1.0000000000E+00   -1.5888182160E-03   -1.5888182151E-03    2.5243433236E-06   -9.4132622704E-13    0.0000000000E+00
   -1.9600000000E+00    1.0000000000E+00   -1.6255832955E-03   -1.6255832945E-03    2.6425210505E-06   -9.6310828236E-13    0.0000000000E+00
   -1.9560000000E+00    1.0000000000E+00   -1.6631991148E-03   -1.6631991138E-03    2.7662312956E-06   -9.8539449170E-13    0.0000000000E+00
   -1.9520000000E+00    1.0000000000E+00   -1.7016853601E-03   -1.7016853591E-03    2.8957330648E-06   -1.0081965644E-12    0.0000000000E+00
   -1.9480000000E+00    1.0000000000E+00   -1.7410621729E-03   -1.7410621719E-03    3.0312974899E-06   -1.0315259931E-12    0.0000000000E+00
   -1.9440000000E+00    1.0000000000E+00   -1.7813501608E-03   -1.7813501598E-03    3.1732083955E-06   -1.0553955713E-12    0.0000000000E+00
   -1.9400000000E+00    1.0000000000E+00   -1.8225704084E-03   -1.8225704073E-03    3.3217628934E-06   -1.0798172252E-12    0.0000000000E+00
   -1.9360000000E+00    1.0000000000E+00   -1.8647444879E-03   -1.8647444868E-03    3.4772720052E-06   -1.1048041822E-12    0.0000000000E+00
   -1.9320000000E+00    1.0000000000E+00   -1.9078944711E-03   -1.9078944699E-03    3.6400613127E-06   -1.1303688020E-12    0.0000000000E+00
   -1.9280000000E+00    1.0000000000E+00   -1.9520429401E-03   -1.9520429389E-03    3.8104716399E-06   -1.1565258300E-12    0.0000000000E+00
   -1.9240000000E+00    1.0000000000E+00   -1.9972129998E-03   -1.9972129987E-03    3.9888597667E-06   -1.1832878427E-12    0.0000000000E+00
   -1.9200000000E+00    1.0000000000E+00   -2.0434282898E-03   -2.0434282886E-03    4.1755991757E-06   -1.2106687181E-12    0.0000000000E+00
   -1.9160000000E+00    1.0000000000E+00   -2.0907129966E-03   -2.0907129953E-03    4.3710808340E-06   -1.2386832011E-12    0.0000000000E+00
   -1.9120000000E+00    1.0000000000E+00   -2.1390918662E-03   -2.1390918650E-03    4.5757140122E-06   -1.2673464708E-12    0.0000000000E+00
   -1.9080000000E+00    1.0000000000E+00   -2.1885902176E-03   -2.1885902163E-03    4.7899271408E-06   -1.2966728385E-12    0.0000000000E+00
   -1.9040000000E+00    1.0000000000E+00   -2.2392339555E-03   -2.2392339542E-03    5.0141687074E-06   -1.3266774831E-12    0.0000000000E+00
   -1.9000000000E+00    1.0000000000E+00   -2.2910495839E-03   -2.2910495825E-03    5.2489081957E-06   -1.3573768845E-12    0.0000000000E+00
   -1.8960000000E+00    1.0000000000E+00   -2.3440642202E-03   -2.3440642188E-03    5.4946370685E-06   -1.3887857878E-12    0.0000000000E+00
   -1.8920000000E+00    1.0000000000E+00   -2.3983056094E-03   -2.3983056080E-03    5.7518697963E-06   -1.4209224075E-12    0.0000000000E+00
