# Finite Square Well - State n = 4
# Parity (even=+1, odd=-1) = -1
# epsilon = E/V0 =    2.467401E-01
# k (inside)     =    3.141593E+00
# kappa (outside)=    5.489116E+00
# residual k*cot(k)+kappa ≈    4.797766E+09
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -2.0000000000E+00    1.0000000000E+00    8.2437307019E-15    2.7053157389E-12    6.7959095885E-29   -2.6970720082E-12    0.0000000000E+00
   -1.9960000000E+00    1.0000000000E+00    8.4267356000E-15    2.7653718044E-12    7.1009872872E-29   -2.7569450688E-12    0.0000000000E+00
   -1.9920000000E+00    1.0000000000E+00    8.6138030753E-15    2.8267610714E-12    7.4197603420E-29   -2.8181472684E-12    0.0000000000E+00
   -1.9880000000E+00    1.0000000000E+00    8.8050233142E-15    2.8895131361E-12    7.7528435564E-29   -2.8807081127E-12    0.0000000000E+00
   -1.9840000000E+00    1.0000000000E+00    9.0004885050E-15    2.9536582514E-12    8.1008793328E-29   -2.9446577629E-12    0.0000000000E+00
   -1.9800000000E+00    1.0000000000E+00    9.2002928825E-15    3.0192273423E-12    8.4645389124E-29   -3.0100270494E-12    0.0000000000E+00
   -1.9760000000E+00    1.0000000000E+00    9.4045327737E-15    3.0862520198E-12    8.8445236692E-29   -3.0768474871E-12    0.0000000000E+00
   -1.9720000000E+00    1.0000000000E+00    9.6133066437E-15    3.1547645971E-12    9.2415664626E-29   -3.1451512904E-12    0.0000000000E+00
   -1.9680000000E+00    1.0000000000E+00    9.8267151436E-15    3.2247981043E-12    9.6564330514E-29   -3.2149713891E-12    0.0000000000E+00
   -1.9640000000E+00    1.0000000000E+00    1.0044861159E-14    3.2963863050E-12    1.0089923570E-28   -3.2863414439E-12    0.0000000000E+00
   -1.9600000000E+00    1.0000000000E+00    1.0267849859E-14    3.3695637124E-12    1.0542874073E-28   -3.3592958626E-12    0.0000000000E+00
   -1.9560000000E+00    1.0000000000E+00    1.0495788748E-14    3.4443656057E-12    1.1016158144E-28   -3.4338698169E-12    0.0000000000E+00
   -1.9520000000E+00    1.0000000000E+00    1.0728787716E-14    3.5208280472E-12    1.1510688586E-28   -3.5100992595E-12    0.0000000000E+00
   -1.9480000000E+00    1.0000000000E+00    1.0966959095E-14    3.5989878999E-12    1.2027419178E-28   -3.5880209409E-12    0.0000000000E+00
   -1.9440000000E+00    1.0000000000E+00    1.1210417706E-14    3.6788828453E-12    1.2567346515E-28   -3.6676724276E-12    0.0000000000E+00
   -1.9400000000E+00    1.0000000000E+00    1.1459280924E-14    3.7605514010E-12    1.3131511930E-28   -3.7490921201E-12    0.0000000000E+00
   -1.9360000000E+00    1.0000000000E+00    1.1713668727E-14    3.8440329400E-12    1.3721003504E-28   -3.8323192713E-12    0.0000000000E+00
   -1.9320000000E+00    1.0000000000E+00    1.1973703756E-14    3.9293677092E-12    1.4336958163E-28   -3.9173940054E-12    0.0000000000E+00
   -1.9280000000E+00    1.0000000000E+00    1.2239511375E-14    4.0165968489E-12    1.4980563871E-28   -4.0043573375E-12    0.0000000000E+00
   -1.9240000000E+00    1.0000000000E+00    1.2511219733E-14    4.1057624128E-12    1.5653061921E-28   -4.0932511931E-12    0.0000000000E+00
   -1.9200000000E+00    1.0000000000E+00    1.2788959821E-14    4.1969073882E-12    1.6355749332E-28   -4.1841184284E-12    0.0000000000E+00
   -1.9160000000E+00    1.0000000000E+00    1.3072865540E-14    4.2900757166E-12    1.7089981343E-28   -4.2770028510E-12    0.0000000000E+00
   -1.9120000000E+00    1.0000000000E+00    1.3363073762E-14    4.3853123149E-12    1.7857174036E-28   -4.3719492411E-12    0.0000000000E+00
   -1.9080000000E+00    1.0000000000E+00    1.3659724397E-14    4.4826630972E-12    1.8658807061E-28   -4.4690033728E-12    0.0000000000E+00
   -1.9040000000E+00    1.0000000000E+00    1.3962960464E-14    4.5821749970E-12    1.9496426491E-28   -4.5682120365E-12    0.0000000000E+00
   -1.9000000000E+00    1.0000000000E+00    1.4272928153E-14    4.6838959894E-12    2.0371647806E-28   -4.6696230613E-12    0.0000000000E+00
   -1.8960000000E+00    1.0000000000E+00    1.4589776902E-14    4.7878751148E-12    2.1286159006E-28   -4.7732853379E-12    0.0000000000E+00
   -1.8920000000E+00    1.0000000000E+00    1.4913659466E-14    4.8941625021E-12    2.2241723867E-28   -4.8792488426E-12    0.0000000000E+00
   -1.8880000000E+00    1.0000000000E+00    1.5244731990E-14    5.0028093929E-12    2.3240185345E-28   -4.9875646609E-12    0.0000000000E+00
   -1.8840000000E+00    1.0000000000E+00    1.5583154086E-14    5.1138681667E-12    2.4283469128E-28   -5.0982850126E-12    0.0000000000E+00
   -1.8800000000E+00    1.0000000000E+00    1.5929088910E-14    5.2273923655E-12    2.5373587350E-28   -5.2114632766E-12    0.0000000000E+00
   -1.8760000000E+00    1.0000000000E+00    1.6282703238E-14    5.3434367199E-12    2.6512642473E-28   -5.3271540166E-12    0.0000000000E+00
   -1.8720000000E+00    1.0000000000E+00    1.6644167550E-14    5.4620571756E-12    2.7702831343E-28   -5.4454130080E-12    0.0000000000E+00
   -1.8680000000E+00    1.0000000000E+00    1.7013656110E-14    5.5833109201E-12    2.8946449423E-28   -5.5662972640E-12    0.0000000000E+00
   -1.8640000000E+00    1.0000000000E+00    1.7391347051E-14    5.7072564107E-12    3.0245895223E-28   -5.6898650637E-12    0.0000000000E+00
   -1.8600000000E+00    1.0000000000E+00    1.7777422459E-14    5.8339534021E-12    3.1603674927E-28   -5.8161759796E-12    0.0000000000E+00
   -1.8560000000E+00    1.0000000000E+00    1.8172068463E-14    5.9634629757E-12    3.3022407224E-28   -5.9452909072E-12    0.0000000000E+00
   -1.8520000000E+00    1.0000000000E+00    1.8575475326E-14    6.0958475687E-12    3.4504828358E-28   -6.0772720934E-12    0.0000000000E+00
   -1.8480000000E+00    1.0000000000E+00    1.8987837531E-14    6.2311710046E-12    3.6053797409E-28   -6.2121831671E-12    0.0000000000E+00
   -1.8440000000E+00    1.0000000000E+00    1.9409353880E-14    6.3694985236E-12    3.7672301805E-28   -6.3500891697E-12    0.0000000000E+00
   -1.8400000000E+00    1.0000000000E+00    1.9840227590E-14    6.5108968140E-12    3.9363463082E-28   -6.4910565864E-12    0.0000000000E+00
   -1.8360000000E+00    1.0000000000E+00    2.0280666386E-14    6.6554340449E-12    4.1130542908E-28   -6.6351533785E-12    0.0000000000E+00
   -1.8320000000E+00    1.0000000000E+00    2.0730882608E-14    6.8031798985E-12    4.2976949369E-28   -6.7824490159E-12    0.0000000000E+00
   -1.8280000000E+00    1.0000000000E+00    2.1191093305E-14    6.9542056039E-12    4.4906243548E-28   -6.9330145105E-12    0.0000000000E+00
   -1.8240000000E+00    1.0000000000E+00    2.1661520350E-14    7.1085839714E-12    4.6922146388E-28   -7.0869224510E-12    0.0000000000E+00
   -1.8200000000E+00    1.0000000000E+00    2.2142390537E-14    7.2663894277E-12    4.9028545870E-28   -7.2442470371E-12    0.0000000000E+00
   -1.8160000000E+00    1.0000000000E+00    2.2633935697E-14    7.4276980518E-12    5.1229504512E-28   -7.4050641161E-12    0.0000000000E+00
   -1.8120000000E+00    1.0000000000E+00    2.3136392806E-14    7.5925876114E-12    5.3529267206E-28   -7.5694512186E-12    0.0000000000E+00
   -1.8080000000E+00    1.0000000000E+00    2.3650004101E-14    7.7611376007E-12    5.5932269400E-28   -7.7374875966E-12    0.0000000000E+00
   -1.8040000000E+00    1.0000000000E+00    2.4175017199E-14    7.9334292788E-12    5.8443145657E-28   -7.9092542616E-12    0.0000000000E+00
   -1.8000000000E+00    1.0000000000E+00    2.4711685210E-14    8.1095457082E-12    6.1066738592E-28   -8.0848340230E-12    0.0000000000E+00
   -1.7960000000E+00    1.0000000000E+00    2.5260266865E-14    8.2895717959E-12    6.3808108210E-28   -8.2643115290E-12    0.0000000000E+00
   -1.7920000000E+00    1.0000000000E+00    2.5821026639E-14    8.4735943333E-12    6.6672541669E-28   -8.4477733067E-12    0.0000000000E+00
   -1.7880000000E+00    1.0000000000E+00    2.6394234877E-14    8.6617020389E-12    6.9665563473E-28   -8.6353078040E-12    0.0000000000E+00
   -1.7840000000E+00    1.0000000000E+00    2.6980167926E-14    8.8539856003E-12    7.2792946130E-28   -8.8270054324E-12    0.0000000000E+00
   -1.7800000000E+00    1.0000000000E+00    2.7579108267E-14    9.0505377187E-12    7.6060721281E-28   -9.0229586104E-12    0.0000000000E+00
   -1.7760000000E+00    1.0000000000E+00    2.8191344654E-14    9.2514531528E-12    7.9475191340E-28   -9.2232618082E-12    0.0000000000E+00
   -1.7720000000E+00    1.0000000000E+00    2.8817172249E-14    9.4568287652E-12    8.3042941640E-28   -9.4280115930E-12    0.0000000000E+00
   -1.7680000000E+00    1.0000000000E+00    2.9456892766E-14    9.6667635687E-12    8.6770853143E-28   -9.6373066759E-12    0.0000000000E+00
   -1.7640000000E+00    1.0000000000E+00    3.0110814619E-14    9.8813587739E-12    9.0666115704E-28   -9.8512479593E-12    0.0000000000E+00
   -1.7600000000E+00    1.0000000000E+00    3.0779253068E-14    1.0100717838E-11    9.4736241942E-28   -1.0069938585E-11    0.0000000000E+00
   -1.7560000000E+00    1.0000000000E+00    3.1462530370E-14    1.0324946517E-11    9.8989081727E-28   -1.0293483986E-11    0.0000000000E+00
   -1.7520000000E+00    1.0000000000E+00    3.2160975937E-14    1.0554152910E-11    1.0343283732E-27   -1.0521991935E-11    0.0000000000E+00
   -1.7480000000E+00    1.0000000000E+00    3.2874926494E-14    1.0788447521E-11    1.0807607920E-27   -1.0755572595E-11    0.0000000000E+00
   -1.7440000000E+00    1.0000000000E+00    3.3604726240E-14    1.1027943304E-11    1.1292776256E-27   -1.0994338578E-11    0.0000000000E+00
   -1.7400000000E+00    1.0000000000E+00    3.4350727016E-14    1.1272755722E-11    1.1799724465E-27   -1.1238404995E-11    0.0000000000E+00
   -1.7360000000E+00    1.0000000000E+00    3.5113288473E-14    1.1523002799E-11    1.2329430274E-27   -1.1487889510E-11    0.0000000000E+00
   -1.7320000000E+00    1.0000000000E+00    3.5892778247E-14    1.1778805181E-11    1.2882915303E-27   -1.1742912403E-11    0.0000000000E+00
   -1.7280000000E+00    1.0000000000E+00    3.6689572133E-14    1.2040286193E-11    1.3461247033E-27   -1.2003596620E-11    0.0000000000E+00
