# Finite Square Well - State n = 6
# Parity (even=+1, odd=-1) = 1
# epsilon = E/V0 =    5.551652E-01
# k (inside)     =    4.712389E+00
# kappa (outside)=    4.218221E+00
# residual k*tan(k)-kappa ≈   -9.503263E+08
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -2.0000000000E+00    1.0000000000E+00    2.6692528080E-14    7.3016024766E-11    7.1249105533E-28   -7.2989332238E-11    0.0000000000E+00
   -1.9960000000E+00    1.0000000000E+00    2.7146729096E-14    7.4258468065E-11    7.3694490063E-28   -7.4231321335E-11    0.0000000000E+00
   -1.9920000000E+00    1.0000000000E+00    2.7608658813E-14    7.5522052822E-11    7.6223804145E-28   -7.5494444164E-11    0.0000000000E+00
   -1.9880000000E+00    1.0000000000E+00    2.8078448742E-14    7.6807138784E-11    7.8839928377E-28   -7.6779060335E-11    0.0000000000E+00
   -1.9840000000E+00    1.0000000000E+00    2.8556232634E-14    7.8114091814E-11    8.1545842224E-28   -7.8085535581E-11    0.0000000000E+00
   -1.9800000000E+00    1.0000000000E+00    2.9042146513E-14    7.9443284004E-11    8.4344627410E-28   -7.9414241858E-11    0.0000000000E+00
   -1.9760000000E+00    1.0000000000E+00    2.9536328721E-14    8.0795093776E-11    8.7239471429E-28   -8.0765557447E-11    0.0000000000E+00
   -1.9720000000E+00    1.0000000000E+00    3.0038919950E-14    8.2169905992E-11    9.0233671178E-28   -8.2139867072E-11    0.0000000000E+00
   -1.9680000000E+00    1.0000000000E+00    3.0550063290E-14    8.3568112061E-11    9.3330636704E-28   -8.3537561998E-11    0.0000000000E+00
   -1.9640000000E+00    1.0000000000E+00    3.1069904264E-14    8.4990110055E-11    9.6533895096E-28   -8.4959040151E-11    0.0000000000E+00
   -1.9600000000E+00    1.0000000000E+00    3.1598590870E-14    8.6436304818E-11    9.9847094496E-28   -8.6404706228E-11    0.0000000000E+00
   -1.9560000000E+00    1.0000000000E+00    3.2136273626E-14    8.7907108084E-11    1.0327400826E-27   -8.7874971810E-11    0.0000000000E+00
   -1.9520000000E+00    1.0000000000E+00    3.2683105612E-14    8.9402938590E-11    1.0681853924E-27   -8.9370255484E-11    0.0000000000E+00
   -1.9480000000E+00    1.0000000000E+00    3.3239242510E-14    9.0924222202E-11    1.1048472426E-27   -9.0890982959E-11    0.0000000000E+00
   -1.9440000000E+00    1.0000000000E+00    3.3804842653E-14    9.2471392030E-11    1.1427673868E-27   -9.2437587187E-11    0.0000000000E+00
   -1.9400000000E+00    1.0000000000E+00    3.4380067069E-14    9.4044888556E-11    1.1819890117E-27   -9.4010508489E-11    0.0000000000E+00
   -1.9360000000E+00    1.0000000000E+00    3.4965079524E-14    9.5645159755E-11    1.2225567861E-27   -9.5610194675E-11    0.0000000000E+00
   -1.9320000000E+00    1.0000000000E+00    3.5560046573E-14    9.7272661226E-11    1.2645169122E-27   -9.7237101180E-11    0.0000000000E+00
   -1.9280000000E+00    1.0000000000E+00    3.6165137601E-14    9.8927856321E-11    1.3079171777E-27   -9.8891691183E-11    0.0000000000E+00
   -1.9240000000E+00    1.0000000000E+00    3.6780524881E-14    1.0061121627E-10    1.3528070105E-27   -1.0057443575E-10    0.0000000000E+00
   -1.9200000000E+00    1.0000000000E+00    3.7406383612E-14    1.0232322034E-10    1.3992375349E-27   -1.0228581396E-10    0.0000000000E+00
   -1.9160000000E+00    1.0000000000E+00    3.8042891978E-14    1.0406435593E-10    1.4472616301E-27   -1.0402631304E-10    0.0000000000E+00
   -1.9120000000E+00    1.0000000000E+00    3.8690231194E-14    1.0583511875E-10    1.4969339898E-27   -1.0579642852E-10    0.0000000000E+00
   -1.9080000000E+00    1.0000000000E+00    3.9348585556E-14    1.0763601293E-10    1.5483111853E-27   -1.0759666434E-10    0.0000000000E+00
   -1.9040000000E+00    1.0000000000E+00    4.0018142500E-14    1.0946755119E-10    1.6014517292E-27   -1.0942753304E-10    0.0000000000E+00
   -1.9000000000E+00    1.0000000000E+00    4.0699092650E-14    1.1133025497E-10    1.6564161425E-27   -1.1128955587E-10    0.0000000000E+00
   -1.8960000000E+00    1.0000000000E+00    4.1391629871E-14    1.1322465458E-10    1.7132670234E-27   -1.1318326295E-10    0.0000000000E+00
   -1.8920000000E+00    1.0000000000E+00    4.2095951330E-14    1.1515128937E-10    1.7720691184E-27   -1.1510919341E-10    0.0000000000E+00
   -1.8880000000E+00    1.0000000000E+00    4.2812257549E-14    1.1711070784E-10    1.8328893964E-27   -1.1706789558E-10    0.0000000000E+00
   -1.8840000000E+00    1.0000000000E+00    4.3540752460E-14    1.1910346785E-10    1.8957971248E-27   -1.1905992709E-10    0.0000000000E+00
   -1.8800000000E+00    1.0000000000E+00    4.4281643467E-14    1.2113013673E-10    1.9608639481E-27   -1.2108585509E-10    0.0000000000E+00
   -1.8760000000E+00    1.0000000000E+00    4.5035141501E-14    1.2319129148E-10    2.0281639700E-27   -1.2314625634E-10    0.0000000000E+00
   -1.8720000000E+00    1.0000000000E+00    4.5801461085E-14    1.2528751892E-10    2.0977738376E-27   -1.2524171746E-10    0.0000000000E+00
   -1.8680000000E+00    1.0000000000E+00    4.6580820391E-14    1.2741941584E-10    2.1697728283E-27   -1.2737283502E-10    0.0000000000E+00
