# Finite Square Well - State n = 8
# Parity (even=+1, odd=-1) = -1
# epsilon = E/V0 =    9.869604E-01
# k (inside)     =    6.283185E+00
# kappa (outside)=    7.222064E-01
# residual k*cot(k)+kappa ≈    3.008472E+08
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -2.0000000000E+00    1.0000000000E+00    6.1475813261E-13   -1.0143401236E-08    3.7792756161E-25    1.0144015994E-08    0.0000000000E+00
   -1.9960000000E+00    1.0000000000E+00    6.1653662937E-13   -1.0172746120E-08    3.8011741536E-25    1.0173362657E-08    0.0000000000E+00
   -1.9920000000E+00    1.0000000000E+00    6.1832027133E-13   -1.0202175899E-08    3.8231995794E-25    1.0202794219E-08    0.0000000000E+00
   -1.9880000000E+00    1.0000000000E+00    6.2010907337E-13   -1.0231690819E-08    3.8453526287E-25    1.0232310928E-08    0.0000000000E+00
   -1.9840000000E+00    1.0000000000E+00    6.2190305041E-13   -1.0261291125E-08    3.8676340411E-25    1.0261913028E-08    0.0000000000E+00
   -1.9800000000E+00    1.0000000000E+00    6.2370221744E-13   -1.0290977065E-08    3.8900445604E-25    1.0291600767E-08    0.0000000000E+00
   -1.9760000000E+00    1.0000000000E+00    6.2550658946E-13   -1.0320748886E-08    3.9125849346E-25    1.0321374393E-08    0.0000000000E+00
   -1.9720000000E+00    1.0000000000E+00    6.2731618153E-13   -1.0350606838E-08    3.9352559161E-25    1.0351234154E-08    0.0000000000E+00
   -1.9680000000E+00    1.0000000000E+00    6.2913100876E-13   -1.0380551168E-08    3.9580582618E-25    1.0381180299E-08    0.0000000000E+00
   -1.9640000000E+00    1.0000000000E+00    6.3095108629E-13   -1.0410582128E-08    3.9809927329E-25    1.0411213079E-08    0.0000000000E+00
   -1.9600000000E+00    1.0000000000E+00    6.3277642930E-13   -1.0440699967E-08    4.0040600948E-25    1.0441332744E-08    0.0000000000E+00
   -1.9560000000E+00    1.0000000000E+00    6.3460705304E-13   -1.0470904937E-08    4.0272611177E-25    1.0471539544E-08    0.0000000000E+00
   -1.9520000000E+00    1.0000000000E+00    6.3644297278E-13   -1.0501197291E-08    4.0505965760E-25    1.0501833734E-08    0.0000000000E+00
   -1.9480000000E+00    1.0000000000E+00    6.3828420383E-13   -1.0531577280E-08    4.0740672486E-25    1.0532215564E-08    0.0000000000E+00
   -1.9440000000E+00    1.0000000000E+00    6.4013076158E-13   -1.0562045158E-08    4.0976739192E-25    1.0562685289E-08    0.0000000000E+00
   -1.9400000000E+00    1.0000000000E+00    6.4198266141E-13   -1.0592601180E-08    4.1214173756E-25    1.0593243163E-08    0.0000000000E+00
   -1.9360000000E+00    1.0000000000E+00    6.4383991880E-13   -1.0623245601E-08    4.1452984104E-25    1.0623889441E-08    0.0000000000E+00
   -1.9320000000E+00    1.0000000000E+00    6.4570254924E-13   -1.0653978676E-08    4.1693178210E-25    1.0654624379E-08    0.0000000000E+00
   -1.9280000000E+00    1.0000000000E+00    6.4757056828E-13   -1.0684800662E-08    4.1934764090E-25    1.0685448233E-08    0.0000000000E+00
   -1.9240000000E+00    1.0000000000E+00    6.4944399149E-13   -1.0715711816E-08    4.2177749809E-25    1.0716361260E-08    0.0000000000E+00
   -1.9200000000E+00    1.0000000000E+00    6.5132283453E-13   -1.0746712397E-08    4.2422143478E-25    1.0747363719E-08    0.0000000000E+00
   -1.9160000000E+00    1.0000000000E+00    6.5320711306E-13   -1.0777802662E-08    4.2667953255E-25    1.0778455869E-08    0.0000000000E+00
   -1.9120000000E+00    1.0000000000E+00    6.5509684281E-13   -1.0808982871E-08    4.2915187347E-25    1.0809637968E-08    0.0000000000E+00
   -1.9080000000E+00    1.0000000000E+00    6.5699203956E-13   -1.0840253284E-08    4.3163854005E-25    1.0840910276E-08    0.0000000000E+00
   -1.9040000000E+00    1.0000000000E+00    6.5889271912E-13   -1.0871614163E-08    4.3413961531E-25    1.0872273056E-08    0.0000000000E+00
   -1.9000000000E+00    1.0000000000E+00    6.6079889734E-13   -1.0903065769E-08    4.3665518273E-25    1.0903726568E-08    0.0000000000E+00
   -1.8960000000E+00    1.0000000000E+00    6.6271059015E-13   -1.0934608365E-08    4.3918532630E-25    1.0935271075E-08    0.0000000000E+00
   -1.8920000000E+00    1.0000000000E+00    6.6462781349E-13   -1.0966242213E-08    4.4173013046E-25    1.0966906841E-08    0.0000000000E+00
   -1.8880000000E+00    1.0000000000E+00    6.6655058336E-13   -1.0997967578E-08    4.4428968017E-25    1.0998634129E-08    0.0000000000E+00
