# Finite Square Well - State n = 9
# Parity (even=+1, odd=-1) = 1
# epsilon = E/V0 =    9.986291E-01
# k (inside)     =    6.320219E+00
# kappa (outside)=    2.341668E-01
# residual k*tan(k)-kappa ≈    1.361526E-07
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -2.0000000000E+00    1.0000000000E+00    4.9030438490E-01    4.9030438447E-01    2.4039838985E-01    4.2645170728E-10    0.0000000000E+00
   -1.9960000000E+00    1.0000000000E+00    4.9076385211E-01    4.9076385169E-01    2.4084915854E-01    4.2685133206E-10    0.0000000000E+00
   -1.9920000000E+00    1.0000000000E+00    4.9122374990E-01    4.9122374947E-01    2.4130077246E-01    4.2725140093E-10    0.0000000000E+00
   -1.9880000000E+00    1.0000000000E+00    4.9168407865E-01    4.9168407823E-01    2.4175323320E-01    4.2765169184E-10    0.0000000000E+00
   -1.9840000000E+00    1.0000000000E+00    4.9214483879E-01    4.9214483836E-01    2.4220654235E-01    4.2805248235E-10    0.0000000000E+00
   -1.9800000000E+00    1.0000000000E+00    4.9260603071E-01    4.9260603028E-01    2.4266070149E-01    4.2845366144E-10    0.0000000000E+00
   -1.9760000000E+00    1.0000000000E+00    4.9306765481E-01    4.9306765438E-01    2.4311571222E-01    4.2885511808E-10    0.0000000000E+00
   -1.9720000000E+00    1.0000000000E+00    4.9352971150E-01    4.9352971107E-01    2.4357157613E-01    4.2925701882E-10    0.0000000000E+00
   -1.9680000000E+00    1.0000000000E+00    4.9399220119E-01    4.9399220076E-01    2.4402829483E-01    4.2965930813E-10    0.0000000000E+00
   -1.9640000000E+00    1.0000000000E+00    4.9445512428E-01    4.9445512385E-01    2.4448586992E-01    4.3006193051E-10    0.0000000000E+00
   -1.9600000000E+00    1.0000000000E+00    4.9491848118E-01    4.9491848075E-01    2.4494430301E-01    4.3046488596E-10    0.0000000000E+00
   -1.9560000000E+00    1.0000000000E+00    4.9538227229E-01    4.9538227186E-01    2.4540359570E-01    4.3086834101E-10    0.0000000000E+00
   -1.9520000000E+00    1.0000000000E+00    4.9584649802E-01    4.9584649759E-01    2.4586374960E-01    4.3127207361E-10    0.0000000000E+00
   -1.9480000000E+00    1.0000000000E+00    4.9631115879E-01    4.9631115835E-01    2.4632476634E-01    4.3167619479E-10    0.0000000000E+00
   -1.9440000000E+00    1.0000000000E+00    4.9677625499E-01    4.9677625455E-01    2.4678664752E-01    4.3208076006E-10    0.0000000000E+00
   -1.9400000000E+00    1.0000000000E+00    4.9724178703E-01    4.9724178660E-01    2.4724939477E-01    4.3248571391E-10    0.0000000000E+00
   -1.9360000000E+00    1.0000000000E+00    4.9770775533E-01    4.9770775489E-01    2.4771300971E-01    4.3289094531E-10    0.0000000000E+00
   -1.9320000000E+00    1.0000000000E+00    4.9817416029E-01    4.9817415985E-01    2.4817749398E-01    4.3329656529E-10    0.0000000000E+00
   -1.9280000000E+00    1.0000000000E+00    4.9864100232E-01    4.9864100188E-01    2.4864284919E-01    4.3370262937E-10    0.0000000000E+00
   -1.9240000000E+00    1.0000000000E+00    4.9910828183E-01    4.9910828139E-01    2.4910907699E-01    4.3410908201E-10    0.0000000000E+00
   -1.9200000000E+00    1.0000000000E+00    4.9957599923E-01    4.9957599879E-01    2.4957617900E-01    4.3451586773E-10    0.0000000000E+00
   -1.9160000000E+00    1.0000000000E+00    5.0004415493E-01    5.0004415449E-01    2.5004415688E-01    4.3492309754E-10    0.0000000000E+00
   -1.9120000000E+00    1.0000000000E+00    5.0051274934E-01    5.0051274891E-01    2.5051301225E-01    4.3533077143E-10    0.0000000000E+00
   -1.9080000000E+00    1.0000000000E+00    5.0098178288E-01    5.0098178244E-01    2.5098274677E-01    4.3573866737E-10    0.0000000000E+00
   -1.9040000000E+00    1.0000000000E+00    5.0145125595E-01    5.0145125551E-01    2.5145336209E-01    4.3614700740E-10    0.0000000000E+00
   -1.9000000000E+00    1.0000000000E+00    5.0192116896E-01    5.0192116853E-01    2.5192485985E-01    4.3655568049E-10    0.0000000000E+00
   -1.8960000000E+00    1.0000000000E+00    5.0239152234E-01    5.0239152190E-01    2.5239724171E-01    4.3696479768E-10    0.0000000000E+00
   -1.8920000000E+00    1.0000000000E+00    5.0286231648E-01    5.0286231604E-01    2.5287050934E-01    4.3737413691E-10    0.0000000000E+00
   -1.8880000000E+00    1.0000000000E+00    5.0333355181E-01    5.0333355137E-01    2.5334466438E-01    4.3778414227E-10    0.0000000000E+00
   -1.8840000000E+00    1.0000000000E+00    5.0380522874E-01    5.0380522830E-01    2.5381970850E-01    4.3819436968E-10    0.0000000000E+00
   -1.8800000000E+00    1.0000000000E+00    5.0427734767E-01    5.0427734724E-01    2.5429564338E-01    4.3860504118E-10    0.0000000000E+00
   -1.8760000000E+00    1.0000000000E+00    5.0474990904E-01    5.0474990860E-01    2.5477247067E-01    4.3901604574E-10    0.0000000000E+00
   -1.8720000000E+00    1.0000000000E+00    5.0522291324E-01    5.0522291280E-01    2.5525019206E-01    4.3942738337E-10    0.0000000000E+00
   -1.8680000000E+00    1.0000000000E+00    5.0569636070E-01    5.0569636026E-01    2.5572880923E-01    4.3983916509E-10    0.0000000000E+00
   -1.8640000000E+00    1.0000000000E+00    5.0617025183E-01    5.0617025139E-01    2.5620832384E-01    4.4025139090E-10    0.0000000000E+00
   -1.8600000000E+00    1.0000000000E+00    5.0664458705E-01    5.0664458661E-01    2.5668873758E-01    4.4066394977E-10    0.0000000000E+00
   -1.8560000000E+00    1.0000000000E+00    5.0711936676E-01    5.0711936632E-01    2.5717005215E-01    4.4107684172E-10    0.0000000000E+00
   -1.8520000000E+00    1.0000000000E+00    5.0759459140E-01    5.0759459096E-01    2.5765226922E-01    4.4149028877E-10    0.0000000000E+00
   -1.8480000000E+00    1.0000000000E+00    5.0807026137E-01    5.0807026093E-01    2.5813539049E-01    4.4190395787E-10    0.0000000000E+00
   -1.8440000000E+00    1.0000000000E+00    5.0854637710E-01    5.0854637666E-01    2.5861941766E-01    4.4231818208E-10    0.0000000000E+00
   -1.8400000000E+00    1.0000000000E+00    5.0902293900E-01    5.0902293855E-01    2.5910435242E-01    4.4273262834E-10    0.0000000000E+00
   -1.8360000000E+00    1.0000000000E+00    5.0949994748E-01    5.0949994704E-01    2.5959019648E-01    4.4314740766E-10    0.0000000000E+00
   -1.8320000000E+00    1.0000000000E+00    5.0997740298E-01    5.0997740253E-01    2.6007695155E-01    4.4356263107E-10    0.0000000000E+00
   -1.8280000000E+00    1.0000000000E+00    5.1045530590E-01    5.1045530545E-01    2.6056461932E-01    4.4397829857E-10    0.0000000000E+00
   -1.8240000000E+00    1.0000000000E+00    5.1093365666E-01    5.1093365622E-01    2.6105320151E-01    4.4439441016E-10    0.0000000000E+00
   -1.8200000000E+00    1.0000000000E+00    5.1141245569E-01    5.1141245525E-01    2.6154269984E-01    4.4481096584E-10    0.0000000000E+00
   -1.8160000000E+00    1.0000000000E+00    5.1189170341E-01    5.1189170296E-01    2.6203311602E-01    4.4522774356E-10    0.0000000000E+00
   -1.8120000000E+00    1.0000000000E+00    5.1237140023E-01    5.1237139979E-01    2.6252445178E-01    4.4564485435E-10    0.0000000000E+00
   -1.8080000000E+00    1.0000000000E+00    5.1285154658E-01    5.1285154613E-01    2.6301670883E-01    4.4606263128E-10    0.0000000000E+00
   -1.8040000000E+00    1.0000000000E+00    5.1333214288E-01    5.1333214243E-01    2.6350988891E-01    4.4648051922E-10    0.0000000000E+00
   -1.8000000000E+00    1.0000000000E+00    5.1381318955E-01    5.1381318910E-01    2.6400399375E-01    4.4689896228E-10    0.0000000000E+00
   -1.7960000000E+00    1.0000000000E+00    5.1429468700E-01    5.1429468656E-01    2.6449902508E-01    4.4731773841E-10    0.0000000000E+00
