# Infinite Square Well - State n = 1
# Numerical k        =       3.141592653590
# Analytic  k        =       3.141592653590
# |k - k_exact|      =    0.000000E+00
# rel. error k       =    0.000000E+00
# Numerical Energy   =       4.934802200545
# Analytic  Energy   =       4.934802200545
# |E - E_exact|      =    0.000000E+00
# rel. error E       =    0.000000E+00
# Well width L       =   1.000000
# columns: x   V(x)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
    0.0000000000E+00    1.0000000000E+20    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    1.0000000000E-03    0.0000000000E+00    4.4428756299E-03    4.4428756299E-03    1.9739143863E-05   -5.3967247338E-15    1.6449340670E-09
    2.0000000000E-03    0.0000000000E+00    8.8857074104E-03    8.8857074104E-03    7.8955796184E-05   -1.0791714744E-14    1.6449218908E-09
    3.0000000000E-03    0.0000000000E+00    1.3328451493E-02    1.3328451493E-02    1.7764761919E-04   -1.6183235307E-14    1.6448934799E-09
    4.0000000000E-03    0.0000000000E+00    1.7771064028E-02    1.7771064028E-02    3.1581071670E-04   -2.1583429488E-14    1.6448488346E-09
    5.0000000000E-03    0.0000000000E+00    2.2213501171E-02    2.2213501171E-02    4.9343963427E-04   -2.6974950051E-14    1.6447879554E-09
    6.0000000000E-03    0.0000000000E+00    2.6655719075E-02    2.6655719075E-02    7.1052735941E-04   -3.2366470615E-14    1.6447108428E-09
    7.0000000000E-03    0.0000000000E+00    3.1097673898E-02    3.1097673898E-02    9.6706532187E-04   -3.7757991178E-14    1.6446174975E-09
    8.0000000000E-03    0.0000000000E+00    3.5539321800E-02    3.5539321800E-02    1.2630433940E-03   -4.3159920082E-14    1.6445079207E-09
    9.0000000000E-03    0.0000000000E+00    3.9980618942E-02    3.9980618942E-02    1.5984498910E-03   -4.8544501752E-14    1.6443821129E-09
    1.0000000000E-02    0.0000000000E+00    4.4421521493E-02    4.4421521493E-02    1.9732715717E-03   -5.3936022315E-14    1.6442400757E-09
    1.1000000000E-02    0.0000000000E+00    4.8861985620E-02    4.8861985620E-02    2.3874936388E-03   -5.9313665091E-14    1.6440818108E-09
    1.2000000000E-02    0.0000000000E+00    5.3301967500E-02    5.3301967500E-02    2.8410997394E-03   -6.4719063442E-14    1.6439073193E-09
    1.3000000000E-02    0.0000000000E+00    5.7741423311E-02    5.7741423311E-02    3.3340719660E-03   -7.0089767323E-14    1.6437166031E-09
    1.4000000000E-02    0.0000000000E+00    6.2180309237E-02    6.2180309237E-02    3.8663908568E-03   -7.5474348993E-14    1.6435096641E-09
    1.5000000000E-02    0.0000000000E+00    6.6618581469E-02    6.6618581469E-02    4.4380353969E-03   -8.0851991768E-14    1.6432865047E-09
    1.6000000000E-02    0.0000000000E+00    7.1056196202E-02    7.1056196202E-02    5.0489830187E-03   -8.6236573438E-14    1.6430471263E-09
    1.7000000000E-02    0.0000000000E+00    7.5493109639E-02    7.5493109639E-02    5.6992096030E-03   -9.1621155107E-14    1.6427915317E-09
    1.8000000000E-02    0.0000000000E+00    7.9929277990E-02    7.9929277990E-02    6.3886894800E-03   -9.6991858989E-14    1.6425197235E-09
    1.9000000000E-02    0.0000000000E+00    8.4364657471E-02    8.4364657471E-02    7.1173954302E-03   -1.0237644066E-13    1.6422317044E-09
    2.0000000000E-02    0.0000000000E+00    8.8799204307E-02    8.8799204307E-02    7.8852986855E-03   -1.0776102233E-13    1.6419274770E-09
    2.1000000000E-02    0.0000000000E+00    9.3232874730E-02    9.3232874730E-02    8.6923689305E-03   -1.1313172621E-13    1.6416070443E-09
    2.2000000000E-02    0.0000000000E+00    9.7665624983E-02    9.7665624983E-02    9.5385743033E-03   -1.1848855230E-13    1.6412704099E-09
    2.3000000000E-02    0.0000000000E+00    1.0209741132E-01    1.0209741132E-01    1.0423881397E-02   -1.2385925618E-13    1.6409175767E-09
    2.4000000000E-02    0.0000000000E+00    1.0652818999E-01    1.0652818999E-01    1.1348255262E-02   -1.2922996007E-13    1.6405485484E-09
    2.5000000000E-02    0.0000000000E+00    1.1095791727E-01    1.1095791727E-01    1.2311659405E-02   -1.3458678616E-13    1.6401633285E-09
    2.6000000000E-02    0.0000000000E+00    1.1538654944E-01    1.1538654944E-01    1.3314055792E-02   -1.3994361225E-13    1.6397619206E-09
    2.7000000000E-02    0.0000000000E+00    1.1981404280E-01    1.1981404280E-01    1.4355404851E-02   -1.4530043835E-13    1.6393443291E-09
    2.8000000000E-02    0.0000000000E+00    1.2424035363E-01    1.2424035363E-01    1.5435665471E-02   -1.5064338665E-13    1.6389105583E-09
