# Infinite Square Well - State n = 2
# Numerical k        =       6.283185307180
# Analytic  k        =       6.283185307180
# |k - k_exact|      =    0.000000E+00
# rel. error k       =    0.000000E+00
# Numerical Energy   =      19.739208802179
# Analytic  Energy   =      19.739208802179
# |E - E_exact|      =    0.000000E+00
# rel. error E       =    0.000000E+00
# Well width L       =   1.000000
# columns: x   V(x)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
    0.0000000000E+00    1.0000000000E+20    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    1.0000000000E-03    0.0000000000E+00    8.8857074103E-03    8.8857074104E-03    7.8955796181E-05   -1.7122414597E-13    6.5797362676E-09
    2.0000000000E-03    0.0000000000E+00    1.7771064028E-02    1.7771064028E-02    3.1581071669E-04   -3.4244482250E-13    6.5795414503E-09
    3.0000000000E-03    0.0000000000E+00    2.6655719075E-02    2.6655719075E-02    7.1052735938E-04   -5.1363774345E-13    6.5790868838E-09
    4.0000000000E-03    0.0000000000E+00    3.5539321799E-02    3.5539321800E-02    1.2630433939E-03   -6.8478556159E-13    6.5783725862E-09
    5.0000000000E-03    0.0000000000E+00    4.4421521492E-02    4.4421521493E-02    1.9732715717E-03   -8.5588480747E-13    6.5773985861E-09
    6.0000000000E-03    0.0000000000E+00    5.3301967499E-02    5.3301967500E-02    2.8410997393E-03   -1.0269216033E-12    6.5761649212E-09
    7.0000000000E-03    0.0000000000E+00    6.2180309236E-02    6.2180309237E-02    3.8663908567E-03   -1.1978473768E-12    6.5746716407E-09
    8.0000000000E-03    0.0000000000E+00    7.1056196201E-02    7.1056196202E-02    5.0489830185E-03   -1.3686829448E-12    6.5729188034E-09
    9.0000000000E-03    0.0000000000E+00    7.9929277988E-02    7.9929277990E-02    6.3886894797E-03   -1.5393797348E-12    6.5709064784E-09
    1.0000000000E-02    0.0000000000E+00    8.8799204305E-02    8.8799204307E-02    7.8852986852E-03   -1.7099793803E-12    6.5686347457E-09
    1.1000000000E-02    0.0000000000E+00    9.7665624981E-02    9.7665624983E-02    9.5385743030E-03   -1.8803986146E-12    6.5661036942E-09
    1.2000000000E-02    0.0000000000E+00    1.0652818999E-01    1.0652818999E-01    1.1348255262E-02   -2.0506651932E-12    6.5633134242E-09
    1.3000000000E-02    0.0000000000E+00    1.1538654944E-01    1.1538654944E-01    1.3314055792E-02   -2.2207374828E-12    6.5602640460E-09
    1.4000000000E-02    0.0000000000E+00    1.2424035363E-01    1.2424035363E-01    1.5435665470E-02   -2.3906293611E-12    6.5569556794E-09
    1.5000000000E-02    0.0000000000E+00    1.3308925302E-01    1.3308925303E-01    1.7712749271E-02   -2.5602853171E-12    6.5533884560E-09
    1.6000000000E-02    0.0000000000E+00    1.4193289828E-01    1.4193289829E-01    2.0144947615E-02   -2.7297331062E-12    6.5495625156E-09
    1.7000000000E-02    0.0000000000E+00    1.5077094027E-01    1.5077094028E-01    2.2731876431E-02   -2.8989310952E-12    6.5454780099E-09
    1.8000000000E-02    0.0000000000E+00    1.5960303009E-01    1.5960303009E-01    2.5473127212E-02   -3.0677960172E-12    6.5411350997E-09
    1.9000000000E-02    0.0000000000E+00    1.6842881904E-01    1.6842881905E-01    2.8368267084E-02   -3.2364666502E-12    6.5365339571E-09
    2.0000000000E-02    0.0000000000E+00    1.7724795872E-01    1.7724795872E-01    3.1416838870E-02   -3.4048597275E-12    6.5316747629E-09
    2.1000000000E-02    0.0000000000E+00    1.8606010095E-01    1.8606010095E-01    3.4618361165E-02   -3.5728919823E-12    6.5265577094E-09
    2.2000000000E-02    0.0000000000E+00    1.9486489785E-01    1.9486489785E-01    3.7972328412E-02   -3.7405911701E-12    6.5211829988E-09
    2.3000000000E-02    0.0000000000E+00    2.0366200181E-01    2.0366200181E-01    4.1478210981E-02   -3.9079850467E-12    6.5155508430E-09
    2.4000000000E-02    0.0000000000E+00    2.1245106555E-01    2.1245106555E-01    4.5135455252E-02   -4.0750458563E-12    6.5096614642E-09
    2.5000000000E-02    0.0000000000E+00    2.2123174208E-01    2.2123174208E-01    4.8943483703E-02   -4.2416903323E-12    6.5035150954E-09
    2.6000000000E-02    0.0000000000E+00    2.3000368476E-01    2.3000368476E-01    5.2901695003E-02   -4.4079184747E-12    6.4971119788E-09
    2.7000000000E-02    0.0000000000E+00    2.3876654729E-01    2.3876654729E-01    5.7009464105E-02   -4.5737857945E-12    6.4904523672E-09
    2.8000000000E-02    0.0000000000E+00    2.4751998373E-01    2.4751998373E-01    6.1266142344E-02   -4.7392367808E-12    6.4835365241E-09
    2.9000000000E-02    0.0000000000E+00    2.5626364850E-01    2.5626364850E-01    6.5671057541E-02   -4.9042436778E-12    6.4763647216E-09
    3.0000000000E-02    0.0000000000E+00    2.6499719642E-01    2.6499719642E-01    7.0223514109E-02   -5.0687787301E-12    6.4689372437E-09
    3.1000000000E-02    0.0000000000E+00    2.7372028270E-01    2.7372028271E-01    7.4922793163E-02   -5.2328696931E-12    6.4612543829E-09
    3.2000000000E-02    0.0000000000E+00    2.8243256298E-01    2.8243256298E-01    7.9768152631E-02   -5.3965165669E-12    6.4533164433E-09
    3.3000000000E-02    0.0000000000E+00    2.9113369330E-01    2.9113369331E-01    8.4758827376E-02   -5.5596638404E-12    6.4451237374E-09
    3.4000000000E-02    0.0000000000E+00    2.9982333017E-01    2.9982333017E-01    8.9894029312E-02   -5.7223115135E-12    6.4366765893E-09
    3.5000000000E-02    0.0000000000E+00    3.0850113052E-01    3.0850113052E-01    9.5172947530E-02   -5.8843485640E-12    6.4279753321E-09
    3.6000000000E-02    0.0000000000E+00    3.1716675177E-01    3.1716675178E-01    1.0059474843E-01   -6.0458305029E-12    6.4190203092E-09
    3.7000000000E-02    0.0000000000E+00    3.2581985183E-01    3.2581985183E-01    1.0615857584E-01   -6.2068683526E-12    6.4098118747E-09
    3.8000000000E-02    0.0000000000E+00    3.3446008907E-01    3.3446008908E-01    1.1186355118E-01   -6.3673510908E-12    6.4003503917E-09
    3.9000000000E-02    0.0000000000E+00    3.4308712241E-01    3.4308712241E-01    1.1770877356E-01   -6.5271676952E-12    6.3906362338E-09
    4.0000000000E-02    0.0000000000E+00    3.5170061125E-01    3.5170061125E-01    1.2369331995E-01   -6.6864846993E-12    6.3806697847E-09
    4.1000000000E-02    0.0000000000E+00    3.6030021555E-01    3.6030021556E-01    1.2981624533E-01   -6.8450245472E-12    6.3704514374E-09
    4.2000000000E-02    0.0000000000E+00    3.6888559582E-01    3.6888559582E-01    1.3607658280E-01   -7.0030647947E-12    6.3599815960E-09
    4.3000000000E-02    0.0000000000E+00    3.7745641311E-01    3.7745641312E-01    1.4247334380E-01   -7.1603278862E-12    6.3492606730E-09
    4.4000000000E-02    0.0000000000E+00    3.8601232908E-01    3.8601232908E-01    1.4900551820E-01   -7.3169248438E-12    6.3382890923E-09
    4.5000000000E-02    0.0000000000E+00    3.9455300593E-01    3.9455300594E-01    1.5567207449E-01   -7.4730777122E-12    6.3270672865E-09
    4.6000000000E-02    0.0000000000E+00    4.0307810651E-01    4.0307810652E-01    1.6247195995E-01   -7.6282868910E-12    6.3155956992E-09
    4.7000000000E-02    0.0000000000E+00    4.1158729426E-01    4.1158729427E-01    1.6940410080E-01   -7.7829409584E-12    6.3038747831E-09
    4.8000000000E-02    0.0000000000E+00    4.2008023325E-01    4.2008023325E-01    1.7646740236E-01   -7.9368733807E-12    6.2919050005E-09
    4.9000000000E-02    0.0000000000E+00    4.2855658818E-01    4.2855658819E-01    1.8366074928E-01   -8.0899176247E-12    6.2796868245E-09
    5.0000000000E-02    0.0000000000E+00    4.3701602444E-01    4.3701602445E-01    1.9098300562E-01   -8.2422957348E-12    6.2672207370E-09
    5.1000000000E-02    0.0000000000E+00    4.4545820805E-01    4.4545820806E-01    1.9843301512E-01   -8.3939522000E-12    6.2545072307E-09
    5.2000000000E-02    0.0000000000E+00    4.5388280574E-01    4.5388280575E-01    2.0600960134E-01   -8.5448870202E-12    6.2415468068E-09
    5.3000000000E-02    0.0000000000E+00    4.6228948491E-01    4.6228948492E-01    2.1371156786E-01   -8.6948781508E-12    6.2283399773E-09
    5.4000000000E-02    0.0000000000E+00    4.7067791368E-01    4.7067791369E-01    2.2153769842E-01   -8.8441476365E-12    6.2148872639E-09
    5.5000000000E-02    0.0000000000E+00    4.7904776089E-01    4.7904776090E-01    2.2948675722E-01   -8.9926399660E-12    6.2011891971E-09
    5.6000000000E-02    0.0000000000E+00    4.8739869612E-01    4.8739869613E-01    2.3755748898E-01   -9.1401330948E-12    6.1872463183E-09
    5.7000000000E-02    0.0000000000E+00    4.9573038968E-01    4.9573038969E-01    2.4574861925E-01   -9.2869045787E-12    6.1730591773E-09
    5.8000000000E-02    0.0000000000E+00    5.0404251266E-01    5.0404251267E-01    2.5405885457E-01   -9.4327878841E-12    6.1586283348E-09
    5.9000000000E-02    0.0000000000E+00    5.1233473690E-01    5.1233473691E-01    2.6248688263E-01   -9.5776719888E-12    6.1439543600E-09
    6.0000000000E-02    0.0000000000E+00    5.2060673504E-01    5.2060673505E-01    2.7103137257E-01   -9.7217789374E-12    6.1290378325E-09
    6.1000000000E-02    0.0000000000E+00    5.2885818052E-01    5.2885818053E-01    2.7969097510E-01   -9.8648866853E-12    6.1138793409E-09
    6.2000000000E-02    0.0000000000E+00    5.3708874758E-01    5.3708874759E-01    2.8846432278E-01   -1.0007217277E-11    6.0984794840E-09
    6.3000000000E-02    0.0000000000E+00    5.4529811130E-01    5.4529811131E-01    2.9735003019E-01   -1.0148437646E-11    6.0828388694E-09
    6.4000000000E-02    0.0000000000E+00    5.5348594759E-01    5.5348594760E-01    3.0634669418E-01   -1.0288880858E-11    6.0669581148E-09
    6.5000000000E-02    0.0000000000E+00    5.6165193319E-01    5.6165193320E-01    3.1545289406E-01   -1.0428213848E-11    6.0508378472E-09
    6.6000000000E-02    0.0000000000E+00    5.6979574574E-01    5.6979574575E-01    3.2466719187E-01   -1.0566547637E-11    6.0344787028E-09
    6.7000000000E-02    0.0000000000E+00    5.7791706373E-01    5.7791706374E-01    3.3398813255E-01   -1.0703993247E-11    6.0178813275E-09
    6.8000000000E-02    0.0000000000E+00    5.8601556655E-01    5.8601556656E-01    3.4341424423E-01   -1.0840439657E-11    6.0010463765E-09
    6.9000000000E-02    0.0000000000E+00    5.9409093447E-01    5.9409093448E-01    3.5294403842E-01   -1.0975664821E-11    5.9839745145E-09
    7.0000000000E-02    0.0000000000E+00    6.0214284870E-01    6.0214284871E-01    3.6257601024E-01   -1.1110112830E-11    5.9666664156E-09
    7.1000000000E-02    0.0000000000E+00    6.1017099136E-01    6.1017099137E-01    3.7230863870E-01   -1.1243339593E-11    5.9491227627E-09
    7.2000000000E-02    0.0000000000E+00    6.1817504551E-01    6.1817504552E-01    3.8214038690E-01   -1.1375456133E-11    5.9313442487E-09
    7.3000000000E-02    0.0000000000E+00    6.2615469518E-01    6.2615469519E-01    3.9206970229E-01   -1.1506684494E-11    5.9133315754E-09
    7.4000000000E-02    0.0000000000E+00    6.3410962532E-01    6.3410962533E-01    4.0209501693E-01   -1.1636802633E-11    5.8950854539E-09
    7.5000000000E-02    0.0000000000E+00    6.4203952191E-01    6.4203952192E-01    4.1221474769E-01   -1.1765588503E-11    5.8766066045E-09
    7.6000000000E-02    0.0000000000E+00    6.4994407187E-01    6.4994407188E-01    4.2242729656E-01   -1.1893486196E-11    5.8578957568E-09
    7.7000000000E-02    0.0000000000E+00    6.5782296316E-01    6.5782296317E-01    4.3273105086E-01   -1.2020273665E-11    5.8389536493E-09
    7.8000000000E-02    0.0000000000E+00    6.6567588472E-01    6.6567588473E-01    4.4312438350E-01   -1.2145728867E-11    5.8197810299E-09
    7.9000000000E-02    0.0000000000E+00    6.7350252654E-01    6.7350252655E-01    4.5360565325E-01   -1.2270073846E-11    5.8003786555E-09
    8.0000000000E-02    0.0000000000E+00    6.8130257963E-01    6.8130257964E-01    4.6417320500E-01   -1.2393419624E-11    5.7807472923E-09
    8.1000000000E-02    0.0000000000E+00    6.8907573606E-01    6.8907573607E-01    4.7482537002E-01   -1.2515322112E-11    5.7608877149E-09
    8.2000000000E-02    0.0000000000E+00    6.9682168896E-01    6.9682168897E-01    4.8556046620E-01   -1.2636336422E-11    5.7408007075E-09
    8.3000000000E-02    0.0000000000E+00    7.0454013253E-01    7.0454013254E-01    4.9637679835E-01   -1.2755907441E-11    5.7204870632E-09
    8.4000000000E-02    0.0000000000E+00    7.1223076207E-01    7.1223076208E-01    5.0727265843E-01   -1.2874368238E-11    5.6999475839E-09
    8.5000000000E-02    0.0000000000E+00    7.1989327395E-01    7.1989327396E-01    5.1824632588E-01   -1.2991607790E-11    5.6791830803E-09
    8.6000000000E-02    0.0000000000E+00    7.2752736568E-01    7.2752736569E-01    5.2929606782E-01   -1.3107515073E-11    5.6581943723E-09
    8.7000000000E-02    0.0000000000E+00    7.3513273588E-01    7.3513273589E-01    5.4042013936E-01   -1.3222201112E-11    5.6369822885E-09
    8.8000000000E-02    0.0000000000E+00    7.4270908429E-01    7.4270908431E-01    5.5161678389E-01   -1.3335443860E-11    5.6155476663E-09
    8.9000000000E-02    0.0000000000E+00    7.5025611182E-01    7.5025611184E-01    5.6288423333E-01   -1.3447687408E-11    5.5938913520E-09
    9.0000000000E-02    0.0000000000E+00    7.5777352053E-01    7.5777352054E-01    5.7422070841E-01   -1.3558709711E-11    5.5720142003E-09
    9.1000000000E-02    0.0000000000E+00    7.6526101363E-01    7.6526101365E-01    5.8562441899E-01   -1.3668066678E-11    5.5499170752E-09
    9.2000000000E-02    0.0000000000E+00    7.7271829554E-01    7.7271829556E-01    5.9709356427E-01   -1.3776535468E-11    5.5276008486E-09
    9.3000000000E-02    0.0000000000E+00    7.8014507186E-01    7.8014507187E-01    6.0862633314E-01   -1.3883227901E-11    5.5050664021E-09
    9.4000000000E-02    0.0000000000E+00    7.8754104938E-01    7.8754104939E-01    6.2022090446E-01   -1.3988810110E-11    5.4823146247E-09
    9.5000000000E-02    0.0000000000E+00    7.9490593613E-01    7.9490593614E-01    6.3187544729E-01   -1.4093060052E-11    5.4593464150E-09
    9.6000000000E-02    0.0000000000E+00    8.0223944135E-01    8.0223944137E-01    6.4358812126E-01   -1.4195866704E-11    5.4361626797E-09
    9.7000000000E-02    0.0000000000E+00    8.0954127554E-01    8.0954127555E-01    6.5535707680E-01   -1.4297341089E-11    5.4127643341E-09
    9.8000000000E-02    0.0000000000E+00    8.1681115042E-01    8.1681115044E-01    6.6718045545E-01   -1.4397483206E-11    5.3891523016E-09
    9.9000000000E-02    0.0000000000E+00    8.2404877900E-01    8.2404877901E-01    6.7905639017E-01   -1.4496071010E-11    5.3653275147E-09
    1.0000000000E-01    0.0000000000E+00    8.3125387554E-01    8.3125387555E-01    6.9098300560E-01   -1.4593326547E-11    5.3412909140E-09
    1.0100000000E-01    0.0000000000E+00    8.3842615560E-01    8.3842615562E-01    7.0295841840E-01   -1.4689138794E-11    5.3170434482E-09
    1.0200000000E-01    0.0000000000E+00    8.4556533604E-01    8.4556533605E-01    7.1498073751E-01   -1.4783507751E-11    5.2925860747E-09
    1.0300000000E-01    0.0000000000E+00    8.5267113500E-01    8.5267113501E-01    7.2704806446E-01   -1.4876544441E-11    5.2679197588E-09
    1.0400000000E-01    0.0000000000E+00    8.5974327196E-01    8.5974327198E-01    7.3915849368E-01   -1.4968137840E-11    5.2430454744E-09
    1.0500000000E-01    0.0000000000E+00    8.6678146774E-01    8.6678146775E-01    7.5131011281E-01   -1.5058065905E-11    5.2179642036E-09
    1.0600000000E-01    0.0000000000E+00    8.7378544446E-01    8.7378544447E-01    7.6350100295E-01   -1.5146772725E-11    5.1926769367E-09
    1.0700000000E-01    0.0000000000E+00    8.8075492563E-01    8.8075492565E-01    7.7572923902E-01   -1.5234036255E-11    5.1671846716E-09
    1.0800000000E-01    0.0000000000E+00    8.8768963611E-01    8.8768963612E-01    7.8799289005E-01   -1.5319412405E-11    5.1414884149E-09
    1.0900000000E-01    0.0000000000E+00    8.9458930211E-01    8.9458930213E-01    8.0029001946E-01   -1.5403456288E-11    5.1155891812E-09
    1.1000000000E-01    0.0000000000E+00    9.0145365127E-01    9.0145365128E-01    8.1261868539E-01   -1.5486056881E-11    5.0894879926E-09
    1.1100000000E-01    0.0000000000E+00    9.0828241258E-01    9.0828241259E-01    8.2497694100E-01   -1.5567214184E-11    5.0631858799E-09
    1.1200000000E-01    0.0000000000E+00    9.1507531645E-01    9.1507531647E-01    8.3736283478E-01   -1.5646595131E-11    5.0366838813E-09
    1.1300000000E-01    0.0000000000E+00    9.2183209472E-01    9.2183209473E-01    8.4977441085E-01   -1.5724754832E-11    5.0099830429E-09
    1.1400000000E-01    0.0000000000E+00    9.2855248063E-01    9.2855248065E-01    8.6220970929E-01   -1.5801138176E-11    4.9830844191E-09
    1.1500000000E-01    0.0000000000E+00    9.3523620888E-01    9.3523620890E-01    8.7466676641E-01   -1.5875745163E-11    4.9559890715E-09
    1.1600000000E-01    0.0000000000E+00    9.4188301561E-01    9.4188301563E-01    8.8714361510E-01   -1.5949130905E-11    4.9286980699E-09
    1.1700000000E-01    0.0000000000E+00    9.4849263841E-01    9.4849263843E-01    8.9963828512E-01   -1.6020629268E-11    4.9012124917E-09
    1.1800000000E-01    0.0000000000E+00    9.5506481634E-01    9.5506481636E-01    9.1214880342E-01   -1.6090573318E-11    4.8735334223E-09
    1.1900000000E-01    0.0000000000E+00    9.6159928995E-01    9.6159928997E-01    9.2467319444E-01   -1.6159074079E-11    4.8456619540E-09
    1.2000000000E-01    0.0000000000E+00    9.6809580127E-01    9.6809580129E-01    9.3720948044E-01   -1.6225687460E-11    4.8175991874E-09
    1.2100000000E-01    0.0000000000E+00    9.7455409382E-01    9.7455409384E-01    9.4975568179E-01   -1.6291079596E-11    4.7893462302E-09
