# Infinite Square Well - State n = 4
# Numerical k        =      12.566370618084
# Analytic  k        =      12.566370614359
# |k - k_exact|      =    3.725290E-09
# rel. error k       =    2.964492E-10
# Numerical Energy   =      78.956835255528
# Analytic  Energy   =      78.956835208715
# |E - E_exact|      =    4.681338E-08
# rel. error E       =    5.928984E-10
# Well width L       =   1.000000
# columns: x   V(x)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
    0.0000000000E+00    1.0000000000E+20    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    1.0000000000E-03    0.0000000000E+00    1.7771064031E-02    1.7771064028E-02    3.1581071679E-04    2.6056483360E-12    2.6318945085E-08
    2.0000000000E-03    0.0000000000E+00    3.5539321805E-02    3.5539321800E-02    1.2630433944E-03    5.2094231706E-12    2.6315828049E-08
    3.0000000000E-03    0.0000000000E+00    5.3301967508E-02    5.3301967500E-02    2.8410997402E-03    7.8103981616E-12    2.6308555439E-08
    4.0000000000E-03    0.0000000000E+00    7.1056196212E-02    7.1056196202E-02    5.0489830202E-03    1.0407688600E-11    2.6297128402E-08
    5.0000000000E-03    0.0000000000E+00    8.8799204320E-02    8.8799204307E-02    7.8852986878E-03    1.3000364674E-11    2.6281548744E-08
    6.0000000000E-03    0.0000000000E+00    1.0652819000E-01    1.0652818999E-01    1.1348255265E-02    1.5587531266E-11    2.6261818925E-08
    7.0000000000E-03    0.0000000000E+00    1.2424035365E-01    1.2424035363E-01    1.5435665475E-02    1.8168300198E-11    2.6237942061E-08
    8.0000000000E-03    0.0000000000E+00    1.4193289831E-01    1.4193289829E-01    2.0144947622E-02    2.0741741658E-11    2.6209921921E-08
    9.0000000000E-03    0.0000000000E+00    1.5960303011E-01    1.5960303009E-01    2.5473127221E-02    2.3306995223E-11    2.6177762930E-08
    1.0000000000E-02    0.0000000000E+00    1.7724795875E-01    1.7724795872E-01    3.1416838881E-02    2.5863033937E-11    2.6141470168E-08
    1.1000000000E-02    0.0000000000E+00    1.9486489788E-01    1.9486489785E-01    3.7972328425E-02    2.8409191666E-11    2.6101049364E-08
    1.2000000000E-02    0.0000000000E+00    2.1245106558E-01    2.1245106555E-01    4.5135455267E-02    3.0944358187E-11    2.6056506901E-08
    1.3000000000E-02    0.0000000000E+00    2.3000368480E-01    2.3000368476E-01    5.2901695021E-02    3.3467811855E-11    2.6007849815E-08
    1.4000000000E-02    0.0000000000E+00    2.4751998377E-01    2.4751998373E-01    6.1266142364E-02    3.5978497959E-11    2.5955085787E-08
    1.5000000000E-02    0.0000000000E+00    2.6499719646E-01    2.6499719642E-01    7.0223514132E-02    3.8475722608E-11    2.5898223151E-08
    1.6000000000E-02    0.0000000000E+00    2.8243256303E-01    2.8243256298E-01    7.9768152657E-02    4.0958403336E-11    2.5837270885E-08
    1.7000000000E-02    0.0000000000E+00    2.9982333021E-01    2.9982333017E-01    8.9894029341E-02    4.3425762986E-11    2.5772238614E-08
    1.8000000000E-02    0.0000000000E+00    3.1716675182E-01    3.1716675178E-01    1.0059474846E-01    4.5876968890E-11    2.5703136608E-08
    1.9000000000E-02    0.0000000000E+00    3.3446008913E-01    3.3446008908E-01    1.1186355122E-01    4.8310966339E-11    2.5629975779E-08
    2.0000000000E-02    0.0000000000E+00    3.5170061130E-01    3.5170061125E-01    1.2369331999E-01    5.0727144707E-11    2.5552767679E-08
    2.1000000000E-02    0.0000000000E+00    3.6888559588E-01    3.6888559582E-01    1.3607658285E-01    5.3124560306E-11    2.5471524501E-08
    2.2000000000E-02    0.0000000000E+00    3.8601232914E-01    3.8601232908E-01    1.4900551825E-01    5.5502324958E-11    2.5386259075E-08
    2.3000000000E-02    0.0000000000E+00    4.0307810658E-01    4.0307810652E-01    1.6247196000E-01    5.7859439462E-11    2.5296984863E-08
    2.4000000000E-02    0.0000000000E+00    4.2008023332E-01    4.2008023325E-01    1.7646740242E-01    6.0195237683E-11    2.5203715965E-08
    2.5000000000E-02    0.0000000000E+00    4.3701602451E-01    4.3701602445E-01    1.9098300568E-01    6.2508942467E-11    2.5106467107E-08
    2.6000000000E-02    0.0000000000E+00    4.5388280581E-01    4.5388280575E-01    2.0600960141E-01    6.4799443589E-11    2.5005253648E-08
    2.7000000000E-02    0.0000000000E+00    4.7067791375E-01    4.7067791369E-01    2.2153769850E-01    6.7066185938E-11    2.4900091569E-08
    2.8000000000E-02    0.0000000000E+00    4.8739869620E-01    4.8739869613E-01    2.3755748906E-01    6.9308336847E-11    2.4790997477E-08
    2.9000000000E-02    0.0000000000E+00    5.0404251274E-01    5.0404251267E-01    2.5405885465E-01    7.1524786094E-11    2.4677988599E-08
    3.0000000000E-02    0.0000000000E+00    5.2060673512E-01    5.2060673505E-01    2.7103137266E-01    7.3715145099E-11    2.4561082780E-08
