# Infinite Square Well - State n = 5
# Numerical k        =      15.707963275400
# Analytic  k        =      15.707963267949
# |k - k_exact|      =    7.450581E-09
# rel. error k       =    4.743187E-10
# Numerical Energy   =     123.370055130650
# Analytic  Energy   =     123.370055013617
# |E - E_exact|      =    1.170334E-07
# rel. error E       =    9.486373E-10
# Well width L       =   1.000000
# columns: x   V(x)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
    0.0000000000E+00    1.0000000000E+20    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    1.0000000000E-03    0.0000000000E+00    2.2213501171E-02    2.2213501171E-02    4.9343963427E-04    5.7561594380E-14    4.1123351710E-08
    2.0000000000E-03    0.0000000000E+00    4.4421521493E-02    4.4421521493E-02    1.9732715717E-03    1.1084189122E-13    4.1115741834E-08
    3.0000000000E-03    0.0000000000E+00    6.6618581469E-02    6.6618581469E-02    4.4380353969E-03    1.6017742688E-13    4.1097987263E-08
    4.0000000000E-03    0.0000000000E+00    8.8799204307E-02    8.8799204307E-02    7.8852986856E-03    2.0594637107E-13    4.1070092379E-08
    5.0000000000E-03    0.0000000000E+00    1.1095791727E-01    1.1095791727E-01    1.2311659405E-02    2.4848179070E-13    4.1032064064E-08
    6.0000000000E-03    0.0000000000E+00    1.3308925303E-01    1.3308925303E-01    1.7712749271E-02    2.8813063047E-13    4.0983911701E-08
    7.0000000000E-03    0.0000000000E+00    1.5518775100E-01    1.5518775100E-01    2.4083238061E-02    3.2526759064E-13    4.0925647172E-08
    8.0000000000E-03    0.0000000000E+00    1.7724795872E-01    1.7724795872E-01    3.1416838871E-02    3.6023961592E-13    4.0857284851E-08
    9.0000000000E-03    0.0000000000E+00    1.9926443316E-01    1.9926443316E-01    3.9706314323E-02    3.9340752878E-13    4.0778841607E-08
    1.0000000000E-02    0.0000000000E+00    2.2123174208E-01    2.2123174208E-01    4.8943483705E-02    4.2513215170E-13    4.0690336793E-08
    1.1000000000E-02    0.0000000000E+00    2.4314446538E-01    2.4314446538E-01    5.9119231046E-02    4.5580206276E-13    4.0591792248E-08
    1.2000000000E-02    0.0000000000E+00    2.6499719642E-01    2.6499719642E-01    7.0223514112E-02    4.8572257327E-13    4.0483232286E-08
    1.3000000000E-02    0.0000000000E+00    2.8678454337E-01    2.8678454337E-01    8.2245374316E-02    5.1531001688E-13    4.0364683692E-08
    1.4000000000E-02    0.0000000000E+00    3.0850113052E-01    3.0850113052E-01    9.5172947534E-02    5.4489746049E-13    4.0236175716E-08
    1.5000000000E-02    0.0000000000E+00    3.3014159964E-01    3.3014159964E-01    1.0899347581E-01    5.7487348215E-13    4.0097740066E-08
    1.6000000000E-02    0.0000000000E+00    3.5170061125E-01    3.5170061125E-01    1.2369331996E-01    6.0546012648E-13    3.9949410898E-08
    1.7000000000E-02    0.0000000000E+00    3.7317284601E-01    3.7317284601E-01    1.3925797300E-01    6.3715699383E-13    3.9791224811E-08
    1.8000000000E-02    0.0000000000E+00    3.9455300594E-01    3.9455300594E-01    1.5567207450E-01    6.7040817342E-13    3.9623220835E-08
    1.9000000000E-02    0.0000000000E+00    4.1583581583E-01    4.1583581583E-01    1.7291942573E-01    7.0532468754E-13    3.9445440422E-08
    2.0000000000E-02    0.0000000000E+00    4.3701602445E-01    4.3701602445E-01    1.9098300563E-01    7.4257267002E-13    3.9257927436E-08
    2.1000000000E-02    0.0000000000E+00    4.5808840591E-01    4.5808840590E-01    2.0984498763E-01    7.8215212085E-13    3.9060728145E-08
    2.2000000000E-02    0.0000000000E+00    4.7904776090E-01    4.7904776090E-01    2.2948675723E-01    8.2467366269E-13    3.8853891203E-08
    2.3000000000E-02    0.0000000000E+00    4.9988891803E-01    4.9988891803E-01    2.4988893037E-01    8.7047036246E-13    3.8637467645E-08
    2.4000000000E-02    0.0000000000E+00    5.2060673505E-01    5.2060673505E-01    2.7103137258E-01    9.1970875360E-13    3.8411510870E-08
    2.5000000000E-02    0.0000000000E+00    5.4119610015E-01    5.4119610015E-01    2.9289321881E-01    9.7311048108E-13    3.8176076630E-08
    2.6000000000E-02    0.0000000000E+00    5.6165193320E-01    5.6165193320E-01    3.1545289407E-01    1.0307310561E-12    3.7931223014E-08
    2.7000000000E-02    0.0000000000E+00    5.8196918705E-01    5.8196918705E-01    3.3868813468E-01    1.0930145677E-12    3.7677010436E-08
    2.8000000000E-02    0.0000000000E+00    6.0214284871E-01    6.0214284871E-01    3.6257601025E-01    1.1600720384E-12    3.7413501620E-08
    2.9000000000E-02    0.0000000000E+00    6.2216794063E-01    6.2216794063E-01    3.8709294635E-01    1.2326806242E-12    3.7140761582E-08
    3.0000000000E-02    0.0000000000E+00    6.4203952192E-01    6.4203952192E-01    4.1221474771E-01    1.3109513475E-12    3.6858857616E-08
    3.1000000000E-02    0.0000000000E+00    6.6175268957E-01    6.6175268957E-01    4.3791662215E-01    1.3948842081E-12    3.6567859280E-08
    3.2000000000E-02    0.0000000000E+00    6.8130257964E-01    6.8130257964E-01    4.6417320502E-01    1.4854784069E-12    3.6267838371E-08
    3.3000000000E-02    0.0000000000E+00    7.0068436849E-01    7.0068436849E-01    4.9095858425E-01    1.5826229216E-12    3.5958868915E-08
    3.4000000000E-02    0.0000000000E+00    7.1989327397E-01    7.1989327396E-01    5.1824632590E-01    1.6867618413E-12    3.5641027147E-08
    3.5000000000E-02    0.0000000000E+00    7.3892455654E-01    7.3892455654E-01    5.4600950026E-01    1.7983392553E-12    3.5314391489E-08
    3.6000000000E-02    0.0000000000E+00    7.5777352054E-01    7.5777352054E-01    5.7422070844E-01    1.9173551635E-12    3.4979042533E-08
    3.7000000000E-02    0.0000000000E+00    7.7643551527E-01    7.7643551527E-01    6.0285210937E-01    2.0444756998E-12    3.4635063021E-08
    3.8000000000E-02    0.0000000000E+00    7.9490593615E-01    7.9490593614E-01    6.3187544732E-01    2.1797008642E-12    3.4282537827E-08
    3.9000000000E-02    0.0000000000E+00    8.1318022588E-01    8.1318022588E-01    6.6126207976E-01    2.3234747459E-12    3.3921553928E-08
    4.0000000000E-02    0.0000000000E+00    8.3125387556E-01    8.3125387555E-01    6.9098300563E-01    2.4761304118E-12    3.3552200394E-08
    4.1000000000E-02    0.0000000000E+00    8.4912242578E-01    8.4912242578E-01    7.2100889397E-01    2.6380009288E-12    3.3174568357E-08
    4.2000000000E-02    0.0000000000E+00    8.6678146775E-01    8.6678146775E-01    7.5131011284E-01    2.8093083415E-12    3.2788750991E-08
    4.3000000000E-02    0.0000000000E+00    8.8422664437E-01    8.8422664436E-01    7.8185675861E-01    2.9904967391E-12    3.2394843492E-08
    4.4000000000E-02    0.0000000000E+00    9.0145365129E-01    9.0145365128E-01    8.1261868542E-01    3.1816771440E-12    3.1992943050E-08
    4.5000000000E-02    0.0000000000E+00    9.1845823801E-01    9.1845823801E-01    8.4356553497E-01    3.3829605783E-12    3.1583148827E-08
    4.6000000000E-02    0.0000000000E+00    9.3523620890E-01    9.3523620890E-01    8.7466676644E-01    3.5951241983E-12    3.1165561936E-08
    4.7000000000E-02    0.0000000000E+00    9.5178342426E-01    9.5178342425E-01    9.0589168669E-01    3.8180569817E-12    3.0740285408E-08
    4.8000000000E-02    0.0000000000E+00    9.6809580129E-01    9.6809580129E-01    9.3720948048E-01    4.0518699507E-12    3.0307424175E-08
    4.9000000000E-02    0.0000000000E+00    9.8416931517E-01    9.8416931517E-01    9.6858924093E-01    4.2973402614E-12    2.9867085038E-08
    5.0000000000E-02    0.0000000000E+00    1.0000000000E+00    1.0000000000E+00    1.0000000000E+00    4.5545789362E-12    2.9419376645E-08
    5.1000000000E-02    0.0000000000E+00    1.0155839498E+00    1.0155839498E+00    1.0314107591E+00    4.8234749528E-12    2.8964409461E-08
    5.2000000000E-02    0.0000000000E+00    1.0309173194E+00    1.0309173194E+00    1.0627905195E+00    5.1043613780E-12    2.8502295743E-08
    5.3000000000E-02    0.0000000000E+00    1.0459963257E+00    1.0459963257E+00    1.0941083133E+00    5.3976823011E-12    2.8033149509E-08
    5.4000000000E-02    0.0000000000E+00    1.0608172480E+00    1.0608172480E+00    1.1253332336E+00    5.7034377221E-12    2.7557086516E-08
    5.5000000000E-02    0.0000000000E+00    1.0753764295E+00    1.0753764295E+00    1.1564344651E+00    6.0222937748E-12    2.7074224223E-08
    5.6000000000E-02    0.0000000000E+00    1.0896702779E+00    1.0896702779E+00    1.1873813146E+00    6.3538063699E-12    2.6584681771E-08
    5.7000000000E-02    0.0000000000E+00    1.1036952666E+00    1.1036952665E+00    1.2181432414E+00    6.6988636860E-12    2.6088579947E-08
    5.8000000000E-02    0.0000000000E+00    1.1174479349E+00    1.1174479349E+00    1.2486898872E+00    7.0570216337E-12    2.5586041155E-08
    5.9000000000E-02    0.0000000000E+00    1.1309248897E+00    1.1309248897E+00    1.2789911061E+00    7.4291683916E-12    2.5077189391E-08
    6.0000000000E-02    0.0000000000E+00    1.1441228056E+00    1.1441228056E+00    1.3090169944E+00    7.8146378257E-12    2.4562150206E-08
    6.1000000000E-02    0.0000000000E+00    1.1570384264E+00    1.1570384264E+00    1.3387379203E+00    8.2143181146E-12    2.4041050678E-08
    6.2000000000E-02    0.0000000000E+00    1.1696685653E+00    1.1696685653E+00    1.3681245527E+00    8.6279872136E-12    2.3514019380E-08
    6.3000000000E-02    0.0000000000E+00    1.1820101060E+00    1.1820101060E+00    1.3971478907E+00    9.0563112565E-12    2.2981186350E-08
    6.4000000000E-02    0.0000000000E+00    1.1940600033E+00    1.1940600033E+00    1.4257792916E+00    9.4988461541E-12    2.2442683055E-08
    6.5000000000E-02    0.0000000000E+00    1.2058152843E+00    1.2058152843E+00    1.4539904998E+00    9.9558139510E-12    2.1898642365E-08
    6.6000000000E-02    0.0000000000E+00    1.2172730483E+00    1.2172730483E+00    1.4817536741E+00    1.0427880781E-11    2.1349198512E-08
