# Harmonic Oscillator - state n = 0
# Parity (even=+1, odd=-1) = 1
# gamma =   1.0000000E+00
# epsilon (numeric) =   1.0000000E+00
# epsilon (analytic)=   1.0000000E+00
# E_n (physical)    =   5.0000000E-01
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -8.0000000000E+00    6.4000000000E+01    0.0000000000E+00    9.5123782433E-15    0.0000000000E+00   -9.5123782433E-15    0.0000000000E+00
   -7.9920000000E+00    6.3872064000E+01    1.8414944304E-16    1.0140749630E-14    3.3911017373E-32   -9.9566001871E-15    5.3705400320E-06
   -7.9840000000E+00    6.3744256000E+01    3.6903986592E-16    1.0809938295E-14    1.3619042264E-31   -1.0440898429E-14    5.3649011052E-06
   -7.9760000000E+00    6.3616576000E+01    5.5541246046E-16    1.1522549291E-14    3.0848300123E-31   -1.0967136831E-14    5.3807139523E-06
   -7.9680000000E+00    6.3489024000E+01    7.4401133701E-16    1.2281350883E-14    5.5355286960E-31   -1.1537339546E-14    5.4178667481E-06
   -7.9600000000E+00    6.3361600000E+01    9.3558646963E-16    1.3089284566E-14    8.7532204215E-31   -1.2153698097E-14    5.4763327043E-06
   -7.9520000000E+00    6.3234304000E+01    1.1308966404E-15    1.3949475702E-14    1.2789272112E-30   -1.2818579061E-14    5.5561689215E-06
   -7.9440000000E+00    6.3107136000E+01    1.3307123943E-15    1.4865244784E-14    1.7707954765E-30   -1.3534532390E-14    5.6575155789E-06
   -7.9360000000E+00    6.2980096000E+01    1.5358190171E-15    1.5840119388E-14    2.3587400532E-30   -1.4304300370E-14    5.7805954545E-06
   -7.9280000000E+00    6.2853184000E+01    1.7470195452E-15    1.6877846828E-14    3.0520772914E-30   -1.5130827283E-14    5.9257137689E-06
   -7.9200000000E+00    6.2726400000E+01    1.9651378225E-15    1.7982407583E-14    3.8617666616E-30   -1.6017269760E-14    6.0932583449E-06
   -7.9120000000E+00    6.2599744000E+01    2.1910216121E-15    1.9158029513E-14    4.8005757046E-30   -1.6967007901E-14    6.2837000810E-06
   -7.9040000000E+00    6.2473216000E+01    2.4255457763E-15    2.0409202936E-14    5.8832723130E-30   -1.7983657160E-14    6.4975937322E-06
   -7.8960000000E+00    6.2346816000E+01    2.6696155368E-15    2.1740696599E-14    7.1268471142E-30   -1.9071081062E-14    6.7355789986E-06
   -7.8880000000E+00    6.2220544000E+01    2.9241698251E-15    2.3157574597E-14    8.5507691658E-30   -2.0233404772E-14    6.9983819195E-06
   -7.8800000000E+00    6.2094400000E+01    3.1901847369E-15    2.4665214309E-14    1.0177278656E-29   -2.1475029572E-14    7.2868165725E-06
   -7.8720000000E+00    6.1968384000E+01    3.4686771021E-15    2.6269325389E-14    1.2031720838E-29   -2.2800648286E-14    7.6017870804E-06
   -7.8640000000E+00    6.1842496000E+01    3.7607081818E-15    2.7975969889E-14    1.4142926028E-29   -2.4215261707E-14    7.9442899270E-06
   -7.8560000000E+00    6.1716736000E+01    4.0673875073E-15    2.9791583581E-14    1.6543641135E-29   -2.5724196074E-14    8.3154165855E-06
   -7.8480000000E+00    6.1591104000E+01    4.3898768728E-15    3.1722998528E-14    1.9271018958E-29   -2.7333121655E-14    8.7163564641E-06
   -7.8400000000E+00    6.1465600000E+01    4.7293944951E-15    3.3777467003E-14    2.2367172290E-29   -2.9048072508E-14    9.1484001741E-06
   -7.8320000000E+00    6.1340224000E+01    5.0872193561E-15    3.5962686810E-14    2.5879800777E-29   -3.0875467454E-14    9.6129431273E-06
   -7.8240000000E+00    6.1214976000E+01    5.4646957411E-15    3.8286828110E-14    2.9862899543E-29   -3.2822132369E-14    1.0111489471E-05
   -7.8160000000E+00    6.1089856000E+01    5.8632379887E-15    4.0758561813E-14    3.4377559712E-29   -3.4895323824E-14    1.0645656365E-05
   -7.8080000000E+00    6.0964864000E+01    6.2843354681E-15    4.3387089654E-14    3.9492872275E-29   -3.7102754186E-14    1.1217178623E-05
   -7.8000000000E+00    6.0840000000E+01    6.7295578000E-15    4.6182176031E-14    4.5286948183E-29   -3.9452618231E-14    1.1827913707E-05
   -7.7920000000E+00    6.0715264000E+01    7.2005603386E-15    4.9154181705E-14    5.1848069190E-29   -4.1953621367E-14    1.2479847111E-05
   -7.7840000000E+00    6.0590656000E+01    7.6990899321E-15    5.2314099490E-14    5.9275985782E-29   -4.4615009557E-14    1.3175098132E-05
   -7.7760000000E+00    6.0466176000E+01    8.2269909803E-15    5.5673592014E-14    6.7683380591E-29   -4.7446601034E-14    1.3915926046E-05
   -7.7680000000E+00    6.0341824000E+01    8.7862118100E-15    5.9245031707E-14    7.7197517970E-29   -5.0458819897E-14    1.4704736707E-05
   -7.7600000000E+00    6.0217600000E+01    9.3788113867E-15    6.3041543106E-14    8.7962103028E-29   -5.3662731719E-14    1.5544089580E-05
   -7.7520000000E+00    6.0093504000E+01    1.0006966386E-14    6.7077047639E-14    1.0013937626E-28   -5.7070081253E-14    1.6436705233E-05
   -7.7440000000E+00    5.9969536000E+01    1.0672978647E-14    7.1366311013E-14    1.1391247320E-28   -6.0693332366E-14    1.7385473303E-05
