# Harmonic Oscillator - state n = 2
# Parity (even=+1, odd=-1) = 1
# gamma =   1.0000000E+00
# epsilon (numeric) =   5.0000000E+00
# epsilon (analytic)=   5.0000000E+00
# E_n (physical)    =   2.5000000E+00
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -8.0000000000E+00    6.4000000000E+01    0.0000000000E+00    8.5423592945E-13    0.0000000000E+00   -8.5423592945E-13    0.0000000000E+00
   -7.9920000000E+00    6.3872064000E+01    1.0122875688E-13    9.0883053545E-13    1.0247261220E-26   -8.0760177857E-13    5.0292066984E-06
   -7.9840000000E+00    6.3744256000E+01    2.0283890628E-13    9.6685044329E-13    4.1143621901E-26   -7.6401153701E-13    5.0215728672E-06
   -7.9760000000E+00    6.3616576000E+01    3.0521175550E-13    1.0285064115E-12    9.3154215695E-26   -7.2329465601E-13    5.0327337045E-06
   -7.9680000000E+00    6.3489024000E+01    4.0872981264E-13    1.0940219018E-12    1.6706005974E-25   -6.8529208918E-13    5.0625671178E-06
   -7.9600000000E+00    6.3361600000E+01    5.1377820267E-13    1.1636338281E-12    2.6396804154E-25   -6.4985562546E-13    5.1110207753E-06
   -7.9520000000E+00    6.3234304000E+01    6.2074608091E-13    1.2375933488E-12    3.8532569697E-25   -6.1684726791E-13    5.1781109990E-06
   -7.9440000000E+00    6.3107136000E+01    7.3002804892E-13    1.3161667044E-12    5.3294095221E-25   -5.8613865549E-13    5.2639219192E-06
   -7.9360000000E+00    6.2980096000E+01    8.4202557812E-13    1.3996361035E-12    7.0900707421E-25   -5.5761052539E-13    5.3686048825E-06
   -7.9280000000E+00    6.2853184000E+01    9.5714844618E-13    1.4883006595E-12    9.1613314802E-25   -5.3115221334E-13    5.4923781083E-06
   -7.9200000000E+00    6.2726400000E+01    1.0758161912E-12    1.5824773810E-12    1.1573804772E-24   -5.0666118986E-13    5.6355265868E-06
   -7.9120000000E+00    6.2599744000E+01    1.1984595886E-12    1.6825022188E-12    1.4363053856E-24   -4.8404263019E-13    5.7984022140E-06
   -7.9040000000E+00    6.2473216000E+01    1.3255221566E-12    1.7887311727E-12    1.7570089878E-24   -4.6320901608E-13    5.9814241601E-06
   -7.8960000000E+00    6.2346816000E+01    1.4574616940E-12    1.9015414617E-12    2.1241945895E-24   -4.4407976766E-13    6.1850794691E-06
   -7.8880000000E+00    6.2220544000E+01    1.5947518566E-12    2.0213327603E-12    2.5432334842E-24   -4.2658090371E-13    6.4099238859E-06
   -7.8800000000E+00    6.2094400000E+01    1.7378837774E-12    2.1485285061E-12    3.0202400237E-24   -4.1064472875E-13    6.6565829114E-06
