# Harmonic Oscillator - state n = 7
# Parity (even=+1, odd=-1) = -1
# gamma =   1.0000000E+00
# epsilon (numeric) =   1.5000000E+01
# epsilon (analytic)=   1.5000000E+01
# E_n (physical)    =   7.5000000E+00
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -8.0000000000E+00    6.4000000000E+01    0.0000000000E+00   -2.6777716445E-09    0.0000000000E+00    2.6777716445E-09    0.0000000000E+00
   -7.9920000000E+00    6.3872064000E+01    2.9999603749E-10   -2.8337173843E-09    8.9997622509E-20    3.1337134218E-09    4.1758733592E-06
   -7.9840000000E+00    6.3744256000E+01    6.0093024138E-10   -2.9985285532E-09    3.6111715501E-19    3.5994587946E-09    4.1638264028E-06
   -7.9760000000E+00    6.3616576000E+01    9.0373920324E-10   -3.1726962322E-09    8.1674454747E-19    4.0764354355E-09    4.1647028884E-06
   -7.9680000000E+00    6.3489024000E+01    1.2093604298E-09   -3.3567379497E-09    1.4625526492E-18    4.5660983795E-09    4.1783696405E-06
   -7.9600000000E+00    6.3361600000E+01    1.5187352147E-09   -3.5511990629E-09    2.3065566524E-18    5.0699342776E-09    4.2047334133E-06
   -7.9520000000E+00    6.3234304000E+01    1.8328114911E-09   -3.7566542091E-09    3.3591979618E-18    5.5894657001E-09    4.2437399772E-06
   -7.9440000000E+00    6.3107136000E+01    2.1525466744E-09   -3.9737088292E-09    4.6334571855E-18    6.1262555036E-09    4.2953733326E-06
   -7.9360000000E+00    6.2980096000E+01    2.4789105039E-09   -4.2030007689E-09    6.1449972861E-18    6.6819112728E-09    4.3596550470E-06
   -7.9280000000E+00    6.2853184000E+01    2.8128878903E-09   -4.4452019596E-09    7.9123382836E-18    7.2580898499E-09    4.4366437102E-06
   -7.9200000000E+00    6.2726400000E+01    3.1554817799E-09   -4.7010201836E-09    9.9570652635E-18    7.8565019636E-09    4.5264345033E-06
   -7.9120000000E+00    6.2599744000E+01    3.5077160408E-09   -4.9712009281E-09    1.2304071823E-17    8.4789169689E-09    4.6291588788E-06
   -7.9040000000E+00    6.2473216000E+01    3.8706383817E-09   -5.2565293310E-09    1.4981841482E-17    9.1271677127E-09    4.7449843469E-06
   -7.8960000000E+00    6.2346816000E+01    4.2453233099E-09   -5.5578322245E-09    1.8022770006E-17    9.8031555344E-09    4.8741143666E-06
   -7.8880000000E+00    6.2220544000E+01    4.6328751372E-09   -5.8759802798E-09    2.1463532037E-17    1.0508855417E-08    5.0167883384E-06
   -7.8800000000E+00    6.2094400000E+01    5.0344310417E-09   -6.2118902588E-09    2.5345495914E-17    1.1246321300E-08    5.1732816955E-06
   -7.8720000000E+00    6.1968384000E+01    5.4511641938E-09   -6.5665273764E-09    2.9715191068E-17    1.2017691570E-08    5.3439060925E-06
   -7.8640000000E+00    6.1842496000E+01    5.8842869536E-09   -6.9409077815E-09    3.4624832952E-17    1.2825194735E-08    5.5290096900E-06
   -7.8560000000E+00    6.1716736000E+01    6.3350541496E-09   -7.3361011584E-09    4.0132911079E-17    1.3671155308E-08    5.7289775326E-06
   -7.8480000000E+00    6.1591104000E+01    6.8047664456E-09   -7.7532334582E-09    4.6304846379E-17    1.4557999904E-08    5.9442320202E-06
   -7.8400000000E+00    6.1465600000E+01    7.2947738046E-09   -8.1934897638E-09    5.3213724860E-17    1.5488263568E-08    6.1752334712E-06
   -7.8320000000E+00    6.1340224000E+01    7.8064790588E-09   -8.6581172953E-09    6.0941115295E-17    1.6464596354E-08    6.4224807771E-06
   -7.8240000000E+00    6.1214976000E+01    8.3413415937E-09   -9.1484285635E-09    6.9577979583E-17    1.7489770157E-08    6.6865121479E-06
   -7.8160000000E+00    6.1089856000E+01    8.9008811560E-09   -9.6658046775E-09    7.9225685353E-17    1.8566685834E-08    6.9679059489E-06
   -7.8080000000E+00    6.0964864000E+01    9.4866817928E-09   -1.0211698813E-08    8.9997131439E-17    1.9698380606E-08    7.2672816277E-06
