# Quartic Well - state n = 0
# Parity (even=+1, odd=-1) = 1
# gamma =   1.4142136E+00
# epsilon (numeric) =   6.6798626E-01
# Note: no analytic psi for quartic; psi_exact column is 0.0
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -8.0000000000E+00    4.0960000000E+03   -2.1894646721-106    0.0000000000E+00    4.7937555502-212   -2.1894646721-106    0.0000000000E+00
   -7.9920000000E+00    4.0796405596E+03   -4.5110106406-106    0.0000000000E+00    2.0349216999-211   -4.5110106406-106    1.9339944300-107
   -7.9840000000E+00    4.0633301730E+03   -9.2844943543-106    0.0000000000E+00    8.6201835416-211   -9.2844943543-106    3.9630491678-107
   -7.9760000000E+00    4.0470687420E+03   -1.9083570273-105    0.0000000000E+00    3.6418265438-210   -1.9083570273-105    8.1069163975-107
   -7.9680000000E+00    4.0308561685E+03   -3.9169444786-105    0.0000000000E+00    1.5342454048-209   -3.9169444786-105    1.6558728139-106
   -7.9600000000E+00    4.0146923546E+03   -8.0281385184-105    0.0000000000E+00    6.4451008070-209   -8.0281385184-105    3.3772693812-106
   -7.9520000000E+00    3.9985772024E+03   -1.6430879543-104    0.0000000000E+00    2.6997380257-208   -1.6430879543-104    6.8782448031-106
   -7.9440000000E+00    3.9825106141E+03   -3.3580369338-104    0.0000000000E+00    1.1276412049-207   -3.3580369338-104    1.3988288334-105
   -7.9360000000E+00    3.9664924922E+03   -6.8531357191-104    0.0000000000E+00    4.6965469184-207   -6.8531357191-104    2.8407134864-105
   -7.9280000000E+00    3.9505227389E+03   -1.3966030466-103    0.0000000000E+00    1.9505000697-206   -1.3966030466-103    5.7605887173-105
   -7.9200000000E+00    3.9346012570E+03   -2.8420847528-103    0.0000000000E+00    8.0774457419-206   -2.8420847528-103    1.1664966620-104
   -7.9120000000E+00    3.9187279489E+03   -5.7753998193-103    0.0000000000E+00    3.3355243073-205   -5.7753998193-103    2.3587283611-104
   -7.9040000000E+00    3.9029027174E+03   -1.1719489124-102    0.0000000000E+00    1.3734642532-204   -1.1719489124-102    4.7626729048-104
   -7.8960000000E+00    3.8871254653E+03   -2.3747478647-102    0.0000000000E+00    5.6394274207-204   -2.3747478647-102    9.6029038414-104
   -7.8880000000E+00    3.8713960957E+03   -4.8051742012-102    0.0000000000E+00    2.3089699104-203   -4.8051742012-102    1.9334547033-103
