# Quartic Well - state n = 2
# Parity (even=+1, odd=-1) = 1
# gamma =   1.4142136E+00
# epsilon (numeric) =   4.6967954E+00
# Note: no analytic psi for quartic; psi_exact column is 0.0
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -8.0000000000E+00    4.0960000000E+03    4.3414143119-105    0.0000000000E+00    1.8847878228-209    4.3414143119-105    0.0000000000E+00
   -7.9920000000E+00    4.0796405596E+03    8.9415596818-105    0.0000000000E+00    7.9951489543-209    8.9415596818-105    4.4739293260-106
   -7.9840000000E+00    4.0633301730E+03    1.8396859517-104    0.0000000000E+00    3.3844444007-208    1.8396859517-104    9.1644699105-106
   -7.9760000000E+00    4.0470687420E+03    3.7799915584-104    0.0000000000E+00    1.4288336182-207    3.7799915584-104    1.8740323982-105
   -7.9680000000E+00    4.0308561685E+03    7.7557552000-104    0.0000000000E+00    6.0151738722-207    7.7557552000-104    3.8264100175-105
   -7.9600000000E+00    4.0146923546E+03    1.5890468516-103    0.0000000000E+00    2.5250698964-206    1.5890468516-103    7.8014084164-105
   -7.9520000000E+00    3.9985772024E+03    3.2510789091-103    0.0000000000E+00    1.0569514073-205    3.2510789091-103    1.5882811787-104
   -7.9440000000E+00    3.9825106141E+03    6.6419668696-103    0.0000000000E+00    4.4115723897-205    6.6419668696-103    3.2289138226-104
   -7.9360000000E+00    3.9664924922E+03    1.3550171411-102    0.0000000000E+00    1.8360714528-204    1.3550171411-102    6.5548249528-104
   -7.9280000000E+00    3.9505227389E+03    2.7604020599-102    0.0000000000E+00    7.6198195321-204    2.7604020599-102    1.3287460594-103
   -7.9200000000E+00    3.9346012570E+03    5.6153905138-102    0.0000000000E+00    3.1532610623-203    5.6153905138-102    2.6896746057-103
   -7.9120000000E+00    3.9187279489E+03    1.1406916307-101    0.0000000000E+00    1.3011773963-202    1.1406916307-101    5.4366948762-103
   -7.9040000000E+00    3.9029027174E+03    2.3138639499-101    0.0000000000E+00    5.3539663786-202    2.3138639499-101    1.0973577627-102
   -7.8960000000E+00    3.8871254653E+03    4.6869385773-101    0.0000000000E+00    2.1967393227-201    4.6869385773-101    2.2117711181-102
   -7.8880000000E+00    3.8713960957E+03    9.4803241346-101    0.0000000000E+00    8.9876545697-201    9.4803241346-101    4.4515513321-102
   -7.8800000000E+00    3.8557145114E+03    1.9148739746-100    0.0000000000E+00    3.6667423386-200    1.9148739746-100    8.9466912105-102
   -7.8720000000E+00    3.8400806156E+03    3.8622545888-100    0.0000000000E+00    1.4917010508-199    3.8622545888-100    1.7955353878-101
   -7.8640000000E+00    3.8244943115E+03    7.7790380289-100    0.0000000000E+00    6.0513432655-199    7.7790380289-100    3.5983760452-101
   -7.8560000000E+00    3.8089555025E+03    1.5645728576E-99    0.0000000000E+00    2.4478882268-198    1.5645728576E-99    7.2011321584-101
   -7.8480000000E+00    3.7934640919E+03    3.1423256786E-99    0.0000000000E+00    9.8742106701-198    3.1423256786E-99    1.4390545978-100
   -7.8400000000E+00    3.7780199834E+03    6.3022076369E-99    0.0000000000E+00    3.9717821098-197    6.3022076369E-99    2.8716837888-100
   -7.8320000000E+00    3.7626230804E+03    1.2621789612E-98    0.0000000000E+00    1.5930957300-196    1.2621789612E-98    5.7224158659-100
   -7.8240000000E+00    3.7472732867E+03    2.5242739606E-98    0.0000000000E+00    6.3719590283-196    2.5242739606E-98    1.1386920014E-99
   -7.8160000000E+00    3.7319705061E+03    5.0412700796E-98    0.0000000000E+00    2.5414404015-195    5.0412700796E-98    2.2626520733E-99
   -7.8080000000E+00    3.7167146425E+03    1.0053840131E-97    0.0000000000E+00    1.0107970137-194    1.0053840131E-97    4.4896712303E-99
   -7.8000000000E+00    3.7015056000E+03    2.0022261261E-97    0.0000000000E+00    4.0089094602-194    2.0022261261E-97    8.8960487739E-99
   -7.7920000000E+00    3.6863432826E+03    3.9818419486E-97    0.0000000000E+00    1.5855065304-193    3.9818419486E-97    1.7602170570E-98
   -7.7840000000E+00    3.6712275945E+03    7.9076103654E-97    0.0000000000E+00    6.2530301691-193    7.9076103654E-97    3.4779421125E-98
   -7.7760000000E+00    3.6561584401E+03    1.5681856075E-96    0.0000000000E+00    2.4592060995-192    1.5681856075E-96    6.8622435579E-98
   -7.7680000000E+00    3.6411357236E+03    3.1055693294E-96    0.0000000000E+00    9.6445608595-192    3.1055693294E-96    1.3520668423E-97
   -7.7600000000E+00    3.6261593498E+03    6.1415383001E-96    0.0000000000E+00    3.7718492691-191    6.1415383001E-96    2.6602291781E-97
