# Quartic Well - state n = 3
# Parity (even=+1, odd=-1) = -1
# gamma =   1.4142136E+00
# epsilon (numeric) =   7.3357301E+00
# Note: no analytic psi for quartic; psi_exact column is 0.0
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -8.0000000000E+00    4.0960000000E+03   -1.7632991763-104    0.0000000000E+00    3.1092239850-208   -1.7632991763-104    0.0000000000E+00
   -7.9920000000E+00    4.0796405596E+03   -3.6308409577-104    0.0000000000E+00    1.3183006060-207   -3.6308409577-104    5.0114011472-106
   -7.9840000000E+00    4.0633301730E+03   -7.4685574945-104    0.0000000000E+00    5.5779351048-207   -7.4685574945-104    1.0263019746-105
   -7.9760000000E+00    4.0470687420E+03   -1.5342028982-103    0.0000000000E+00    2.3537785328-206   -1.5342028982-103    2.0981781609-105
   -7.9680000000E+00    4.0308561685E+03   -3.1471308730-103    0.0000000000E+00    9.9044327315-206   -3.1471308730-103    4.2830581855-105
   -7.9600000000E+00    4.0146923546E+03   -6.4465291792-103    0.0000000000E+00    4.1557738459-205   -6.4465291792-103    8.7303661675-105
   -7.9520000000E+00    3.9985772024E+03   -1.3186061452-102    0.0000000000E+00    1.7387221663-204   -1.3186061452-102    1.7769842980-104
   -7.9440000000E+00    3.9825106141E+03   -2.6932856454-102    0.0000000000E+00    7.2537875675-204   -2.6932856454-102    3.6116794142-104
   -7.9360000000E+00    3.9664924922E+03   -5.4932380406-102    0.0000000000E+00    3.0175664170-203   -5.4932380406-102    7.3301043913-104
   -7.9280000000E+00    3.9505227389E+03   -1.1188031536-101    0.0000000000E+00    1.2517204966-202   -1.1188031536-101    1.4855495942-103
   -7.9200000000E+00    3.9346012570E+03   -2.2754054958-101    0.0000000000E+00    5.1774701705-202   -2.2754054958-101    3.0063586819-103
   -7.9120000000E+00    3.9187279489E+03   -4.6210895351-101    0.0000000000E+00    2.1354468491-201   -4.6210895351-101    6.0753552538-103
   -7.9040000000E+00    3.9029027174E+03   -9.3715413622-101    0.0000000000E+00    8.7825787503-201   -9.3715413622-101    1.2259715898-102
   -7.8960000000E+00    3.8871254653E+03   -1.8978388624-100    0.0000000000E+00    3.6017923476-200   -1.8978388624-100    2.4704016905-102
   -7.8880000000E+00    3.8713960957E+03   -3.8378669476-100    0.0000000000E+00    1.4729222707-199   -3.8378669476-100    4.9708857938-102
   -7.8800000000E+00    3.8557145114E+03   -7.7500296985-100    0.0000000000E+00    6.0062960327-199   -7.7500296985-100    9.9880252739-102
   -7.8720000000E+00    3.8400806156E+03   -1.5627888230E-99    0.0000000000E+00    2.4423089052-198   -1.5627888230E-99    2.0040369096-101
   -7.8640000000E+00    3.8244943115E+03   -3.1468881551E-99    0.0000000000E+00    9.9029050610-198   -3.1468881551E-99    4.0152503954-101
   -7.8560000000E+00    3.8089555025E+03   -6.3277163753E-99    0.0000000000E+00    4.0039994526-197   -6.3277163753E-99    8.0334294472-101
   -7.8480000000E+00    3.7934640919E+03   -1.2705682300E-98    0.0000000000E+00    1.6143436271-196   -1.2705682300E-98    1.6049864326-100
   -7.8400000000E+00    3.7780199834E+03   -2.5476213132E-98    0.0000000000E+00    6.4903743556-196   -2.5476213132E-98    3.2020224846-100
   -7.8320000000E+00    3.7626230804E+03   -5.1010344260E-98    0.0000000000E+00    2.6020552215-195   -5.1010344260E-98    6.3791177350-100
   -7.8240000000E+00    3.7472732867E+03   -1.0199261801E-97    0.0000000000E+00    1.0402494128-194   -1.0199261801E-97    1.2690557054E-99
   -7.8160000000E+00    3.7319705061E+03   -2.0364180315E-97    0.0000000000E+00    4.1469983990-194   -2.0364180315E-97    2.5210716055E-99
   -7.8080000000E+00    3.7167146425E+03   -4.0602562378E-97    0.0000000000E+00    1.6485680716-193   -4.0602562378E-97    5.0012055235E-99
