# Quartic Well - state n = 4
# Parity (even=+1, odd=-1) = 1
# gamma =   1.4142136E+00
# epsilon (numeric) =   1.0244309E+01
# Note: no analytic psi for quartic; psi_exact column is 0.0
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -8.0000000000E+00    4.0960000000E+03   -6.9032735798-104    0.0000000000E+00    4.7655186117-207   -6.9032735798-104    0.0000000000E+00
   -7.9920000000E+00    4.0796405596E+03   -1.4211016407-103    0.0000000000E+00    2.0195298731-206   -1.4211016407-103    7.8206179494-105
   -7.9840000000E+00    4.0633301730E+03   -2.9224250698-103    0.0000000000E+00    8.5405682884-206   -2.9224250698-103    1.6011954462-104
   -7.9760000000E+00    4.0470687420E+03   -6.0017516640-103    0.0000000000E+00    3.6021023037-205   -6.0017516640-103    3.2726418358-104
   -7.9680000000E+00    4.0308561685E+03   -1.2308308773-102    0.0000000000E+00    1.5149446484-204   -1.2308308773-102    6.6787739841-104
   -7.9600000000E+00    4.0146923546E+03   -2.5205636330-102    0.0000000000E+00    6.3532410282-204   -2.5205636330-102    1.3610110097-103
   -7.9520000000E+00    3.9985772024E+03   -5.1543596115-102    0.0000000000E+00    2.6567423005-203   -5.1543596115-102    2.7694844718-103
   -7.9440000000E+00    3.9825106141E+03   -1.0525184420-101    0.0000000000E+00    1.1077950708-202   -1.0525184420-101    5.6274346884-103
   -7.9360000000E+00    3.9664924922E+03   -2.1461652800-101    0.0000000000E+00    4.6060254093-202   -2.1461652800-101    1.1418186043-102
   -7.9280000000E+00    3.9505227389E+03   -4.3699417211-101    0.0000000000E+00    1.9096390646-201   -4.3699417211-101    2.3134470079-102
   -7.9200000000E+00    3.9346012570E+03   -8.8852111319-101    0.0000000000E+00    7.8946976859-201   -8.8852111319-101    4.6805662830-102
   -7.9120000000E+00    3.9187279489E+03   -1.8040147603-100    0.0000000000E+00    3.2544692555-200   -1.8040147603-100    9.4561477064-102
   -7.9040000000E+00    3.9029027174E+03   -3.6575750911-100    0.0000000000E+00    1.3377855547-199   -3.6575750911-100    1.9076895310-101
   -7.8960000000E+00    3.8871254653E+03   -7.4050474929-100    0.0000000000E+00    5.4834728372-199   -7.4050474929-100    3.8430792846-101
   -7.8880000000E+00    3.8713960957E+03   -1.4970781816E-99    0.0000000000E+00    2.2412430819-198   -1.4970781816E-99    7.7308952382-101
   -7.8800000000E+00    3.8557145114E+03   -3.0223430167E-99    0.0000000000E+00    9.1345573104-198   -3.0223430167E-99    1.5529576963-100
   -7.8720000000E+00    3.8400806156E+03   -6.0929310826E-99    0.0000000000E+00    3.7123809177-197   -6.0929310826E-99    3.1150817851-100
   -7.8640000000E+00    3.8244943115E+03   -1.2265708083E-98    0.0000000000E+00    1.5044759478-196   -1.2265708083E-98    6.2396448291-100
   -7.8560000000E+00    3.8089555025E+03   -2.4657181503E-98    0.0000000000E+00    6.0797659968-196   -2.4657181503E-98    1.2480485265E-99
   -7.8480000000E+00    3.7934640919E+03   -4.9497047280E-98    0.0000000000E+00    2.4499576895-195   -4.9497047280E-98    2.4927852018E-99
   -7.8400000000E+00    3.7780199834E+03   -9.9220362294E-98    0.0000000000E+00    9.8446802937-195   -9.9220362294E-98    4.9718798565E-99
   -7.8320000000E+00    3.7626230804E+03   -1.9861341790E-97    0.0000000000E+00    3.9447289771-194   -1.9861341790E-97    9.9023750922E-99
   -7.8240000000E+00    3.7472732867E+03   -3.9701162738E-97    0.0000000000E+00    1.5761823227-193   -3.9701162738E-97    1.9694352109E-98
   -7.8160000000E+00    3.7319705061E+03   -7.9247457194E-97    0.0000000000E+00    6.2801594718-193   -7.9247457194E-97    3.9113636897E-98
   -7.8080000000E+00    3.7167146425E+03   -1.5796305292E-96    0.0000000000E+00    2.4952326088-192   -1.5796305292E-96    7.7571015307E-98
   -7.8000000000E+00    3.7015056000E+03   -3.1442305199E-96    0.0000000000E+00    9.8861855625-192   -3.1442305199E-96    1.5362295867E-97
   -7.7920000000E+00    3.6863432826E+03   -6.2497482179E-96    0.0000000000E+00    3.9059352787-191   -6.2497482179E-96    3.0380767846E-97
   -7.7840000000E+00    3.6712275945E+03   -1.2405108034E-95    0.0000000000E+00    1.5388670533-190   -1.2405108034E-95    5.9996779305E-97
   -7.7760000000E+00    3.6561584401E+03   -2.4588332209E-95    0.0000000000E+00    6.0458608080-190   -2.4588332209E-95    1.1831622335E-96
   -7.7680000000E+00    3.6411357236E+03   -4.8668581732E-95    0.0000000000E+00    2.3686308478-189   -4.8668581732E-95    2.3299597998E-96
   -7.7600000000E+00    3.6261593498E+03   -9.6196663915E-95    0.0000000000E+00    9.2537981484-189   -9.6196663915E-95    4.5818506084E-96
   -7.7520000000E+00    3.6112292230E+03   -1.8987318659E-94    0.0000000000E+00    3.6051826985-188   -1.8987318659E-94    8.9975110482E-96
   -7.7440000000E+00    3.5963452481E+03   -3.7424859634E-94    0.0000000000E+00    1.4006201186-187   -3.7424859634E-94    1.7643852499E-95
