# Quartic Well - state n = 5
# Parity (even=+1, odd=-1) = -1
# gamma =   1.4142136E+00
# epsilon (numeric) =   1.3379337E+01
# Note: no analytic psi for quartic; psi_exact column is 0.0
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -8.0000000000E+00    4.0960000000E+03    2.6257029922-103    0.0000000000E+00    6.8943162033-206    2.6257029922-103    0.0000000000E+00
   -7.9920000000E+00    4.0796405596E+03    5.4037567310-103    0.0000000000E+00    2.9200586808-205    5.4037567310-103    5.9378449568-105
   -7.9840000000E+00    4.0633301730E+03    1.1109488590-102    0.0000000000E+00    1.2342073674-204    1.1109488590-102    1.2153758023-104
   -7.9760000000E+00    4.0470687420E+03    2.2809121022-102    0.0000000000E+00    5.2025600180-204    2.2809121022-102    2.4833778314-104
   -7.9680000000E+00    4.0308561685E+03    4.6763663792-102    0.0000000000E+00    2.1868402512-203    4.6763663792-102    5.0666260640-104
   -7.9600000000E+00    4.0146923546E+03    9.5738626212-102    0.0000000000E+00    9.1658845489-203    9.5738626212-102    1.0321938298-103
   -7.9520000000E+00    3.9985772024E+03    1.9572368067-101    0.0000000000E+00    3.8307759177-202    1.9572368067-101    2.0997897332-103
   -7.9440000000E+00    3.9825106141E+03    3.9955563479-101    0.0000000000E+00    1.5964470529-201    3.9955563479-101    4.2654448528-103
   -7.9360000000E+00    3.9664924922E+03    8.1449673701-101    0.0000000000E+00    6.6340493460-201    8.1449673701-101    8.6522232944-103
   -7.9280000000E+00    3.9505227389E+03    1.6579835561-100    0.0000000000E+00    2.7489094724-200    1.6579835561-100    1.7525347458-102
   -7.9200000000E+00    3.9346012570E+03    3.3701595824-100    0.0000000000E+00    1.1357975611-199    3.3701595824-100    3.5447180608-102
   -7.9120000000E+00    3.9187279489E+03    6.8407022896-100    0.0000000000E+00    4.6795207815-199    6.8407022896-100    7.1593484793-102
   -7.9040000000E+00    3.9029027174E+03    1.3865370956E-99    0.0000000000E+00    1.9224851175-198    1.3865370956E-99    1.4439183853-101
   -7.8960000000E+00    3.8871254653E+03    2.8063606175E-99    0.0000000000E+00    7.8756599157-198    2.8063606175E-99    2.9079686957-101
   -7.8880000000E+00    3.8713960957E+03    5.6720133461E-99    0.0000000000E+00    3.2171735398-197    5.6720133461E-99    5.8481074132-101
   -7.8800000000E+00    3.8557145114E+03    1.1447572332E-98    0.0000000000E+00    1.3104691229-196    1.1447572332E-98    1.1744109288-100
   -7.8720000000E+00    3.8400806156E+03    2.3071324965E-98    0.0000000000E+00    5.3228603563-196    2.3071324965E-98    2.3550739754-100
   -7.8640000000E+00    3.8244943115E+03    4.6431772930E-98    0.0000000000E+00    2.1559095374-195    4.6431772930E-98    4.7159516673-100
   -7.8560000000E+00    3.8089555025E+03    9.3313008265E-98    0.0000000000E+00    8.7073175114-195    9.3313008265E-98    9.4300730550-100
   -7.8480000000E+00    3.7934640919E+03    1.8726383387E-97    0.0000000000E+00    3.5067743477-194    1.8726383387E-97    1.8829651651E-99
   -7.8400000000E+00    3.7780199834E+03    3.7527620623E-97    0.0000000000E+00    1.4083223096-193    3.7527620623E-97    3.7544958422E-99
   -7.8320000000E+00    3.7626230804E+03    7.5098999465E-97    0.0000000000E+00    5.6398597207-193    7.5098999465E-97    7.4755591251E-99
   -7.8240000000E+00    3.7472732867E+03    1.5007345400E-96    0.0000000000E+00    2.2522041596-192    1.5007345400E-96    1.4863429994E-98
   -7.8160000000E+00    3.7319705061E+03    2.9947516607E-96    0.0000000000E+00    8.9685375094-192    2.9947516607E-96    2.9510618302E-98
   -7.8080000000E+00    3.7167146425E+03    5.9676804976E-96    0.0000000000E+00    3.5613210522-191    5.9676804976E-96    5.8508919645E-98
   -7.8000000000E+00    3.7015056000E+03    1.1875139745E-95    0.0000000000E+00    1.4101894397-190    1.1875139745E-95    1.1583797319E-97
   -7.7920000000E+00    3.6863432826E+03    2.3597223992E-95    0.0000000000E+00    5.5682898011-190    2.3597223992E-95    2.2901583910E-97
   -7.7840000000E+00    3.6712275945E+03    4.6824454364E-95    0.0000000000E+00    2.1925295265-189    4.6824454364E-95    4.5213318746E-97
   -7.7760000000E+00    3.6561584401E+03    9.2784357378E-95    0.0000000000E+00    8.6089369740-189    9.2784357378E-95    8.9136206512E-97
   -7.7680000000E+00    3.6411357236E+03    1.8359786889E-94    0.0000000000E+00    3.3708177461-188    1.8359786889E-94    1.7548071735E-96
   -7.7600000000E+00    3.6261593498E+03    3.6278719078E-94    0.0000000000E+00    1.3161454579-187    3.6278719078E-94    3.4497906908E-96
   -7.7520000000E+00    3.6112292230E+03    7.1586032827E-94    0.0000000000E+00    5.1245600960-187    7.1586032827E-94    6.7724339807E-96
   -7.7440000000E+00    3.5963452481E+03    1.4105786045E-93    0.0000000000E+00    1.9897319994-186    1.4105786045E-93    1.3276576498E-95
   -7.7360000000E+00    3.5815073297E+03    2.7756170104E-93    0.0000000000E+00    7.7040497882-186    2.7756170104E-93    2.5990660157E-95
   -7.7280000000E+00    3.5667153729E+03    5.4540064184E-93    0.0000000000E+00    2.9746186012-185    5.4540064184E-93    5.0808807757E-95
   -7.7200000000E+00    3.5519692826E+03    1.0702031136E-92    0.0000000000E+00    1.1453347044-184    1.0702031136E-92    9.9186320969E-95
   -7.7120000000E+00    3.5372689638E+03    2.0970647588E-92    0.0000000000E+00    4.3976806026-184    2.0970647588E-92    1.9335537170E-94
   -7.7040000000E+00    3.5226143218E+03    4.1034877896E-92    0.0000000000E+00    1.6838612039-183    4.1034877896E-92    3.7640292012E-94
   -7.6960000000E+00    3.5080052619E+03    8.0184555499E-92    0.0000000000E+00    6.4295629405-183    8.0184555499E-92    7.3171609336E-94
   -7.6880000000E+00    3.4934416894E+03    1.5646787675E-91    0.0000000000E+00    2.4482196454-182    1.5646787675E-91    1.4204492119E-93
   -7.6800000000E+00    3.4789235098E+03    3.0489980095E-91    0.0000000000E+00    9.2963888617-182    3.0489980095E-91    2.7536129329E-93
   -7.6720000000E+00    3.4644506287E+03    5.9331753883E-91    0.0000000000E+00    3.5202570189-181    5.9331753883E-91    5.3305835436E-93
   -7.6640000000E+00    3.4500229517E+03    1.1529644916E-90    0.0000000000E+00    1.3293271188-180    1.1529644916E-90    1.0304855212E-92
   -7.6560000000E+00    3.4356403847E+03    2.2374018055E-90    0.0000000000E+00    5.0059668393-180    2.2374018055E-90    1.9893212052E-92
   -7.6480000000E+00    3.4213028335E+03    4.3358270291E-90    0.0000000000E+00    1.8799396027-179    4.3358270291E-90    3.8349915176E-92
   -7.6400000000E+00    3.4070102042E+03    8.3907432295E-90    0.0000000000E+00    7.0404571943-179    8.3907432295E-90    7.3827979159E-92
   -7.6320000000E+00    3.3927624026E+03    1.6215488589E-89    0.0000000000E+00    2.6294207019-178    1.6215488589E-89    1.4193033627E-91
   -7.6240000000E+00    3.3785593351E+03    3.1294021619E-89    0.0000000000E+00    9.7931578910-178    3.1294021619E-89    2.7247568936E-91
   -7.6160000000E+00    3.3644009079E+03    6.0310795346E-89    0.0000000000E+00    3.6373920353-177    6.0310795346E-89    5.2237112912E-91
   -7.6080000000E+00    3.3502870274E+03    1.1607312533E-88    0.0000000000E+00    1.3472970424-176    1.1607312533E-88    1.0000691945E-90
   -7.6000000000E+00    3.3362176000E+03    2.2308576164E-88    0.0000000000E+00    4.9767257046-176    2.2308576164E-88    1.9119697274E-90
   -7.5920000000E+00    3.3221925323E+03    4.2816995142E-88    0.0000000000E+00    1.8332950730-175    4.2816995142E-88    3.6503344095E-90
   -7.5840000000E+00    3.3082117309E+03    8.2066381490E-88    0.0000000000E+00    6.7348909709-175    8.2066381490E-88    6.9596207118E-90
   -7.5760000000E+00    3.2942751026E+03    1.5707958927E-87    0.0000000000E+00    2.4673997366-174    1.5707958927E-87    1.3250747282E-89
   -7.5680000000E+00    3.2803825543E+03    3.0024805993E-87    0.0000000000E+00    9.0148897489-174    3.0024805993E-87    2.5194030502E-89
   -7.5600000000E+00    3.2665339930E+03    5.7312222565E-87    0.0000000000E+00    3.2846908553-173    5.7312222565E-87    4.7836347442E-89
   -7.5520000000E+00    3.2527293256E+03    1.0925001043E-86    0.0000000000E+00    1.1935564780-172    1.0925001043E-86    9.0703084107E-89
   -7.5440000000E+00    3.2389684593E+03    2.0797135759E-86    0.0000000000E+00    4.3252085578-172    2.0797135759E-86    1.7174748255E-88
   -7.5360000000E+00    3.2252513014E+03    3.9536113748E-86    0.0000000000E+00    1.5631042903-171    3.9536113748E-86    3.2476079030E-88
   -7.5280000000E+00    3.2115777592E+03    7.5057388067E-86    0.0000000000E+00    5.6336115035-171    7.5057388067E-86    6.1325667546E-88
   -7.5200000000E+00    3.1979477402E+03    1.4229922800E-85    0.0000000000E+00    2.0249070290-170    1.4229922800E-85    1.1564505456E-87
   -7.5120000000E+00    3.1843611519E+03    2.6941506443E-85    0.0000000000E+00    7.2584476941-170    2.6941506443E-85    2.1778027106E-87
   -7.5040000000E+00    3.1708179019E+03    5.0939191890E-85    0.0000000000E+00    2.5948012704-169    5.0939191890E-85    4.0955977118E-87
   -7.4960000000E+00    3.1573178981E+03    9.6181972158E-85    0.0000000000E+00    9.2509717682-169    9.6181972158E-85    7.6917283861E-87
   -7.4880000000E+00    3.1438610482E+03    1.8136244616E-84    0.0000000000E+00    3.2892336878-168    1.8136244616E-84    1.4425772536E-86
   -7.4800000000E+00    3.1304472602E+03    3.4151809594E-84    0.0000000000E+00    1.1663460986-167    3.4151809594E-84    2.7018629366E-86
   -7.4720000000E+00    3.1170764421E+03    6.4223408883E-84    0.0000000000E+00    4.1246462486-167    6.4223408883E-84    5.0535578666E-86
   -7.4640000000E+00    3.1037485020E+03    1.2061098736E-83    0.0000000000E+00    1.4547010271-166    1.2061098736E-83    9.4393365221E-86
   -7.4560000000E+00    3.0904633482E+03    2.2620119083E-83    0.0000000000E+00    5.1166978731-166    2.2620119083E-83    1.7607455314E-85
   -7.4480000000E+00    3.0772208891E+03    4.2366052990E-83    0.0000000000E+00    1.7948824460-165    4.2366052990E-83    3.2799197756E-85
   -7.4400000000E+00    3.0640210330E+03    7.9242256919E-83    0.0000000000E+00    6.2793352816-165    7.9242256919E-83    6.1015749565E-85
   -7.4320000000E+00    3.0508636884E+03    1.4801713361E-82    0.0000000000E+00    2.1909071843-164    1.4801713361E-82    1.1335309576E-84
   -7.4240000000E+00    3.0377487641E+03    2.7611123259E-82    0.0000000000E+00    7.6237412760-164    2.7611123259E-82    2.1029944551E-84
   -7.4160000000E+00    3.0246761687E+03    5.1436771367E-82    0.0000000000E+00    2.6457414486-163    5.1436771367E-82    3.8963393925E-84
   -7.4080000000E+00    3.0116458110E+03    9.5693287931E-82    0.0000000000E+00    9.1572053551-163    9.5693287931E-82    7.2092476233E-84
   -7.4000000000E+00    2.9986576000E+03    1.7779027962E-81    0.0000000000E+00    3.1609383529-162    1.7779027962E-81    1.3321042717E-83
   -7.3920000000E+00    2.9857114447E+03    3.2987842990E-81    0.0000000000E+00    1.0881977852-161    3.2987842990E-81    2.4581151071E-83
   -7.3840000000E+00    2.9728072542E+03    6.1125131167E-81    0.0000000000E+00    3.7362816602-161    6.1125131167E-81    4.5298365356E-83
   -7.3760000000E+00    2.9599449377E+03    1.1311137418E-80    0.0000000000E+00    1.2794182969-160    1.1311137418E-80    8.3364234530E-83
   -7.3680000000E+00    2.9471244046E+03    2.0903256630E-80    0.0000000000E+00    4.3694613775-160    2.0903256630E-80    1.5321261602E-82
   -7.3600000000E+00    2.9343455642E+03    3.8578331054E-80    0.0000000000E+00    1.4882876269-159    3.8578331054E-80    2.8120783498E-82
   -7.3520000000E+00    2.9216083260E+03    7.1104213713E-80    0.0000000000E+00    5.0558092078-159    7.1104213713E-80    5.1544108912E-82
   -7.3440000000E+00    2.9089125998E+03    1.3087909120E-79    0.0000000000E+00    1.7129336513-158    1.3087909120E-79    9.4351756265E-82
   -7.3360000000E+00    2.8962582951E+03    2.4058516439E-79    0.0000000000E+00    5.7881221325-158    2.4058516439E-79    1.7248084747E-81
   -7.3280000000E+00    2.8836453218E+03    4.4166365920E-79    0.0000000000E+00    1.9506678786-157    4.4166365920E-79    3.1488524124E-81
