Generation        x_r=1.9        x_r=2.9        x_r=3.3        x_r=3.6
         1       1.100000       1.100000       1.100000       1.100000
         2       0.909655       0.823090       0.790816       0.767444
         3       1.080005       1.374857       1.577146       1.772714
         4       0.927703       0.463599       0.234813       0.109782
         5       1.064304       2.196418       2.933368       0.343369
         6       0.941900       0.068373       0.004972       3.650711
         7       1.051833       0.184359       0.016310       0.000262
         8       0.953183       0.439355       0.052785       0.000942
         9       1.041856       2.233172       0.163552       0.003389
        10       0.962210       0.062488       0.443982       0.012146
        11       1.033838       0.169552       2.781216       0.043052
        12       0.969462       0.410487       0.007788       0.146672
        13       1.027377       2.268631       0.025464       0.437578
        14       0.975303       0.057277       0.081514       3.314207
        15       1.022159       0.156277       0.244051       0.000798
        16       0.980017       0.383734       2.957231       0.002871
        17       1.017941       2.291865       0.004633       0.010298
        18       0.983826       0.054093       0.015204       0.036589
        19       1.014529       0.148091       0.049270       0.125688
        20       0.986906       0.366818       0.153302       0.385191
        21       1.011767       2.300988       0.421281       3.522941
        22       0.989398       0.052891       2.844303       0.000400
        23       1.009531       0.144984       0.006468       0.001440
        24       0.991414       0.360312       0.021180       0.005176
        25       1.007720       2.303225       0.068150       0.018509
        26       0.993047       0.052600       0.207320       0.065072
        27       1.006253       0.144232       2.835882       0.215526
        28       0.994369       0.358729       0.006631       3.630726
        29       1.005065       2.303657       0.021708       0.000280
        30       0.995439       0.052544       0.069805       0.001007
        31       1.004103       0.144086       0.211937       0.003621
        32       0.996306       0.358423       2.855198       0.012976
        33       1.003323       2.303735       0.006264       0.045943
        34       0.997008       0.052534       0.020516       0.155942
        35       1.002692       0.144060       0.066063       0.459743
        36       0.997577       0.358368       0.201474       3.215033
        37       1.002180       2.303749       2.809598       0.001107
        38       0.998037       0.052532       0.007164       0.003979
        39       1.001766       0.144056       0.023441       0.014251
        40       0.998410       0.358358       0.075221       0.050376
        41       1.001431       2.303752       0.226907       0.170019
        42       0.998712       0.052532       2.909532       0.492287
        43       1.001159       0.144055       0.005335       3.062015
        44       0.998957       0.358356       0.017494       0.001829
        45       1.000939       2.303752       0.056536       0.006568
        46       0.999155       0.052532       0.174392       0.023446
        47       1.000760       0.144055       0.467321       0.081907
        48       0.999316       0.358356       2.710416       0.265497
        49       1.000616       2.303752       0.009588       3.736163
        50       0.999446       0.052531       0.031279       0.000197
