Generation        x_r=1.9        x_r=2.9        x_r=3.3        x_r=3.6        p_r=1.9        p_r=2.9        p_r=3.3        p_r=3.6              K
         1       0.100000       0.100000       0.100000       0.100000       0.100000       0.100000       0.100000       0.100000       1.000000
         2       0.171000       0.261000       0.297000       0.324000       0.169290       0.258390       0.294030       0.320760       0.990000
         3       0.269342       0.559349       0.689010       0.788486       0.263955       0.548162       0.675230       0.772717       0.980000
         4       0.373914       0.714785       0.707108       0.600392       0.362697       0.693342       0.685895       0.582381       0.970000
         5       0.444795       0.591215       0.683451       0.863717       0.427003       0.567567       0.656113       0.829168       0.960000
         6       0.469209       0.700871       0.713941       0.423756       0.445749       0.665828       0.678244       0.402568       0.950000
         7       0.473199       0.607987       0.673956       0.879073       0.444807       0.571508       0.633519       0.826328       0.940000
         8       0.473635       0.691183       0.725139       0.382694       0.440481       0.642800       0.674380       0.355906       0.930000
         9       0.473679       0.619003       0.657730       0.850462       0.435785       0.569483       0.605112       0.782425       0.920000
        10       0.473684       0.683931       0.742900       0.457836       0.431052       0.622377       0.676039       0.416631       0.910000
        11       0.473684       0.626891       0.630299       0.893600       0.426316       0.564202       0.567269       0.804240       0.900000
        12       0.473684       0.678306       0.768973       0.342285       0.421579       0.603693       0.684386       0.304634       0.890000
        13       0.473684       0.632800       0.586256       0.810454       0.416842       0.556864       0.515906       0.713199       0.880000
        14       0.473684       0.673856       0.800447       0.553027       0.412105       0.586255       0.696389       0.481133       0.870000
        15       0.473684       0.637345       0.527113       0.889877       0.407368       0.548117       0.453318       0.765295       0.860000
        16       0.473684       0.670296       0.822574       0.352784       0.402632       0.569751       0.699188       0.299867       0.850000
        17       0.473684       0.640898       0.481622       0.821979       0.397895       0.538355       0.404562       0.690462       0.840000
        18       0.473684       0.667428       0.823885       0.526786       0.393158       0.553966       0.683825       0.437233       0.830000
        19       0.473684       0.643707       0.478824       0.897417       0.388421       0.527839       0.392636       0.735882       0.820000
        20       0.473684       0.665110       0.823520       0.331415       0.383684       0.538740       0.667052       0.268446       0.810000
        21       0.473684       0.645942       0.479604       0.797685       0.378947       0.516753       0.383684       0.638148       0.800000
        22       0.473684       0.663233       0.823627       0.580981       0.374211       0.523954       0.650666       0.458975       0.790000
        23       0.473684       0.647730       0.479376       0.876391       0.369474       0.505229       0.373913       0.683585       0.780000
        24       0.473684       0.661710       0.823596       0.389987       0.364737       0.509517       0.634169       0.300290       0.770000
        25       0.473684       0.649164       0.479442       0.856429       0.360000       0.493365       0.364376       0.650887       0.760000
        26       0.473684       0.660475       0.823605       0.442649       0.355263       0.495356       0.617704       0.331987       0.750000
        27       0.473684       0.650319       0.479423       0.888159       0.350526       0.481236       0.354773       0.657238       0.740000
        28       0.473684       0.659473       0.823603       0.357597       0.345790       0.481415       0.601230       0.261046       0.730000
        29       0.473684       0.651249       0.479428       0.826997       0.341053       0.468899       0.345188       0.595438       0.720000
        30       0.473684       0.658659       0.823603       0.515063       0.336316       0.467648       0.584759       0.365695       0.710000
        31       0.473684       0.651999       0.479427       0.899183       0.331579       0.456400       0.335599       0.629429       0.700000
        32       0.473684       0.657999       0.823603       0.326350       0.326842       0.454020       0.568286       0.225182       0.690000
        33       0.473684       0.652605       0.479427       0.791444       0.322105       0.443772       0.326011       0.538182       0.680000
        34       0.473684       0.657464       0.823603       0.594217       0.317369       0.440501       0.551814       0.398125       0.670000
        35       0.473684       0.653095       0.479427       0.868043       0.312632       0.431043       0.316422       0.572909       0.660000
        36       0.473684       0.657030       0.823603       0.412358       0.307895       0.427070       0.535342       0.268033       0.650000
        37       0.473684       0.653491       0.479427       0.872348       0.303158       0.418234       0.306833       0.558303       0.640000
        38       0.473684       0.656678       0.823603       0.400885       0.298421       0.413707       0.518870       0.252557       0.630000
        39       0.473684       0.653811       0.479427       0.864634       0.293684       0.405363       0.297245       0.536073       0.620000
        40       0.473684       0.656392       0.823603       0.421351       0.288948       0.400399       0.502398       0.257024       0.610000
        41       0.473684       0.654070       0.479427       0.877732       0.284211       0.392442       0.287656       0.526639       0.600000
        42       0.473684       0.656161       0.823603       0.386348       0.279474       0.387135       0.485926       0.227945       0.590000
        43       0.473684       0.654280       0.479427       0.853499       0.274737       0.379483       0.278068       0.495030       0.580000
        44       0.473684       0.655973       0.823603       0.450138       0.270000       0.373905       0.469454       0.256579       0.570000
        45       0.473684       0.654450       0.479427       0.891050       0.265263       0.366492       0.268479       0.498988       0.560000
        46       0.473684       0.655821       0.823603       0.349489       0.260527       0.360702       0.452982       0.192219       0.550000
        47       0.473684       0.654587       0.479427       0.818447       0.255790       0.353477       0.258891       0.441962       0.540000
        48       0.473684       0.655698       0.823603       0.534929       0.251053       0.347520       0.436510       0.283513       0.530000
        49       0.473684       0.654698       0.479427       0.895608       0.246316       0.340444       0.249302       0.465716       0.520000
        50       0.473684       0.655598       0.823603       0.336580       0.241579       0.334355       0.420038       0.171656       0.510000
