# x  y  u  v  psi  vort
      1.000000      1.000000      0.999998      0.000002      0.999998     -0.000000
      6.000000      1.000000      0.999986      0.000002      0.999986     -0.000000
     11.000000      1.000000      0.999973      0.000003      0.999973     -0.000000
     16.000000      1.000000      0.999960      0.000003      0.999960     -0.000000
     21.000000      1.000000      0.999946      0.000003      0.999946     -0.000000
     26.000000      1.000000      0.999931      0.000003      0.999931     -0.000000
     31.000000      1.000000      0.999914      0.000004      0.999914     -0.000000
     36.000000      1.000000      0.999894      0.000004      0.999894     -0.000000
     41.000000      1.000000      0.999871      0.000005      0.999871     -0.000000
     46.000000      1.000000      0.999846      0.000006      0.999846     -0.000000
     51.000000      1.000000      0.999816      0.000006      0.999816     -0.000000
     56.000000      1.000000      0.999782      0.000007      0.999782     -0.000000
     61.000000      1.000000      0.999743      0.000008      0.999743     -0.000000
     66.000000      1.000000      0.999697      0.000010      0.999697     -0.000000
     71.000000      1.000000      0.999644      0.000011      0.999644     -0.000000
     76.000000      1.000000      0.999584      0.000013      0.999584     -0.000000
     81.000000      1.000000      0.999513      0.000015      0.999513     -0.000000
     86.000000      1.000000      0.999432      0.000017      0.999432     -0.000000
     91.000000      1.000000      0.999339      0.000020      0.999339     -0.000000
     96.000000      1.000000      0.999232      0.000023      0.999232     -0.000000
    101.000000      1.000000      0.999108      0.000026      0.999108     -0.000000
    106.000000      1.000000      0.998967      0.000030      0.998967     -0.000000
    111.000000      1.000000      0.998805      0.000035      0.998805     -0.000000
    116.000000      1.000000      0.998619      0.000040      0.998619     -0.000000
    121.000000      1.000000      0.998408      0.000045      0.998407     -0.000000
    126.000000      1.000000      0.998166      0.000052      0.998166     -0.000000
    131.000000      1.000000      0.997891      0.000059      0.997890     -0.000000
    136.000000      1.000000      0.997577      0.000067      0.997577     -0.000000
    141.000000      1.000000      0.997221      0.000076      0.997221     -0.000000
    146.000000      1.000000      0.996817      0.000086      0.996817     -0.000000
