# x  y  u  v  psi  vort
      1.000000      1.000000      0.999998      0.000002      0.999998     -0.000000
     11.000000      1.000000      0.999973      0.000003      0.999973     -0.000000
     21.000000      1.000000      0.999946      0.000003      0.999946     -0.000000
     31.000000      1.000000      0.999914      0.000004      0.999914     -0.000000
     41.000000      1.000000      0.999871      0.000005      0.999871     -0.000000
     51.000000      1.000000      0.999816      0.000006      0.999816     -0.000000
     61.000000      1.000000      0.999743      0.000008      0.999743     -0.000000
     71.000000      1.000000      0.999644      0.000011      0.999644     -0.000000
     81.000000      1.000000      0.999513      0.000015      0.999513     -0.000000
     91.000000      1.000000      0.999339      0.000020      0.999339     -0.000000
    101.000000      1.000000      0.999108      0.000026      0.999108     -0.000000
    111.000000      1.000000      0.998805      0.000035      0.998805     -0.000000
    121.000000      1.000000      0.998408      0.000045      0.998407     -0.000000
    131.000000      1.000000      0.997891      0.000059      0.997890     -0.000000
    141.000000      1.000000      0.997221      0.000076      0.997221     -0.000000
    151.000000      1.000000      0.996359      0.000097      0.996359     -0.000000
    161.000000      1.000000      0.995255      0.000124      0.995254     -0.000000
    171.000000      1.000000      0.993847      0.000158      0.993847     -0.000000
    181.000000      1.000000      0.992061      0.000200      0.992060     -0.000000
    191.000000      1.000000      0.989805      0.000253      0.989803     -0.000000
    201.000000      1.000000      0.986965      0.000317      0.986964     -0.000000
    211.000000      1.000000      0.983406      0.000397      0.983403     -0.000000
    221.000000      1.000000      0.978958      0.000496      0.978955     -0.000000
    231.000000      1.000000      0.973415      0.000617      0.973411     -0.000000
    241.000000      1.000000      0.966525      0.000767      0.966520     -0.000000
    251.000000      1.000000      0.957973      0.000951      0.957966     -0.000000
    261.000000      1.000000      0.947372      0.001178      0.947363     -0.000000
    271.000000      1.000000      0.934235      0.001460      0.934224     -0.000000
    281.000000      1.000000      0.917951      0.001811      0.917936     -0.000000
    291.000000      1.000000      0.897742      0.002249      0.897723     -0.000000
    301.000000      1.000000      0.872613      0.002800      0.872587     -0.000000
    311.000000      1.000000      0.841279      0.003497      0.841245     -0.000000
    321.000000      1.000000      0.802075      0.004383      0.802031     -0.000000
    331.000000      1.000000      0.752846      0.005513      0.752788     -0.000000
    341.000000      1.000000      0.690836      0.006951      0.690761     -0.000000
    351.000000      1.000000      0.612639      0.008759      0.612544     -0.000000
    361.000000      1.000000      0.514372      0.010963      0.514257     -0.000000
    371.000000      1.000000      0.392380      0.013471      0.392255     -0.000001
    381.000000      1.000000      0.245188      0.015855      0.245074     -0.000045
    391.000000      1.000000      0.084398      0.015018      0.084340     -0.000711
    451.000000      1.000000     -0.000187      0.000363     -0.000188      0.000350
    461.000000      1.000000     -0.017584      0.002769     -0.017591      0.000132
    471.000000      1.000000     -0.050280      0.003577     -0.050303     -0.000013
    481.000000      1.000000     -0.086507      0.003592     -0.086551     -0.000103
    491.000000      1.000000     -0.121153      0.003320     -0.121222     -0.000164
    501.000000      1.000000     -0.152663      0.002986     -0.152757     -0.000214
    511.000000      1.000000     -0.180888      0.002668     -0.181005     -0.000258
    521.000000      1.000000     -0.206091      0.002383     -0.206231     -0.000299
    531.000000      1.000000     -0.228604      0.002129     -0.228765     -0.000337
    541.000000      1.000000     -0.248722      0.001903     -0.248904     -0.000375
    551.000000      1.000000     -0.266691      0.001698     -0.266892     -0.000410
    561.000000      1.000000     -0.282705      0.001511     -0.282924     -0.000445
    571.000000      1.000000     -0.296922      0.001338     -0.297159     -0.000479
    581.000000      1.000000     -0.309473      0.001177     -0.309727     -0.000512
    591.000000      1.000000     -0.320468      0.001027     -0.320738     -0.000545
    601.000000      1.000000     -0.329999      0.000884     -0.330286     -0.000578
    611.000000      1.000000     -0.338148      0.000750     -0.338452     -0.000611
    621.000000      1.000000     -0.344981      0.000621     -0.345302     -0.000645
    631.000000      1.000000     -0.350551      0.000497     -0.350888     -0.000680
    641.000000      1.000000     -0.354886      0.000374     -0.355241     -0.000717
    651.000000      1.000000     -0.357989      0.000250     -0.358362     -0.000755
    661.000000      1.000000     -0.359823      0.000120     -0.360216     -0.000796
    671.000000      1.000000     -0.360300     -0.000022     -0.360715     -0.000841
    681.000000      1.000000     -0.359267     -0.000184     -0.359704     -0.000889
    691.000000      1.000000     -0.356483     -0.000374     -0.356945     -0.000942
    701.000000      1.000000     -0.351608     -0.000604     -0.352097     -0.001000
    711.000000      1.000000     -0.344175     -0.000887     -0.344692     -0.001064
    721.000000      1.000000     -0.333573     -0.001240     -0.334123     -0.001134
    731.000000      1.000000     -0.319030     -0.001678     -0.319614     -0.001211
    741.000000      1.000000     -0.299584     -0.002223     -0.300205     -0.001296
    751.000000      1.000000     -0.274065     -0.002896     -0.274727     -0.001389
    761.000000      1.000000     -0.241064     -0.003724     -0.241770     -0.001490
    771.000000      1.000000     -0.198883     -0.004738     -0.199635     -0.001599
    781.000000      1.000000     -0.145456     -0.005981     -0.146256     -0.001719
    791.000000      1.000000     -0.078196     -0.007517     -0.079045     -0.001848
    801.000000      1.000000      0.006283     -0.009448      0.005385     -0.001991
    811.000000      1.000000      0.112723     -0.011951      0.111781     -0.002151
    821.000000      1.000000      0.248377     -0.015376      0.247404     -0.002334
    831.000000      1.000000      0.425725     -0.020495      0.424762     -0.002555
