# x  y  u  v  psi  vort
      1.000000      1.000000      0.998386      0.000000      0.998386     -0.000000
     11.000000      1.000000      0.998351      0.000007      0.998351     -0.000000
     21.000000      1.000000      0.998250      0.000013      0.998249     -0.000000
     31.000000      1.000000      0.998080      0.000021      0.998080     -0.000000
     41.000000      1.000000      0.997837      0.000028      0.997837     -0.000000
     51.000000      1.000000      0.997513      0.000037      0.997513     -0.000000
     61.000000      1.000000      0.997100      0.000046      0.997099     -0.000000
     71.000000      1.000000      0.996585      0.000057      0.996585     -0.000000
     81.000000      1.000000      0.995954      0.000069      0.995954     -0.000000
     91.000000      1.000000      0.995190      0.000084      0.995190     -0.000000
    101.000000      1.000000      0.994272      0.000100      0.994272     -0.000000
    111.000000      1.000000      0.993175      0.000120      0.993175     -0.000000
    121.000000      1.000000      0.991871      0.000142      0.991871     -0.000000
    131.000000      1.000000      0.990325      0.000168      0.990324     -0.000000
    141.000000      1.000000      0.988497      0.000198      0.988496     -0.000000
    151.000000      1.000000      0.986340      0.000234      0.986339     -0.000000
    161.000000      1.000000      0.983799      0.000275      0.983797     -0.000000
    171.000000      1.000000      0.980808      0.000324      0.980806     -0.000000
    181.000000      1.000000      0.977292      0.000381      0.977290     -0.000000
    191.000000      1.000000      0.973158      0.000448      0.973156     -0.000000
    201.000000      1.000000      0.968301      0.000526      0.968298     -0.000000
    211.000000      1.000000      0.962590      0.000619      0.962586     -0.000000
    221.000000      1.000000      0.955871      0.000728      0.955867     -0.000000
    231.000000      1.000000      0.947958      0.000858      0.947953     -0.000000
    241.000000      1.000000      0.938623      0.001014      0.938616     -0.000000
    251.000000      1.000000      0.927587      0.001200      0.927578     -0.000000
    261.000000      1.000000      0.914504      0.001424      0.914494     -0.000000
    271.000000      1.000000      0.898944      0.001697      0.898931     -0.000000
    281.000000      1.000000      0.880362      0.002031      0.880346     -0.000000
    291.000000      1.000000      0.858066      0.002444      0.858046     -0.000000
    301.000000      1.000000      0.831168      0.002957      0.831141     -0.000000
    311.000000      1.000000      0.798515      0.003601      0.798481     -0.000000
    321.000000      1.000000      0.758612      0.004415      0.758569     -0.000000
    331.000000      1.000000      0.709517      0.005449      0.709462     -0.000000
    341.000000      1.000000      0.648744      0.006761      0.648672     -0.000000
    351.000000      1.000000      0.573215      0.008408      0.573125     -0.000000
    361.000000      1.000000      0.479424      0.010412      0.479317     -0.000000
    371.000000      1.000000      0.364078      0.012689      0.363962     -0.000001
    381.000000      1.000000      0.225971      0.014815      0.225868     -0.000050
    391.000000      1.000000      0.076839      0.013790      0.076787     -0.000684
    451.000000      1.000000     -0.000153      0.000297     -0.000153      0.000287
    461.000000      1.000000     -0.014584      0.002316     -0.014588      0.000119
    471.000000      1.000000     -0.042169      0.003037     -0.042183      0.000002
    481.000000      1.000000     -0.073053      0.003069     -0.073081     -0.000071
    491.000000      1.000000     -0.102652      0.002832     -0.102697     -0.000117
    501.000000      1.000000     -0.129474      0.002535     -0.129537     -0.000152
    511.000000      1.000000     -0.153364      0.002252     -0.153443     -0.000181
    521.000000      1.000000     -0.174595      0.002003     -0.174689     -0.000207
    531.000000      1.000000     -0.193518      0.001789     -0.193625     -0.000230
    541.000000      1.000000     -0.210447      0.001603     -0.210567     -0.000252
    551.000000      1.000000     -0.225638      0.001440     -0.225769     -0.000273
    561.000000      1.000000     -0.239290      0.001295     -0.239431     -0.000292
    571.000000      1.000000     -0.251553      0.001162     -0.251705     -0.000311
    581.000000      1.000000     -0.262545      0.001040     -0.262706     -0.000329
    591.000000      1.000000     -0.272352      0.000925     -0.272522     -0.000346
    601.000000      1.000000     -0.281042      0.000816     -0.281220     -0.000362
    611.000000      1.000000     -0.288666      0.000711     -0.288852     -0.000377
    621.000000      1.000000     -0.295265      0.000610     -0.295458     -0.000392
    631.000000      1.000000     -0.300871      0.000513     -0.301071     -0.000406
    641.000000      1.000000     -0.305511      0.000417     -0.305719     -0.000419
    651.000000      1.000000     -0.309211      0.000324     -0.309425     -0.000432
    661.000000      1.000000     -0.311993      0.000234     -0.312213     -0.000444
    671.000000      1.000000     -0.313879      0.000145     -0.314104     -0.000454
    681.000000      1.000000     -0.314890      0.000059     -0.315119     -0.000464
    691.000000      1.000000     -0.315048     -0.000026     -0.315282     -0.000473
    701.000000      1.000000     -0.314376     -0.000108     -0.314614     -0.000481
    711.000000      1.000000     -0.312895     -0.000188     -0.313136     -0.000487
    721.000000      1.000000     -0.310626     -0.000265     -0.310870     -0.000493
    731.000000      1.000000     -0.307591     -0.000341     -0.307837     -0.000497
    741.000000      1.000000     -0.303810     -0.000415     -0.304057     -0.000499
    751.000000      1.000000     -0.299304     -0.000486     -0.299551     -0.000500
    761.000000      1.000000     -0.294100     -0.000554     -0.294346     -0.000499
    771.000000      1.000000     -0.288241     -0.000617     -0.288486     -0.000495
    781.000000      1.000000     -0.281799     -0.000670     -0.282041     -0.000490
    791.000000      1.000000     -0.274901     -0.000707     -0.275139     -0.000481
    801.000000      1.000000     -0.267759     -0.000716     -0.267994     -0.000471
    811.000000      1.000000     -0.260717     -0.000684     -0.260948     -0.000459
