# x  y  u  v  psi  vort
      1.000000      1.000000      0.994985      0.000001      0.994985     -0.000000
     11.000000      1.000000      0.994885      0.000019      0.994884     -0.000000
     21.000000      1.000000      0.994600      0.000038      0.994600     -0.000000
     31.000000      1.000000      0.994124      0.000058      0.994124     -0.000000
     41.000000      1.000000      0.993445      0.000079      0.993445     -0.000000
     51.000000      1.000000      0.992547      0.000101      0.992547     -0.000000
     61.000000      1.000000      0.991408      0.000127      0.991408     -0.000000
     71.000000      1.000000      0.990002      0.000155      0.990001     -0.000000
     81.000000      1.000000      0.988295      0.000187      0.988294     -0.000000
     91.000000      1.000000      0.986250      0.000223      0.986249     -0.000000
    101.000000      1.000000      0.983820      0.000264      0.983819     -0.000000
    111.000000      1.000000      0.980954      0.000310      0.980953     -0.000000
    121.000000      1.000000      0.977590      0.000364      0.977589     -0.000000
    131.000000      1.000000      0.973659      0.000424      0.973657     -0.000000
    141.000000      1.000000      0.969080      0.000493      0.969078     -0.000000
    151.000000      1.000000      0.963763      0.000572      0.963760     -0.000000
    161.000000      1.000000      0.957603      0.000662      0.957600     -0.000000
    171.000000      1.000000      0.950484      0.000764      0.950481     -0.000000
    181.000000      1.000000      0.942271      0.000881      0.942267     -0.000000
    191.000000      1.000000      0.932812      0.001014      0.932807     -0.000000
    201.000000      1.000000      0.921935      0.001165      0.921930     -0.000000
    211.000000      1.000000      0.909444      0.001337      0.909438     -0.000000
    221.000000      1.000000      0.895118      0.001533      0.895110     -0.000000
    231.000000      1.000000      0.878704      0.001755      0.878695     -0.000000
    241.000000      1.000000      0.859917      0.002008      0.859907     -0.000000
    251.000000      1.000000      0.838436      0.002295      0.838424     -0.000000
    261.000000      1.000000      0.813898      0.002620      0.813884     -0.000000
    271.000000      1.000000      0.785896      0.002988      0.785880     -0.000000
    281.000000      1.000000      0.753980      0.003404      0.753962     -0.000000
    291.000000      1.000000      0.717657      0.003870      0.717636     -0.000000
    301.000000      1.000000      0.676399      0.004391      0.676375     -0.000000
    311.000000      1.000000      0.629657      0.004967      0.629630     -0.000000
    321.000000      1.000000      0.576889      0.005595      0.576860     -0.000000
    331.000000      1.000000      0.517604      0.006269      0.517572     -0.000000
    341.000000      1.000000      0.451422      0.006971      0.451390     -0.000000
    351.000000      1.000000      0.378166      0.007678      0.378133     -0.000000
    361.000000      1.000000      0.297956      0.008354      0.297925     -0.000000
    371.000000      1.000000      0.211388      0.008930      0.211362     -0.000008
    381.000000      1.000000      0.120656      0.009064      0.120638     -0.000083
    391.000000      1.000000      0.036857      0.007038      0.036850     -0.000449
    451.000000      1.000000     -0.000067      0.000131     -0.000067      0.000128
    461.000000      1.000000     -0.006872      0.001145     -0.006873      0.000076
    471.000000      1.000000     -0.021511      0.001721     -0.021514      0.000036
    481.000000      1.000000     -0.040303      0.001999     -0.040308      0.000009
    491.000000      1.000000     -0.060895      0.002098     -0.060903     -0.000008
    501.000000      1.000000     -0.081959      0.002104     -0.081969     -0.000020
    511.000000      1.000000     -0.102823      0.002065     -0.102836     -0.000028
    521.000000      1.000000     -0.123179      0.002005     -0.123196     -0.000035
    531.000000      1.000000     -0.142897      0.001938     -0.142918     -0.000041
    541.000000      1.000000     -0.161931      0.001869     -0.161955     -0.000048
    551.000000      1.000000     -0.180273      0.001800     -0.180300     -0.000054
    561.000000      1.000000     -0.197935      0.001733     -0.197966     -0.000060
    571.000000      1.000000     -0.214941      0.001669     -0.214975     -0.000066
    581.000000      1.000000     -0.231315      0.001607     -0.231353     -0.000072
    591.000000      1.000000     -0.247085      0.001548     -0.247126     -0.000077
    601.000000      1.000000     -0.262276      0.001491     -0.262320     -0.000083
    611.000000      1.000000     -0.276913      0.001437     -0.276960     -0.000088
