# x  y  u  v  psi  vort
      1.000000      1.000000      0.998359      0.000000      0.998359     -0.000000
     11.000000      1.000000      0.998323      0.000007      0.998322     -0.000000
     21.000000      1.000000      0.998220      0.000014      0.998220     -0.000000
     31.000000      1.000000      0.998048      0.000021      0.998048     -0.000000
     41.000000      1.000000      0.997802      0.000029      0.997802     -0.000000
     51.000000      1.000000      0.997474      0.000037      0.997474     -0.000000
     61.000000      1.000000      0.997056      0.000047      0.997055     -0.000000
     71.000000      1.000000      0.996535      0.000058      0.996535     -0.000000
     81.000000      1.000000      0.995897      0.000070      0.995897     -0.000000
     91.000000      1.000000      0.995125      0.000085      0.995125     -0.000000
    101.000000      1.000000      0.994198      0.000101      0.994198     -0.000000
    111.000000      1.000000      0.993092      0.000121      0.993091     -0.000000
    121.000000      1.000000      0.991777      0.000143      0.991776     -0.000000
    131.000000      1.000000      0.990219      0.000169      0.990218     -0.000000
    141.000000      1.000000      0.988378      0.000200      0.988377     -0.000000
    151.000000      1.000000      0.986209      0.000235      0.986208     -0.000000
    161.000000      1.000000      0.983655      0.000277      0.983653     -0.000000
    171.000000      1.000000      0.980651      0.000325      0.980650     -0.000000
    181.000000      1.000000      0.977123      0.000382      0.977121     -0.000000
    191.000000      1.000000      0.972980      0.000449      0.972977     -0.000000
    201.000000      1.000000      0.968114      0.000527      0.968111     -0.000000
    211.000000      1.000000      0.962399      0.000619      0.962395     -0.000000
    221.000000      1.000000      0.955680      0.000728      0.955675     -0.000000
    231.000000      1.000000      0.947772      0.000858      0.947766     -0.000000
    241.000000      1.000000      0.938450      0.001012      0.938443     -0.000000
    251.000000      1.000000      0.927435      0.001197      0.927427     -0.000000
    261.000000      1.000000      0.914386      0.001421      0.914375     -0.000000
    271.000000      1.000000      0.898871      0.001692      0.898858     -0.000000
    281.000000      1.000000      0.880350      0.002025      0.880334     -0.000000
    291.000000      1.000000      0.858131      0.002435      0.858111     -0.000000
    301.000000      1.000000      0.831327      0.002946      0.831300     -0.000000
    311.000000      1.000000      0.798784      0.003589      0.798750     -0.000000
    321.000000      1.000000      0.759004      0.004402      0.758961     -0.000000
    331.000000      1.000000      0.710039      0.005436      0.709983     -0.000000
    341.000000      1.000000      0.649387      0.006750      0.649315     -0.000000
    351.000000      1.000000      0.573953      0.008401      0.573863     -0.000000
    361.000000      1.000000      0.480200      0.010412      0.480093     -0.000000
    371.000000      1.000000      0.364800      0.012700      0.364684     -0.000001
    381.000000      1.000000      0.226513      0.014840      0.226409     -0.000050
    391.000000      1.000000      0.077063      0.013826      0.077011     -0.000685
    501.000000      1.000000     -0.000136      0.000263     -0.000136      0.000254
    511.000000      1.000000     -0.012817      0.002025     -0.012822      0.000098
    521.000000      1.000000     -0.036762      0.002621     -0.036780     -0.000013
    531.000000      1.000000     -0.063231      0.002613     -0.063266     -0.000086
    541.000000      1.000000     -0.088244      0.002375     -0.088298     -0.000136
    551.000000      1.000000     -0.110530      0.002086     -0.110603     -0.000174
    561.000000      1.000000     -0.129972      0.001811     -0.130063     -0.000206
    571.000000      1.000000     -0.146824      0.001568     -0.146931     -0.000234
    581.000000      1.000000     -0.161400      0.001355     -0.161521     -0.000259
    591.000000      1.000000     -0.173986      0.001168     -0.174119     -0.000283
    601.000000      1.000000     -0.184814      0.001003     -0.184959     -0.000304
    611.000000      1.000000     -0.194070      0.000853     -0.194226     -0.000324
    621.000000      1.000000     -0.201903      0.000717     -0.202069     -0.000342
    631.000000      1.000000     -0.208431      0.000592     -0.208606     -0.000359
    641.000000      1.000000     -0.213751      0.000475     -0.213934     -0.000375
    651.000000      1.000000     -0.217942      0.000366     -0.218133     -0.000390
    661.000000      1.000000     -0.221073      0.000263     -0.221271     -0.000404
    671.000000      1.000000     -0.223205      0.000166     -0.223410     -0.000417
    681.000000      1.000000     -0.224392      0.000074     -0.224603     -0.000429
    691.000000      1.000000     -0.224685     -0.000013     -0.224902     -0.000440
    701.000000      1.000000     -0.224133     -0.000095     -0.224355     -0.000450
    711.000000      1.000000     -0.222783     -0.000173     -0.223010     -0.000459
    721.000000      1.000000     -0.220683     -0.000246     -0.220913     -0.000467
    731.000000      1.000000     -0.217878     -0.000314     -0.218112     -0.000474
    741.000000      1.000000     -0.214418     -0.000377     -0.214656     -0.000480
    751.000000      1.000000     -0.210351     -0.000435     -0.210591     -0.000485
    761.000000      1.000000     -0.205726     -0.000489     -0.205968     -0.000489
    771.000000      1.000000     -0.200593     -0.000537     -0.200837     -0.000493
    781.000000      1.000000     -0.195002     -0.000580     -0.195247     -0.000495
    791.000000      1.000000     -0.189003     -0.000619     -0.189248     -0.000496
    801.000000      1.000000     -0.182645     -0.000652     -0.182890     -0.000496
    811.000000      1.000000     -0.175979     -0.000680     -0.176224     -0.000494
    821.000000      1.000000     -0.169055     -0.000703     -0.169299     -0.000492
    831.000000      1.000000     -0.161934     -0.000720     -0.162176     -0.000487
    841.000000      1.000000     -0.154693     -0.000727     -0.154932     -0.000481
    851.000000      1.000000     -0.147455     -0.000718     -0.147691     -0.000472
    861.000000      1.000000     -0.140428     -0.000682     -0.140660     -0.000461
    871.000000      1.000000     -0.133965     -0.000602     -0.134193     -0.000448
    881.000000      1.000000     -0.128620     -0.000455     -0.128844     -0.000435
    891.000000      1.000000     -0.125119     -0.000233     -0.125343     -0.000424

      1.000000     11.000000      0.998372      0.000004     10.981992     -0.000000
     11.000000     11.000000      0.998336      0.000076     10.981596     -0.000000
     21.000000     11.000000      0.998234      0.000150     10.980471     -0.000000
     31.000000     11.000000      0.998064      0.000228     10.978586     -0.000000
     41.000000     11.000000      0.997820      0.000313     10.975885     -0.000000
     51.000000     11.000000      0.997495      0.000407     10.972290     -0.000000
     61.000000     11.000000      0.997081      0.000513     10.967702     -0.000000
     71.000000     11.000000      0.996565      0.000632     10.961989     -0.000000
     81.000000     11.000000      0.995933      0.000769     10.954996     -0.000000
     91.000000     11.000000      0.995168      0.000927     10.946531     -0.000000
    101.000000     11.000000      0.994250      0.001110     10.936367     -0.000000
    111.000000     11.000000      0.993155      0.001322     10.924234     -0.000000
    121.000000     11.000000      0.991853      0.001568     10.909815     -0.000000
    131.000000     11.000000      0.990311      0.001855     10.892737     -0.000000
    141.000000     11.000000      0.988491      0.002189     10.872564     -0.000000
    151.000000     11.000000      0.986345      0.002578     10.848782     -0.000000
    161.000000     11.000000      0.983820      0.003032     10.820790     -0.000000
    171.000000     11.000000      0.980852      0.003563     10.787882     -0.000000
    181.000000     11.000000      0.977366      0.004185     10.749225     -0.000000
    191.000000     11.000000      0.973276      0.004913     10.703836     -0.000000
    201.000000     11.000000      0.968474      0.005769     10.650544     -0.000000
    211.000000     11.000000      0.962838      0.006777     10.587957     -0.000000
    221.000000     11.000000      0.956217      0.007969     10.514400     -0.000000
    231.000000     11.000000      0.948431      0.009383     10.427852     -0.000000
    241.000000     11.000000      0.939261      0.011068     10.325852     -0.000000
    251.000000     11.000000      0.928439      0.013089     10.205382     -0.000000
    261.000000     11.000000      0.915632      0.015525     10.062708     -0.000000
    271.000000     11.000000      0.900428      0.018483      9.893162     -0.000000
    281.000000     11.000000      0.882307      0.022103      9.690862     -0.000000
    291.000000     11.000000      0.860606      0.026569      9.448313     -0.000000
    301.000000     11.000000      0.834476      0.032128      9.155882     -0.000000
    311.000000     11.000000      0.802818      0.039106      8.801085     -0.000000
    321.000000     11.000000      0.764196      0.047938      8.367654     -0.000000
    331.000000     11.000000      0.716727      0.059178      7.834391     -0.000000
    341.000000     11.000000      0.657955      0.073497      7.173933     -0.000000
    351.000000     11.000000      0.584721      0.091585      6.351980     -0.000000
    361.000000     11.000000      0.493155      0.113838      5.328385     -0.000000
    371.000000     11.000000      0.379040      0.139601      4.063350     -0.000011
    381.000000     11.000000      0.239468      0.164489      2.537361     -0.000517
    391.000000     11.000000      0.083713      0.155403      0.870987     -0.007513
    501.000000     11.000000     -0.000130      0.002852     -0.001474      0.002756
    511.000000     11.000000     -0.012221      0.021877     -0.138824      0.001046
    521.000000     11.000000     -0.034654      0.028132     -0.396835     -0.000169
    531.000000     11.000000     -0.058967      0.027893     -0.680335     -0.000966
    541.000000     11.000000     -0.081621      0.025262     -0.947069     -0.001513
    551.000000     11.000000     -0.101634      0.022140     -1.184087     -0.001929
    561.000000     11.000000     -0.118998      0.019198     -1.390509     -0.002275
    571.000000     11.000000     -0.133982      0.016595     -1.569174     -0.002578
    581.000000     11.000000     -0.146880      0.014320     -1.723491     -0.002850
    591.000000     11.000000     -0.157951      0.012322     -1.856492     -0.003099
    601.000000     11.000000     -0.167402      0.010544     -1.970654     -0.003328
    611.000000     11.000000     -0.175398      0.008942     -2.067949     -0.003541
    621.000000     11.000000     -0.182071      0.007479     -2.149946     -0.003739
    631.000000     11.000000     -0.187528      0.006130     -2.217905     -0.003923
    641.000000     11.000000     -0.191857      0.004874     -2.272854     -0.004095
    651.000000     11.000000     -0.195129      0.003698     -2.315654     -0.004255
    661.000000     11.000000     -0.197411      0.002591     -2.347042     -0.004403
    671.000000     11.000000     -0.198758      0.001545     -2.367669     -0.004541
    681.000000     11.000000     -0.199222      0.000556     -2.378127     -0.004669
    691.000000     11.000000     -0.198852     -0.000379     -2.378969     -0.004785
    701.000000     11.000000     -0.197697     -0.001261     -2.370726     -0.004892
    711.000000     11.000000     -0.195802     -0.002092     -2.353915     -0.004988
    721.000000     11.000000     -0.193214     -0.002871     -2.329054     -0.005074
    731.000000     11.000000     -0.189980     -0.003598     -2.296661     -0.005149
    741.000000     11.000000     -0.186147     -0.004272     -2.257262     -0.005215
    751.000000     11.000000     -0.181765     -0.004893     -2.211391     -0.005270
    761.000000     11.000000     -0.176883     -0.005458     -2.159592     -0.005314
    771.000000     11.000000     -0.171552     -0.005968     -2.102415     -0.005348
    781.000000     11.000000     -0.165822     -0.006422     -2.040416     -0.005371
    791.000000     11.000000     -0.159746     -0.006821     -1.974153     -0.005383
    801.000000     11.000000     -0.153377     -0.007163     -1.904185     -0.005383
    811.000000     11.000000     -0.146770     -0.007448     -1.831077     -0.005371
    821.000000     11.000000     -0.139983     -0.007672     -1.755420     -0.005344
    831.000000     11.000000     -0.133080     -0.007820     -1.677890     -0.005301
