# x  y  u  v  psi  vort
      1.000000      1.000000      0.999967      0.000033      0.999967     -0.000000
     11.000000      1.000000      0.999634      0.000034      0.999634     -0.000000
     21.000000      1.000000      0.999289      0.000036      0.999289     -0.000000
     31.000000      1.000000      0.998919      0.000039      0.998919     -0.000000
     41.000000      1.000000      0.998512      0.000043      0.998512     -0.000000
     51.000000      1.000000      0.998055      0.000049      0.998055     -0.000000
     61.000000      1.000000      0.997534      0.000056      0.997533     -0.000000
     71.000000      1.000000      0.996931      0.000065      0.996931     -0.000000
     81.000000      1.000000      0.996229      0.000076      0.996229     -0.000000
     91.000000      1.000000      0.995408      0.000089      0.995408     -0.000000
    101.000000      1.000000      0.994445      0.000104      0.994444     -0.000000
    111.000000      1.000000      0.993312      0.000123      0.993311     -0.000000
    121.000000      1.000000      0.991978      0.000145      0.991978     -0.000000
    131.000000      1.000000      0.990409      0.000170      0.990408     -0.000000
    141.000000      1.000000      0.988563      0.000200      0.988562     -0.000000
    151.000000      1.000000      0.986391      0.000235      0.986390     -0.000000
    161.000000      1.000000      0.983839      0.000276      0.983837     -0.000000
    171.000000      1.000000      0.980839      0.000325      0.980838     -0.000000
    181.000000      1.000000      0.977316      0.000381      0.977314     -0.000000
    191.000000      1.000000      0.973178      0.000448      0.973175     -0.000000
    201.000000      1.000000      0.968316      0.000526      0.968314     -0.000000
    211.000000      1.000000      0.962603      0.000619      0.962599     -0.000000
    221.000000      1.000000      0.955883      0.000728      0.955878     -0.000000
    231.000000      1.000000      0.947969      0.000858      0.947963     -0.000000
    241.000000      1.000000      0.938633      0.001014      0.938627     -0.000000
    251.000000      1.000000      0.927598      0.001200      0.927589     -0.000000
    261.000000      1.000000      0.914516      0.001424      0.914506     -0.000000
    271.000000      1.000000      0.898958      0.001697      0.898945     -0.000000
    281.000000      1.000000      0.880379      0.002031      0.880363     -0.000000
    291.000000      1.000000      0.858087      0.002443      0.858067     -0.000000
    301.000000      1.000000      0.831193      0.002956      0.831167     -0.000000
    311.000000      1.000000      0.798547      0.003600      0.798513     -0.000000
    321.000000      1.000000      0.758650      0.004414      0.758607     -0.000000
    331.000000      1.000000      0.709562      0.005448      0.709507     -0.000000
    341.000000      1.000000      0.648795      0.006761      0.648724     -0.000000
    351.000000      1.000000      0.573271      0.008408      0.573182     -0.000000
    361.000000      1.000000      0.479481      0.010412      0.479375     -0.000000
    371.000000      1.000000      0.364131      0.012689      0.364015     -0.000001
    381.000000      1.000000      0.226011      0.014817      0.225907     -0.000050
    391.000000      1.000000      0.076855      0.013792      0.076803     -0.000684
    451.000000      1.000000     -0.000155      0.000300     -0.000155      0.000290
    461.000000      1.000000     -0.014741      0.002340     -0.014745      0.000119
    471.000000      1.000000     -0.042611      0.003069     -0.042625      0.000001
    481.000000      1.000000     -0.073851      0.003108     -0.073881     -0.000073
    491.000000      1.000000     -0.103889      0.002881     -0.103936     -0.000121
    501.000000      1.000000     -0.131262      0.002596     -0.131328     -0.000158
    511.000000      1.000000     -0.155845      0.002329     -0.155929     -0.000190
    521.000000      1.000000     -0.177941      0.002100     -0.178041     -0.000219
    531.000000      1.000000     -0.197924      0.001906     -0.198041     -0.000247
    541.000000      1.000000     -0.216134      0.001743     -0.216265     -0.000275
    551.000000      1.000000     -0.232842      0.001605     -0.232988     -0.000303
    561.000000      1.000000     -0.248259      0.001484     -0.248421     -0.000331
    571.000000      1.000000     -0.262540      0.001377     -0.262716     -0.000360
    581.000000      1.000000     -0.275788      0.001277     -0.275979     -0.000390
    591.000000      1.000000     -0.288060      0.001181     -0.288267     -0.000422
    601.000000      1.000000     -0.299370      0.001084     -0.299594     -0.000456
    611.000000      1.000000     -0.309688      0.000982     -0.309930     -0.000492
    621.000000      1.000000     -0.318940      0.000870     -0.319200     -0.000530
    631.000000      1.000000     -0.327002      0.000743     -0.327281     -0.000570
    641.000000      1.000000     -0.333702      0.000597     -0.334002     -0.000614
    651.000000      1.000000     -0.338816      0.000425     -0.339138     -0.000660
    661.000000      1.000000     -0.342063      0.000223     -0.342407     -0.000709
    671.000000      1.000000     -0.343106     -0.000016     -0.343475     -0.000762
    681.000000      1.000000     -0.341551     -0.000297     -0.341946     -0.000817
    691.000000      1.000000     -0.336950     -0.000626     -0.337371     -0.000875
    701.000000      1.000000     -0.328796     -0.001008     -0.329246     -0.000936
    711.000000      1.000000     -0.316533     -0.001449     -0.317012     -0.001001
    721.000000      1.000000     -0.299552     -0.001953     -0.300061     -0.001067
    731.000000      1.000000     -0.277191     -0.002525     -0.277732     -0.001136
    741.000000      1.000000     -0.248733     -0.003173     -0.249306     -0.001208
    751.000000      1.000000     -0.213390     -0.003904     -0.213996     -0.001281
    761.000000      1.000000     -0.170277     -0.004729     -0.170917     -0.001357
    771.000000      1.000000     -0.118365     -0.005668     -0.119038     -0.001436
    781.000000      1.000000     -0.056388     -0.006749     -0.057093     -0.001517
    791.000000      1.000000      0.017308     -0.008023      0.016571     -0.001603
    801.000000      1.000000      0.105036     -0.009575      0.104270     -0.001695
    811.000000      1.000000      0.210280     -0.011562      0.209491     -0.001796
    821.000000      1.000000      0.338714     -0.014287      0.337917     -0.001913
    831.000000      1.000000      0.500516     -0.018409      0.499747     -0.002056
    841.000000      1.000000      0.716750     -0.025691      0.716133     -0.002250

      1.000000     11.000000      0.999967      0.000362     10.999638     -0.000000
     11.000000     11.000000      0.999637      0.000370     10.995987     -0.000000
     21.000000     11.000000      0.999295      0.000390     10.992198     -0.000000
