# x  y  u  v  psi  vort
      1.000000      1.000000      0.999770      0.000230      0.999770     -0.000000
     11.000000      1.000000      0.997467      0.000231      0.997467     -0.000000
     21.000000      1.000000      0.995147      0.000233      0.995147     -0.000000
     31.000000      1.000000      0.992792      0.000238      0.992792     -0.000000
     41.000000      1.000000      0.990387      0.000244      0.990387     -0.000000
     51.000000      1.000000      0.987914      0.000251      0.987913     -0.000000
     61.000000      1.000000      0.985354      0.000261      0.985353     -0.000000
     71.000000      1.000000      0.982688      0.000273      0.982688     -0.000000
     81.000000      1.000000      0.979896      0.000286      0.979895     -0.000000
     91.000000      1.000000      0.976954      0.000302      0.976953     -0.000000
    101.000000      1.000000      0.973839      0.000321      0.973838     -0.000000
    111.000000      1.000000      0.970521      0.000343      0.970520     -0.000000
    121.000000      1.000000      0.966972      0.000368      0.966971     -0.000000
    131.000000      1.000000      0.963156      0.000396      0.963155     -0.000000
    141.000000      1.000000      0.959036      0.000429      0.959034     -0.000000
    151.000000      1.000000      0.954567      0.000466      0.954565     -0.000000
    161.000000      1.000000      0.949697      0.000509      0.949695     -0.000000
    171.000000      1.000000      0.944370      0.000558      0.944367     -0.000000
    181.000000      1.000000      0.938516      0.000614      0.938513     -0.000000
    191.000000      1.000000      0.932055      0.000679      0.932052     -0.000000
    201.000000      1.000000      0.924894      0.000755      0.924890     -0.000000
    211.000000      1.000000      0.916919      0.000843      0.916914     -0.000000
    221.000000      1.000000      0.907996      0.000945      0.907990     -0.000000
    231.000000      1.000000      0.897961      0.001065      0.897955     -0.000000
    241.000000      1.000000      0.886616      0.001208      0.886608     -0.000000
    251.000000      1.000000      0.873716      0.001378      0.873707     -0.000000
    261.000000      1.000000      0.858957      0.001581      0.858945     -0.000000
    271.000000      1.000000      0.841957      0.001827      0.841943     -0.000000
    281.000000      1.000000      0.822234      0.002128      0.822218     -0.000000
    291.000000      1.000000      0.799173      0.002498      0.799152     -0.000000
    301.000000      1.000000      0.771978      0.002959      0.771952     -0.000000
    311.000000      1.000000      0.739619      0.003537      0.739586     -0.000000
    321.000000      1.000000      0.700751      0.004268      0.700710     -0.000000
    331.000000      1.000000      0.653626      0.005197      0.653573     -0.000000
    341.000000      1.000000      0.596000      0.006378      0.595934     -0.000000
    351.000000      1.000000      0.525098      0.007860      0.525016     -0.000000
    361.000000      1.000000      0.437752      0.009665      0.437655     -0.000000
    371.000000      1.000000      0.330997      0.011713      0.330891     -0.000002
    381.000000      1.000000      0.203897      0.013581      0.203803     -0.000057
    391.000000      1.000000      0.068339      0.012388      0.068293     -0.000648
    451.000000      1.000000     -0.000139      0.000269     -0.000139      0.000260
    461.000000      1.000000     -0.013274      0.002114     -0.013278      0.000110
    471.000000      1.000000     -0.038545      0.002792     -0.038558      0.000003
    481.000000      1.000000     -0.067043      0.002842     -0.067070     -0.000065
    491.000000      1.000000     -0.094565      0.002645     -0.094608     -0.000110
    501.000000      1.000000     -0.119729      0.002391     -0.119789     -0.000145
    511.000000      1.000000     -0.142402      0.002153     -0.142478     -0.000175
    521.000000      1.000000     -0.162861      0.001948     -0.162953     -0.000204
    531.000000      1.000000     -0.181443      0.001776     -0.181551     -0.000232
    541.000000      1.000000     -0.198435      0.001629     -0.198559     -0.000260
    551.000000      1.000000     -0.214044      0.001498     -0.214182     -0.000289
    561.000000      1.000000     -0.228392      0.001376     -0.228546     -0.000320
    571.000000      1.000000     -0.241531      0.001255     -0.241701     -0.000352
    581.000000      1.000000     -0.253445      0.001130     -0.253631     -0.000385
