# R =  3.00
# x  y  u  v  psi  vort
      1.000000      1.000000      0.999881      0.000119      0.999881     -0.000000
     11.000000      1.000000      0.998689      0.000120      0.998689     -0.000000
     21.000000      1.000000      0.997478      0.000123      0.997478     -0.000000
     31.000000      1.000000      0.996231      0.000127      0.996231     -0.000000
     41.000000      1.000000      0.994930      0.000133      0.994930     -0.000000
     51.000000      1.000000      0.993558      0.000141      0.993558     -0.000000
     61.000000      1.000000      0.992094      0.000152      0.992094     -0.000000
     71.000000      1.000000      0.990518      0.000164      0.990518      0.000000
     81.000000      1.000000      0.988808      0.000179      0.988807      0.000000
     91.000000      1.000000      0.986939      0.000196      0.986938      0.000000
    101.000000      1.000000      0.984883      0.000216      0.984883      0.000000
    111.000000      1.000000      0.982613      0.000239      0.982612      0.000000
    121.000000      1.000000      0.980093      0.000266      0.980092      0.000000
    131.000000      1.000000      0.977288      0.000296      0.977287      0.000000
    141.000000      1.000000      0.974154      0.000331      0.974153      0.000000
    151.000000      1.000000      0.970644      0.000372      0.970642      0.000000
    161.000000      1.000000      0.966703      0.000418      0.966701      0.000000
    171.000000      1.000000      0.962266      0.000471      0.962264      0.000000
    181.000000      1.000000      0.957261      0.000532      0.957258     -0.000000
    191.000000      1.000000      0.951601      0.000602      0.951598     -0.000000
    201.000000      1.000000      0.945184      0.000683      0.945181      0.000000
    211.000000      1.000000      0.937892      0.000778      0.937887      0.000000
    221.000000      1.000000      0.929581      0.000888      0.929576      0.000000
    231.000000      1.000000      0.920080      0.001016      0.920074      0.000000
    241.000000      1.000000      0.909182      0.001168      0.909174      0.000000
    251.000000      1.000000      0.896634      0.001347      0.896625      0.000000
    261.000000      1.000000      0.882125      0.001561      0.882114      0.000000
    271.000000      1.000000      0.865269      0.001818      0.865256      0.000000
    281.000000      1.000000      0.845584      0.002130      0.845568     -0.000000
    291.000000      1.000000      0.822456      0.002510      0.822436      0.000000
    301.000000      1.000000      0.795108      0.002978      0.795083      0.000000
    311.000000      1.000000      0.762538      0.003559      0.762507      0.000000
    321.000000      1.000000      0.723457      0.004287      0.723417      0.000000
    331.000000      1.000000      0.676204      0.005202      0.676154     -0.000000
    341.000000      1.000000      0.618673      0.006351      0.618610     -0.000000
    351.000000      1.000000      0.548281      0.007780      0.548203     -0.000000
    361.000000      1.000000      0.462109      0.009505      0.462016     -0.000000
    371.000000      1.000000      0.357432      0.011457      0.357332     -0.000000
    381.000000      1.000000      0.232970      0.013400      0.232880     -0.000000
    391.000000      1.000000      0.091700      0.014389      0.091647     -0.000248
    451.000000      1.000000     -0.000783      0.001463     -0.000784      0.001356
    461.000000      1.000000     -0.056666      0.007711     -0.056718      0.000062
    471.000000      1.000000     -0.137722      0.008264     -0.137827     -0.000204
    481.000000      1.000000     -0.220116      0.008183     -0.220277     -0.000341
    491.000000      1.000000     -0.300549      0.007882     -0.300769     -0.000477
    501.000000      1.000000     -0.377049      0.007404     -0.377328     -0.000613
    511.000000      1.000000     -0.448069      0.006793     -0.448409     -0.000744
    521.000000      1.000000     -0.512504      0.006095     -0.512904     -0.000871
    531.000000      1.000000     -0.569705      0.005354     -0.570164     -0.000991
    541.000000      1.000000     -0.619457      0.004611     -0.619974     -0.001105
    551.000000      1.000000     -0.661916      0.003899     -0.662488     -0.001212
    561.000000      1.000000     -0.697508      0.003240     -0.698134     -0.001313
    571.000000      1.000000     -0.726828      0.002646     -0.727505     -0.001409
    581.000000      1.000000     -0.750547      0.002120     -0.751275     -0.001502
    591.000000      1.000000     -0.769348      0.001661     -0.770123     -0.001591
    601.000000      1.000000     -0.783875      0.001264     -0.784698     -0.001680
    611.000000      1.000000     -0.794715      0.000922     -0.795584     -0.001768
    621.000000      1.000000     -0.802380      0.000628     -0.803296     -0.001857
    631.000000      1.000000     -0.807304      0.000373     -0.808268     -0.001949
    641.000000      1.000000     -0.809840      0.000149     -0.810852     -0.002044
    651.000000      1.000000     -0.810254     -0.000053     -0.811317     -0.002144
    661.000000      1.000000     -0.808721     -0.000242     -0.809838     -0.002250
    671.000000      1.000000     -0.805311     -0.000429     -0.806485     -0.002365
    681.000000      1.000000     -0.799979     -0.000628     -0.801214     -0.002489
    691.000000      1.000000     -0.792540     -0.000852     -0.793841     -0.002624
    701.000000      1.000000     -0.782651     -0.001120     -0.784023     -0.002772
    711.000000      1.000000     -0.769772     -0.001453     -0.771221     -0.002935
    721.000000      1.000000     -0.753133     -0.001876     -0.754667     -0.003116
    731.000000      1.000000     -0.731687     -0.002418     -0.733314     -0.003314
    741.000000      1.000000     -0.704059     -0.003117     -0.705786     -0.003533
    751.000000      1.000000     -0.668497     -0.004010     -0.670333     -0.003773
    761.000000      1.000000     -0.622839     -0.005142     -0.624793     -0.004035
    771.000000      1.000000     -0.564502     -0.006552     -0.566581     -0.004319
    781.000000      1.000000     -0.490496     -0.008280     -0.492710     -0.004623
    791.000000      1.000000     -0.397457     -0.010364     -0.399813     -0.004946
    801.000000      1.000000     -0.281591     -0.012857     -0.284094     -0.005289
    811.000000      1.000000     -0.138301     -0.015879     -0.140954     -0.005656
    821.000000      1.000000      0.039059     -0.019761      0.036266     -0.006060
    831.000000      1.000000      0.262958     -0.025464      0.260067     -0.006544
    841.000000      1.000000      0.564584     -0.036444      0.561835     -0.007227

      1.000000     11.000000      0.999882      0.001305     10.998695      0.000000
     11.000000     11.000000      0.998696      0.001316     10.985601      0.000000
     21.000000     11.000000      0.997491      0.001346     10.972303      0.000000
     31.000000     11.000000      0.996251      0.001395     10.958612      0.000000
     41.000000     11.000000      0.994958      0.001464     10.944335      0.000000
     51.000000     11.000000      0.993594      0.001553     10.929267      0.000000
     61.000000     11.000000      0.992139      0.001665     10.913197      0.000000
     71.000000     11.000000      0.990572      0.001800     10.895896      0.000000
     81.000000     11.000000      0.988873      0.001960     10.877119      0.000000
     91.000000     11.000000      0.987015      0.002149     10.856598      0.000000
    101.000000     11.000000      0.984973      0.002368     10.834039      0.000000
    111.000000     11.000000      0.982718      0.002622     10.809117      0.000000
    121.000000     11.000000      0.980217      0.002915     10.781467      0.000000
    131.000000     11.000000      0.977432      0.003250     10.750682      0.000000
    141.000000     11.000000      0.974323      0.003635     10.716298      0.000000
    151.000000     11.000000      0.970841      0.004077     10.677789      0.000000
    161.000000     11.000000      0.966933      0.004583     10.634552      0.000000
    171.000000     11.000000      0.962535      0.005163     10.585891      0.000000
    181.000000     11.000000      0.957576      0.005831     10.530998      0.000000
    191.000000     11.000000      0.951971      0.006601     10.468933      0.000000
    201.000000     11.000000      0.945621      0.007490     10.398589      0.000000
    211.000000     11.000000      0.938409      0.008522     10.318658     -0.000000
    221.000000     11.000000      0.930194      0.009724     10.227583     -0.000000
    231.000000     11.000000      0.920811      0.011131     10.123495     -0.000000
    241.000000     11.000000      0.910058      0.012787     10.004135     -0.000000
    251.000000     11.000000      0.897690      0.014747      9.866751     -0.000000
    261.000000     11.000000      0.883406      0.017082      9.707959     -0.000000
    271.000000     11.000000      0.866833      0.019886      9.523561      0.000000
    281.000000     11.000000      0.847505      0.023278      9.308304      0.000000
    291.000000     11.000000      0.824837      0.027416      9.055548      0.000000
    301.000000     11.000000      0.798079      0.032510      8.756836     -0.000000
    311.000000     11.000000      0.766273      0.038833      8.401305     -0.000000
    321.000000     11.000000      0.728179      0.046745      7.974943     -0.000000
    331.000000     11.000000      0.682187      0.056700      7.459676     -0.000000
    341.000000     11.000000      0.626222      0.069239      6.832424     -0.000000
    351.000000     11.000000      0.557643      0.084906      6.064556     -0.000000
    361.000000     11.000000      0.473248      0.103998      5.122912     -0.000000
    371.000000     11.000000      0.369590      0.125960      3.974918     -0.000000
    381.000000     11.000000      0.244097      0.148350      2.601956     -0.000004
    391.000000     11.000000      0.098291      0.160793      1.031824     -0.002618
    451.000000     11.000000     -0.000666      0.015319     -0.008185      0.014238
    461.000000     11.000000     -0.050632      0.082381     -0.601520      0.000782
    471.000000     11.000000     -0.125352      0.088563     -1.470323     -0.002161
    481.000000     11.000000     -0.201231      0.087533     -2.353166     -0.003613
    491.000000     11.000000     -0.274844      0.084132     -3.213267     -0.005036
