# R =  5.00
# x  y  u  v  psi  vort
      1.000000      1.000000      0.999816      0.000184      0.999816     -0.000000
     11.000000      1.000000      0.997975      0.000185      0.997975     -0.000000
     21.000000      1.000000      0.996113      0.000188      0.996113     -0.000000
     31.000000      1.000000      0.994212      0.000193      0.994212     -0.000000
     41.000000      1.000000      0.992253      0.000199      0.992253     -0.000000
     51.000000      1.000000      0.990216      0.000208      0.990215     -0.000000
     61.000000      1.000000      0.988080      0.000219      0.988079     -0.000000
     71.000000      1.000000      0.985823      0.000233      0.985822     -0.000000
     81.000000      1.000000      0.983421      0.000248      0.983420     -0.000000
     91.000000      1.000000      0.980848      0.000267      0.980848     -0.000000
    101.000000      1.000000      0.978077      0.000288      0.978076     -0.000000
    111.000000      1.000000      0.975076      0.000313      0.975075     -0.000000
    121.000000      1.000000      0.971812      0.000341      0.971810     -0.000000
    131.000000      1.000000      0.968245      0.000373      0.968243     -0.000000
    141.000000      1.000000      0.964332      0.000410      0.964331     -0.000000
    151.000000      1.000000      0.960026      0.000452      0.960024     -0.000000
    161.000000      1.000000      0.955270      0.000500      0.955268      0.000000
    171.000000      1.000000      0.950001      0.000555      0.949999      0.000000
    181.000000      1.000000      0.944145      0.000618      0.944142      0.000000
    191.000000      1.000000      0.937616      0.000690      0.937612      0.000000
    201.000000      1.000000      0.930314      0.000773      0.930310      0.000000
    211.000000      1.000000      0.922122      0.000868      0.922117      0.000000
    221.000000      1.000000      0.912899      0.000979      0.912894      0.000000
    231.000000      1.000000      0.902480      0.001108      0.902474      0.000000
    241.000000      1.000000      0.890663      0.001260      0.890655      0.000000
    251.000000      1.000000      0.877203      0.001438      0.877194      0.000000
    261.000000      1.000000      0.861804      0.001649      0.861793      0.000000
    271.000000      1.000000      0.844096      0.001901      0.844083      0.000000
    281.000000      1.000000      0.823621      0.002204      0.823605      0.000000
    291.000000      1.000000      0.799801      0.002573      0.799782      0.000000
    301.000000      1.000000      0.771907      0.003023      0.771883      0.000000
    311.000000      1.000000      0.739008      0.003578      0.738978      0.000000
    321.000000      1.000000      0.699912      0.004268      0.699875      0.000000
    331.000000      1.000000      0.653102      0.005128      0.653054      0.000000
    341.000000      1.000000      0.596666      0.006201      0.596607      0.000000
    351.000000      1.000000      0.528289      0.007522      0.528217      0.000000
    361.000000      1.000000      0.445386      0.009103      0.445302     -0.000000
    371.000000      1.000000      0.345595      0.010877      0.345504     -0.000000
    381.000000      1.000000      0.227882      0.012632      0.227801     -0.000000
